timestamp_ms,value
599616413769.0814,-133
599616413776.7737,-133
599616413784.4661,-133
599616413792.1583,-131
599616413799.8507,-136
599616413807.543,-143
599616413815.2352,-136
599616413822.9276,-123
599616413830.6199,-121
599616413838.3121,-119
599616413846.0045,-109
599616413853.6968,-106
599616413861.3892,-109
599616413869.0814,-102
599616413876.7737,-102
599616413884.4661,-111
599616413892.1583,-121
599616413899.8507,-121
599616413907.543,-116
599616413915.2352,-114
599616413922.9276,-116
599616413930.6199,-111
599616413938.3121,-111
599616413946.0045,-111
599616413953.6968,-104
599616413961.3892,-109
599616413969.0814,-99
599616413976.7737,-12
599616413984.4661,174
599616413992.1583,376
599616413999.8507,337
599616414007.543,-53
599616414015.2352,-318
599616414022.9276,-165
599616414030.6199,-65
599616414038.3121,-165
599616414046.0045,-162
599616414053.6968,-109
599616414061.3892,-133
599616414069.0814,-145
599616414076.7737,-123
599616414084.4661,-121
599616414092.1583,-126
599616414099.8507,-114
599616414107.543,-106
599616414115.2352,-106
599616414122.9276,-106
599616414130.6199,-102
599616414138.3121,-97
599616414146.0045,-92
599616414153.6968,-89
599616414161.3892,-89
599616414169.0814,-87
599616414176.7737,-82
599616414184.4661,-77
599616414192.1583,-75
599616414199.8507,-80
599616414207.543,-82
599616414215.2352,-75
599616414222.9276,-65
599616414230.6199,-58
599616414238.3121,-53
599616414246.0045,-53
599616414253.6968,-58
599616414261.3892,-51
599616414269.0814,-43
599616414276.7737,-51
599616414284.4661,-68
599616414292.1583,-87
599616414299.8507,-104
599616414307.543,-116
599616414315.2352,-126
599616414322.9276,-136
599616414330.3329,-143
599616414338.0251,-148
599616414345.7175,-153
599616414353.4098,-153
599616414361.1022,-155
599616414368.7944,-153
599616414376.4867,-153
599616414384.1791,-150
599616414391.8713,-150
599616414399.5636,-148
599616414407.256,-145
599616414414.9482,-138
599616414422.6406,-136
599616414430.3329,-138
599616414438.0251,-143
599616414445.7175,-140
599616414453.4098,-140
599616414461.1022,-140
599616414468.7944,-136
599616414476.4867,-140
599616414484.1791,-150
599616414491.8713,-145
599616414499.5636,-138
599616414507.256,-133
599616414514.9482,-131
599616414522.6406,-126
599616414530.3329,-114
599616414538.0251,-111
599616414545.7175,-111
