timestamp_ms,value
599617852435.4589,21
599617852443.1511,16
599617852450.8435,16
599617852458.5358,23
599617852466.2281,33
599617852473.9204,37
599617852481.6127,33
599617852489.305,11
599617852496.9973,0
599617852504.6896,7
599617852512.382,11
599617852520.0742,-2
599617852527.7666,-37
599617852535.4589,-63
599617852543.1511,-49
599617852550.8435,-33
599617852558.5358,-42
599617852566.2281,-44
599617852573.9204,-44
599617852581.6127,-56
599617852589.305,-63
599617852596.9973,-59
599617852604.6896,-63
599617852612.382,-75
599617852620.0742,-78
599617852627.7666,-78
599617852635.4589,-75
599617852643.1511,-66
599617852650.8435,-56
599617852658.5358,-56
599617852666.2281,-63
599617852673.9204,-73
599617852681.6127,-85
599617852689.305,-87
599617852696.9973,-78
599617852704.6896,-73
599617852712.382,-73
599617852720.0742,-68
599617852727.7666,-66
599617852735.4589,-66
599617852743.1511,-63
599617852750.8435,-59
599617852758.5358,-59
599617852766.2281,-54
599617852773.9204,-37
599617852781.6127,-28
599617852789.305,-28
599617852796.9973,-33
599617852804.6896,-37
599617852812.382,-35
599617852820.0742,-21
599617852827.7666,7
599617852835.4589,44
599617852843.1511,68
599617852850.8435,68
599617852858.5358,56
599617852866.2281,47
599617852873.9204,33
599617852881.6127,18
599617852889.305,16
599617852896.9973,23
599617852904.6896,33
599617852912.382,42
599617852920.0742,49
599617852927.7666,101
599617852935.4589,350
599617852943.1511,800
599617852950.8435,1044
599617852958.5358,487
599617852966.2281,-606
599617852973.9204,-883
599617852981.6127,-227
599617852989.305,61
599617852997.5189,-63
599617853005.2112,14
599617853012.9036,101
599617853020.5958,54
599617853028.2882,59
599617853035.9805,99
599617853043.6727,89
599617853051.3651,87
599617853059.0574,97
599617853066.7496,68
599617853074.442,42
599617853082.1343,56
599617853089.8267,73
599617853097.5189,78
599617853105.2112,85
599617853112.9036,92
599617853120.5958,104
599617853128.2882,116
599617853135.9805,123
599617853143.6727,132
599617853151.3651,142
599617853159.0574,149
599617853166.7496,163
599617853174.442,179
599617853182.1343,175
599617853189.8267,163
599617853197.5189,179
599617853205.2112,203
599617853212.9036,217
599617853220.5958,229
599617853228.2882,224
599617853235.9805,220
599617853243.6727,227
599617853251.3651,229
599617853259.0574,227
599617853266.7496,215
599617853274.442,184
599617853282.1343,146
599617853289.8267,113
599617853297.5189,71
