timestamp_ms,value
599617022888.1942,-196
599617022895.8865,-227
599617022903.5789,-246
599617022911.2711,-263
599617022918.9635,-267
599617022926.6558,-256
599617022934.348,-260
599617022942.0404,-267
599617022949.7327,-253
599617022957.4249,-251
599617022965.1173,-260
599617022972.8096,-248
599617022980.502,-236
599617022988.1942,-236
599617022995.8865,-239
599617023003.5789,-234
599617023011.2711,-224
599617023018.9635,-222
599617023026.6558,-217
599617023034.348,-208
599617023042.0404,-200
599617023049.7327,-200
599617023057.4249,-189
599617023065.1173,-181
599617023072.8096,-181
599617023080.502,-169
599617023088.1942,-160
599617023095.8865,-162
599617023103.5789,-167
599617023111.2711,-160
599617023118.9635,-160
599617023126.6558,-179
599617023134.348,-186
599617023142.0404,-174
599617023149.7327,-167
599617023157.4249,-172
599617023165.1173,-167
599617023172.8096,-150
599617023180.502,-145
599617023188.1942,-138
599617023195.8865,-124
599617023203.5789,-117
599617023211.2711,-124
599617023218.9635,-110
599617023226.6558,-71
599617023234.348,-21
599617023242.0404,78
599617023249.7327,157
599617023257.4249,-9
599617023265.1173,-320
599617023272.8096,-363
599617023280.502,-131
599617023288.1942,-19
599617023295.8865,-69
599617023303.5789,-74
599617023311.2711,-47
599617023318.9635,-50
599617023326.6558,-45
599617023334.348,-33
599617023342.0404,-33
599617023349.7327,-31
599617023357.4249,-28
599617023365.1173,-31
599617023372.8096,-19
599617023380.502,-4
599617023388.1942,-4
599617023395.8865,-2
599617023403.5789,9
599617023411.2711,11
599617023418.9635,11
599617023426.6558,19
599617023434.348,28
599617023442.0404,45
599617023449.4202,47
599617023457.1124,45
599617023464.8048,71
599617023472.4971,90
599617023480.1895,78
599617023487.8817,74
599617023495.574,66
599617023503.2664,23
599617023510.9586,-14
599617023518.6509,-45
599617023526.3433,-78
599617023534.0355,-95
599617023541.7279,-105
599617023549.4202,-117
599617023557.1124,-112
599617023564.8048,-102
599617023572.4971,-105
599617023580.1895,-107
599617023587.8817,-102
599617023595.574,-107
599617023603.2664,-110
599617023610.9586,-98
599617023618.6509,-98
599617023626.3433,-102
599617023634.0355,-100
599617023641.7279,-90
599617023649.4202,-83
599617023657.1124,-90
599617023664.8048,-98
599617023672.4971,-88
599617023680.1895,-98
599617023687.8817,-110
599617023695.574,-98
599617023703.2664,-90
599617023710.9586,-90
599617023718.6509,-76
599617023726.3433,-78
599617023734.0355,-100
599617023741.7279,-102
599617023749.4202,-100
599617023757.1124,-112
599617023764.8048,-131
599617023772.4971,-143
599617023780.1895,-136
599617023787.8817,-129
599617023795.574,-133
599617023803.2664,-143
599617023810.9586,-143
599617023818.6509,-143
599617023826.3433,-138
599617023834.0355,-136
599617023841.7279,-136
599617023849.4202,-138
599617023857.1124,-114
599617023864.8048,-47
599617023872.4971,57
599617023880.1895,122
599617023887.8817,-38
599617023895.574,-332
599617023903.2664,-368
599617023910.9586,-138
599617023918.6509,-35
599617023926.3433,-95
599617023934.0355,-88
599617023941.7279,-52
599617023949.4202,-71
599617023957.1124,-83
599617023964.8048,-66
599617023972.4971,-62
599617023980.1895,-64
599617023987.8817,-64
599617023995.574,-69
599617024003.2664,-66
599617024010.6309,-55
599617024018.3231,-64
599617024026.0155,-88
599617024033.7078,-95
599617024041.4001,-83
599617024049.0924,-76
599617024056.7847,-59
599617024064.477,-59
599617024072.1693,-83
599617024079.8616,-64
599617024087.554,-23
599617024095.2462,-4
599617024102.9386,35
599617024110.6309,62
599617024118.3231,52
599617024126.0155,69
599617024133.7078,76
599617024141.4001,119
599617024149.0924,191
599617024156.7847,222
599617024164.477,349
599617024172.1693,571
599617024179.8616,710
599617024187.554,729
599617024195.2462,696
599617024202.9386,657
599617024210.6309,662
599617024218.3231,645
599617024226.0155,653
599617024233.7078,842
599617024241.4001,1239
599617024249.0924,1866
599617024256.7847,2763
599617024264.477,3720
599617024272.1693,4151
599617024279.8616,4014
599617024287.554,4110
599617024295.2462,4409
599617024302.9386,4237
599617024310.6309,3765
599617024318.3231,3450
599617024326.0155,3215
599617024333.7078,2916
599617024341.4001,2650
599617024349.0924,2471
599617024356.7847,2311
599617024364.477,2179
599617024372.1693,2088
599617024379.8616,2000
599617024387.554,1916
599617024395.2462,1863
599617024402.9386,1827
599617024410.6309,1801
599617024418.3231,1777
599617024426.0155,1753
599617024433.7078,1748
599617024441.4001,1739
599617024449.0924,1717
599617024456.7847,1713
599617024464.477,1705
599617024472.1693,1686
599617024479.8616,1693
599617024487.554,1732
599617024495.2462,1799
599617024502.9386,1792
599617024510.6309,1495
599617024518.3231,1081
599617024526.0155,1012
599617024533.7078,1189
599617024541.4001,1167
599617024549.0924,978
599617024556.7847,837
599617024564.477,701
599617024571.8519,519
599617024579.5442,327
599617024587.2366,131
599617024594.9288,-62
599617024602.6212,-248
599617024610.3135,-447
599617024618.0057,-626
599617024625.6981,-744
599617024633.3904,-775
599617024641.0826,-722
599617024648.775,-645
599617024656.4673,-598
599617024664.1597,-598
599617024671.8519,-614
599617024679.5442,-598
599617024687.2366,-569
599617024694.9288,-538
599617024702.6212,-480
599617024710.3135,-413
599617024718.0057,-351
599617024725.6981,-284
599617024733.3904,-229
599617024741.0826,-189
599617024748.775,-160
599617024756.4673,-160
599617024764.1597,-174
599617024771.8519,-172
599617024779.5442,-167
599617024787.2366,-179
599617024794.9288,-196
599617024802.6212,-203
599617024810.3135,-208
599617024818.0057,-220
599617024825.6981,-234
599617024833.3904,-244
599617024841.0826,-256
599617024848.775,-282
599617024856.4673,-306
599617024864.1597,-330
599617024871.8519,-361
599617024879.5442,-378
599617024887.2366,-385
599617024894.9288,-394
599617024902.6212,-397
599617024910.3135,-394
599617024918.0057,-397
599617024925.6981,-397
599617024933.3904,-387
599617024941.0826,-373
599617024948.775,-368
599617024956.4673,-375
599617024964.1597,-375
599617024971.8519,-363
599617024979.5442,-363
599617024987.2366,-361
599617024994.9288,-344
599617025002.6212,-342
599617025010.3135,-356
599617025018.0057,-358
599617025025.6981,-361
599617025033.3904,-366
599617025041.0826,-361
599617025048.775,-354
599617025056.4673,-358
599617025064.1597,-361
599617025071.8519,-354
599617025079.5442,-327
599617025087.2366,-270
599617025094.9288,-155
599617025102.6212,-107
599617025110.3135,-363
599617025118.0057,-722
599617025125.6981,-712
599617025133.0728,-449
599617025140.765,-375
599617025148.4574,-437
599617025156.1497,-421
599617025163.842,-404
599617025171.5343,-425
599617025179.2266,-413
599617025186.919,-401
599617025194.6112,-418
599617025202.3035,-421
599617025209.9958,-416
599617025217.6881,-406
