timestamp_ms,value
1731339047074,4222
1731339047092,4094
1731339047112,4014
1731339047151,3838
1731339047171,3934
1731339047191,4158
1731339047211,4470
1731339047231,4758
1731339047250,4990
1731339047270,5230
1731339047295,5438
1731339047310,5622
1731339047330,5758
1731339047350,5846
1731339047369,5846
1731339047389,5790
1731339047409,5742
1731339047429,5686
1731339047468,5598
1731339047488,5534
1731339047510,5438
1731339047548,5278
1731339047568,5182
1731339047587,5086
1731339047627,4854
1731339047647,4734
1731339047666,4638
1731339047689,4538
1731339047706,4438
1731339047726,4318
1731339047748,4206
1731339047768,4086
1731339047785,3966
1731339047805,3862
1731339047825,3742
1731339047847,3646
1731339047865,3582
1731339047884,3614
1731339047904,3774
1731339047927,4062
1731339047948,4310
1731339047964,4526
1731339047983,4702
1731339048006,4862
1731339048023,5038
1731339048043,5150
1731339048063,5206
1731339048086,5182
1731339048102,5118
1731339048122,5086
1731339048144,5046
1731339048164,4990
1731339048182,4958
1731339048201,4910
1731339048221,4830
1731339048244,4758
1731339048261,4654
1731339048280,4566
1731339048300,4446
1731339048323,4350
1731339048344,4246
1731339048359,4150
1731339048380,4062
1731339048419,3854
1731339048439,3750
1731339048459,3646
1731339048481,3550
1731339048498,3454
1731339048518,3350
1731339048538,3246
1731339048562,3166
1731339048577,3158
1731339048597,3286
1731339048617,3534
1731339048637,3822
1731339048657,4054
1731339048677,4238
1731339048696,4430
1731339048716,4606
1731339048736,4758
1731339048758,4862
1731339048776,4894
1731339048796,4862
1731339048815,4790
1731339048835,4734
1731339048855,4686
1731339048875,4630
1731339048894,4574
1731339048914,4510
1731339048934,4446
1731339048956,4350
1731339048974,4270
1731339048994,4182
1731339049013,4078
1731339049033,3994
1731339049053,3894
1731339049073,3802
1731339049093,3710
1731339049112,3606
1731339049132,3510
1731339049154,3418
1731339049192,3222
1731339049211,3118
1731339049231,3028
1731339049251,2926
1731339049271,2814
1731339049291,2710
1731339049310,2634
1731339049330,2558
1731339049350,2614
1731339049375,2774
1731339049410,3294
1731339049429,3518
1731339049449,3710
1731339049469,3886
1731339049489,4054
1731339049509,4190
1731339049548,4310
1731339049568,4282
1731339049588,4238
1731339049647,4094
1731339049707,3902
1731339049726,3838
1731339049746,3758
1731339049768,3670
1731339049786,3582
1731339049806,3502
1731339049825,3414
1731339049848,3318
1731339049865,3230
1731339049887,3150
1731339049905,3062
1731339049927,2966
1731339049944,2870
1731339049964,2774
1731339049984,2686
1731339050006,2582
1731339050023,2494
1731339050043,2414
1731339050063,2302
1731339050088,2222
1731339050123,2270
1731339050142,2454
1731339050165,2686
1731339050182,2910
1731339050202,3070
1731339050222,3222
1731339050244,3342
1731339050261,3454
1731339050281,3550
1731339050303,3574
1731339050323,3542
1731339050340,3502
1731339050360,3438
1731339050380,3406
1731339050403,3374
1731339050420,3326
1731339050459,3230
1731339050481,3158
1731339050499,3070
1731339050521,3022
1731339050539,2942
1731339050561,2878
1731339050578,2814
1731339050598,2734
1731339050618,2654
1731339050638,2582
1731339050657,2510
1731339050677,2430
1731339050697,2358
1731339050737,2190
1731339050756,2110
1731339050776,2026
1731339050796,1946
1731339050816,1966
1731339050836,2078
1731339050855,2302
1731339050875,2550
1731339050895,2750
1731339050915,2910
1731339050955,3182
1731339050974,3294
1731339050994,3374
1731339051014,3390
1731339051034,3374
1731339051054,3322
1731339051073,3286
1731339051093,3254
1731339051113,3222
1731339051133,3182
1731339051155,3126
1731339051173,3062
1731339051192,3006
1731339051212,2926
1731339051232,2858
1731339051252,2774
1731339051272,2686
1731339051291,2618
1731339051311,2538
1731339051331,2454
1731339051353,2366
1731339051390,2214
1731339051410,2138
1731339051430,2046
1731339051450,1966
1731339051470,1878
1731339051489,1812
1731339051509,1748
1731339051529,1710
1731339051549,1806
1731339051571,2006
1731339051588,2294
1731339051628,2782
1731339051648,2974
1731339051707,3478
1731339051727,3582
1731339051747,3630
1731339051786,3582
1731339051806,3574
1731339051826,3566
1731339051851,3550
1731339051885,3478
1731339051905,3438
1731339051928,3374
1731339051945,3310
1731339051965,3246
1731339051985,3166
1731339052007,3102
1731339052025,3022
1731339052044,2942
1731339052066,2870
1731339052086,2798
1731339052104,2714
1731339052123,2622
1731339052143,2526
1731339052165,2430
1731339052183,2350
1731339052202,2270
1731339052222,2218
1731339052245,2218
1731339052267,2326
1731339052302,2798
1731339052324,3030
1731339052341,3198
1731339052361,3358
1731339052381,3502
1731339052403,3646
1731339052420,3734
1731339052440,3774
1731339052460,3742
1731339052500,3678
1731339052519,3658
1731339052539,3626
1731339052562,3582
1731339052579,3550
1731339052599,3486
1731339052618,3438
1731339052641,3370
1731339052658,3306
1731339052678,3238
1731339052700,3166
1731339052720,3094
1731339052737,3030
1731339052777,2922
1731339052796,2846
1731339052817,2782
1731339052837,2702
1731339052856,2614
1731339052876,2526
1731339052896,2462
1731339052918,2458
1731339052935,2550
1731339052955,2774
1731339052975,3038
1731339052995,3258
1731339053015,3422
1731339053034,3582
1731339053054,3734
1731339053074,3838
1731339053094,3926
1731339053116,3934
1731339053153,3894
1731339053173,3886
1731339053193,3886
1731339053213,3862
1731339053232,3838
1731339053252,3806
1731339053272,3754
1731339053292,3694
1731339053312,3630
1731339053334,3566
1731339053352,3486
1731339053371,3430
1731339053391,3358
1731339053411,3306
1731339053430,3222
1731339053450,3150
1731339053470,3070
1731339053490,2974
1731339053510,2902
1731339053534,2814
1731339053569,2718
1731339053589,2814
1731339053609,3054
1731339053628,3366
1731339053648,3614
1731339053668,3838
1731339053708,4246
1731339053728,4446
1731339053787,4718
1731339053809,4702
1731339053827,4694
1731339053866,4670
1731339053886,4654
1731339053906,4606
1731339053928,4566
1731339053946,4510
1731339053965,4446
1731339053985,4374
1731339054007,4286
1731339054030,4222
1731339054064,4062
1731339054085,3990
1731339054104,3902
1731339054124,3822
1731339054143,3742
1731339054166,3670
1731339054183,3582
1731339054203,3510
1731339054223,3414
1731339054262,3262
1731339054282,3294
1731339054302,3486
1731339054324,3774
1731339054341,4062
1731339054362,4318
1731339054381,4558
1731339054403,4782
1731339054421,4990
1731339054441,5198
1731339054463,5342
1731339054483,5406
1731339054500,5406
1731339054520,5374
1731339054540,5310
1731339054562,5302
1731339054579,5294
1731339054599,5246
1731339054619,5214
1731339054641,5150
1731339054664,5086
1731339054699,4926
1731339054720,4854
1731339054738,4766
1731339054758,4670
1731339054777,4590
1731339054800,4506
1731339054817,4414
1731339054837,4318
1731339054857,4222
1731339054881,4142
1731339054916,3950
1731339054936,3838
1731339054956,3754
1731339054995,3582
1731339055035,3758
1731339055055,4014
1731339055075,4278
1731339055094,4502
1731339055114,4694
1731339055139,4862
1731339055174,5214
1731339055193,5310
1731339055213,5358
1731339055233,5342
1731339055253,5294
1731339055273,5246
1731339055292,5230
1731339055312,5214
1731339055332,5150
1731339055354,5118
1731339055391,4974
1731339055411,4894
1731339055431,4830
1731339055451,4758
1731339055471,4686
1731339055490,4590
1731339055510,4506
1731339055530,4414
1731339055550,4334
1731339055572,4254
1731339055590,4158
1731339055609,4078
1731339055629,3966
1731339055649,3894
1731339055669,3790
1731339055688,3694
1731339055708,3582
1731339055728,3550
1731339055748,3614
1731339055770,3806
1731339055808,4318
1731339055827,4526
1731339055847,4686
1731339055867,4846
1731339055887,4990
1731339055907,5118
1731339055926,5174
1731339055946,5174
1731339055966,5118
1731339055988,5086
1731339056005,5054
1731339056025,5054
1731339056045,5022
1731339056085,4910
1731339056104,4830
1731339056125,4782
1731339056144,4702
1731339056164,4634
1731339056184,4542
1731339056206,4462
1731339056243,4286
1731339056263,4206
1731339056283,4094
1731339056303,4030
1731339056322,3934
1731339056342,3838
1731339056362,3754
1731339056382,3662
1731339056402,3566
1731339056424,3470
1731339056441,3382
1731339056461,3286
1731339056481,3214
1731339056501,3214
1731339056520,3370
1731339056540,3646
1731339056560,3966
1731339056580,4246
1731339056600,4510
1731339056622,4734
1731339056640,4990
1731339056659,5214
1731339056679,5422
1731339056699,5550
1731339056719,5598
1731339056738,5590
1731339056758,5566
1731339056778,5566
1731339056798,5534
1731339056820,5534
1731339056838,5502
1731339056857,5438
1731339056877,5398
1731339056897,5342
1731339056917,5278
1731339056936,5206
1731339056956,5118
1731339056976,5038
1731339056996,4958
1731339057018,4862
1731339057035,4782
1731339057075,4574
1731339057095,4478
1731339057115,4398
1731339057135,4302
1731339057154,4206
1731339057174,4094
1731339057194,4014
1731339057214,3902
1731339057236,3806
1731339057253,3710
1731339057273,3646
1731339057293,3670
1731339057313,3854
1731339057352,4414
1731339057373,4662
1731339057392,4886
1731339057412,5086
1731339057432,5302
1731339057454,5486
1731339057471,5630
1731339057491,5694
1731339057531,5630
1731339057550,5598
1731339057570,5566
1731339057590,5534
1731339057610,5502
1731339057630,5438
1731339057649,5374
1731339057672,5294
1731339057689,5214
1731339057709,5118
1731339057729,5038
1731339057748,4942
1731339057771,4846
1731339057788,4734
1731339057808,4650
1731339057828,4542
1731339057848,4446
1731339057870,4342
1731339057887,4246
1731339057907,4150
1731339057927,4054
1731339057947,3950
1731339057966,3838
1731339057986,3726
1731339058006,3642
1731339058026,3550
1731339058045,3486
1731339058068,3518
1731339058085,3702
1731339058105,3950
1731339058125,4190
1731339058144,4382
1731339058165,4534
1731339058184,4670
1731339058204,4830
1731339058224,4958
1731339058244,5038
1731339058266,5038
1731339058283,4990
1731339058303,4942
1731339058323,4918
1731339058343,4886
1731339058363,4846
1731339058382,4782
1731339058402,4718
1731339058422,4638
1731339058442,4542
1731339058464,4470
1731339058481,4382
1731339058501,4286
1731339058521,4206
1731339058541,4094
1731339058561,4014
1731339058580,3926
1731339058600,3838
1731339058620,3742
1731339058640,3646
1731339058662,3550
1731339058680,3454
1731339058699,3350
1731339058719,3262
1731339058739,3166
1731339058759,3062
1731339058798,3006
1731339058838,3390
1731339058858,3646
1731339058878,3870
1731339058900,4074
1731339058917,4254
1731339058937,4438
1731339058957,4606
1731339058976,4734
1731339058996,4814
1731339059016,4814
1731339059036,4782
1731339059056,4734
1731339059075,4718
1731339059098,4670
1731339059115,4606
1731339059135,4558
1731339059155,4470
1731339059174,4394
1731339059194,4318
1731339059214,4222
1731339059234,4142
1731339059254,4062
1731339059274,3966
1731339059296,3878
1731339059313,3774
1731339059333,3694
1731339059353,3582
1731339059375,3502
1731339059392,3418
1731339059412,3318
1731339059432,3222
1731339059452,3130
1731339059472,3030
1731339059494,2942
1731339059511,2918
1731339059531,3006
1731339059551,3222
1731339059571,3486
1731339059590,3734
1731339059610,3950
1731339059630,4158
1731339059650,4374
1731339059670,4590
1731339059692,4766
1731339059710,4894
1731339059729,4926
1731339059749,4926
1731339059769,4910
1731339059788,4910
1731339059808,4862
1731339059828,4862
1731339059848,4830
1731339059868,4782
1731339059891,4734
1731339059907,4670
1731339059927,4606
1731339059947,4526
1731339059967,4446
1731339059987,4350
1731339060006,4270
1731339060026,4190
1731339060046,4094
1731339060066,4046
1731339060088,3934
1731339060105,3862
1731339060125,3774
1731339060145,3678
1731339060167,3574
1731339060185,3478
1731339060205,3382
1731339060224,3358
1731339060244,3422
1731339060264,3638
1731339060286,3886
1731339060304,4094
1731339060323,4318
1731339060343,4534
1731339060363,4734
1731339060383,4926
1731339060402,5086
1731339060422,5198
1731339060442,5230
1731339060462,5230
1731339060484,5214
1731339060501,5166
1731339060521,5118
1731339060561,5086
1731339060601,4990
1731339060620,4926
1731339060640,4862
1731339060660,4822
1731339060680,4734
1731339060700,4662
1731339060722,4590
1731339060739,4534
1731339060759,4462
1731339060779,4382
1731339060799,4334
1731339060818,4246
1731339060838,4174
1731339060858,4094
1731339060878,4014
1731339060898,3934
1731339060920,3838
1731339060938,3798
1731339060957,3870
1731339060977,4078
1731339060997,4350
1731339061016,4606
1731339061036,4862
1731339061056,5094
1731339061076,5310
1731339061096,5534
1731339061118,5758
1731339061136,5886
1731339061155,5942
1731339061175,5934
1731339061195,5886
1731339061215,5886
1731339061235,5878
1731339061254,5846
1731339061274,5806
1731339061294,5750
1731339061316,5694
1731339061333,5630
1731339061353,5534
1731339061373,5470
1731339061393,5374
1731339061413,5310
1731339061432,5238
1731339061452,5166
1731339061472,5086
1731339061492,4990
1731339061515,4910
1731339061531,4798
1731339061551,4718
1731339061571,4606
1731339061591,4510
1731339061611,4438
1731339061631,4462
1731339061650,4630
1731339061670,4862
1731339061690,5086
1731339061713,5294
1731339061730,5438
1731339061750,5598
1731339061772,5742
1731339061789,5886
1731339061809,5974
1731339061829,5998
1731339061868,5886
1731339061888,5854
1731339061908,5806
1731339061931,5750
1731339061947,5694
1731339061967,5630
1731339061987,5566
1731339062007,5502
1731339062027,5430
1731339062046,5342
1731339062066,5246
1731339062086,5150
1731339062106,5054
1731339062128,4958
1731339062145,4862
1731339062165,4734
1731339062185,4638
1731339062205,4534
1731339062225,4438
1731339062245,4334
1731339062264,4222
1731339062284,4142
1731339062304,4142
1731339062327,4282
1731339062343,4510
1731339062363,4758
1731339062383,4982
1731339062403,5166
1731339062423,5366
1731339062443,5550
1731339062463,5726
1731339062482,5846
1731339062502,5886
1731339062525,5886
1731339062541,5854
1731339062561,5822
1731339062581,5790
1731339062601,5758
1731339062621,5742
1731339062641,5694
1731339062660,5630
1731339062680,5566
