timestamp_ms,value
1731507366773,5454
1731507366794,5470
1731507366816,5462
1731507366837,5462
1731507366859,5462
1731507366881,5438
1731507366903,5438
1731507366925,5414
1731507366946,5398
1731507366971,5398
1731507366994,5374
1731507367012,5374
1731507367034,5342
1731507367056,5326
1731507367077,5310
1731507367099,5294
1731507367121,5278
1731507367143,5262
1731507367165,5238
1731507367187,5214
1731507367212,5214
1731507367230,5278
1731507367252,5342
1731507367274,5438
1731507367295,5502
1731507367317,5558
1731507367339,5598
1731507367361,5630
1731507367383,5630
1731507367405,5662
1731507367428,5678
1731507367451,5678
1731507367470,5694
1731507367492,5718
1731507367514,5758
1731507367535,5758
1731507367557,5782
1731507367579,5786
1731507367601,5790
1731507367623,5758
1731507367646,5758
1731507367667,5758
1731507367691,5742
1731507367710,5726
1731507367732,5718
1731507367754,5710
1731507367775,5694
1731507367797,5678
1731507367819,5662
1731507367841,5630
1731507367885,5614
1731507367906,5598
1731507367950,5558
1731507367972,5566
1731507367993,5630
1731507368015,5758
1731507368037,5870
1731507368059,5950
1731507368081,6014
1731507368102,6070
1731507368125,6126
1731507368146,6142
1731507368170,6190
1731507368190,6206
1731507368212,6238
1731507368234,6254
1731507368255,6270
1731507368277,6302
1731507368299,6318
1731507368320,6350
1731507368346,6358
1731507368364,6358
1731507368386,6350
1731507368410,6334
1731507368430,6318
1731507368451,6318
1731507368474,6302
1731507368495,6294
1731507368517,6270
1731507368539,6270
1731507368565,6238
1731507368582,6238
1731507368604,6206
1731507368626,6190
1731507368650,6142
1731507368670,6126
1731507368691,6110
1731507368713,6078
1731507368735,6070
1731507368757,6102
1731507368780,6190
1731507368800,6270
1731507368822,6390
1731507368844,6462
1731507368866,6518
1731507368890,6558
1731507368910,6590
1731507368931,6622
1731507368953,6654
1731507368975,6654
1731507368998,6654
1731507369019,6686
1731507369040,6702
1731507369062,6718
1731507369084,6750
1731507369106,6750
1731507369130,6750
1731507369149,6750
1731507369171,6718
1731507369193,6718
1731507369220,6686
1731507369236,6654
1731507369258,6654
1731507369280,6638
1731507369302,6622
1731507369324,6590
1731507369346,6590
1731507369370,6558
1731507369389,6526
1731507369411,6510
1731507369434,6486
1731507369455,6462
1731507369476,6430
1731507369498,6398
1731507369520,6398
1731507369542,6462
1731507369564,6558
1731507369586,6654
1731507369609,6742
1731507369629,6782
1731507369653,6838
1731507369673,6870
1731507369695,6878
1731507369717,6894
1731507369738,6894
1731507369760,6894
1731507369782,6910
1731507369804,6910
1731507369826,6942
1731507369851,6958
1731507369874,6974
1731507369891,6958
1731507369913,6958
1731507369934,6910
1731507369956,6910
1731507369978,6894
1731507370000,6878
1731507370022,6846
1731507370044,6838
1731507370066,6814
1731507370091,6782
1731507370109,6766
1731507370131,6718
1731507370153,6718
1731507370174,6654
1731507370196,6646
1731507370218,6622
1731507370240,6590
1731507370262,6622
1731507370284,6654
1731507370307,6782
1731507370330,6870
1731507370349,6942
1731507370371,7006
1731507370393,7038
1731507370414,7054
1731507370437,7070
1731507370458,7086
1731507370480,7086
1731507370502,7102
1731507370525,7086
1731507370546,7102
1731507370570,7118
1731507370589,7134
1731507370611,7134
1731507370633,7102
1731507370654,7102
1731507370676,7070
1731507370698,7070
1731507370720,7030
1731507370746,7006
1731507370764,6990
1731507370785,6958
1731507370810,6910
1731507370829,6910
1731507370851,6878
1731507370873,6846
1731507370894,6814
1731507370916,6806
1731507370938,6766
1731507370964,6734
1731507370982,6718
1731507371003,6718
1731507371025,6766
1731507371050,6862
1731507371069,6974
1731507371091,7062
1731507371112,7118
1731507371134,7166
1731507371156,7166
1731507371200,7246
1731507371222,7254
1731507371244,7254
1731507371265,7246
1731507371290,7254
1731507371309,7262
1731507371331,7286
1731507371352,7278
1731507371374,7262
1731507371396,7262
1731507371419,7230
1731507371440,7214
1731507371462,7166
1731507371483,7166
1731507371505,7134
1731507371530,7102
1731507371549,7086
1731507371571,7038
1731507371592,7030
1731507371614,6990
1731507371638,6974
1731507371680,6894
1731507371701,6862
1731507371723,6830
1731507371745,6782
1731507371769,6782
1731507371789,6814
1731507371810,6878
1731507371832,6974
1731507371854,7094
1731507371878,7158
1731507371898,7198
1731507371920,7230
1731507371941,7262
1731507371963,7286
1731507371985,7294
