timestamp_ms,value
599617723295.49,-112
599617723303.1823,-124
599617723310.8746,-14
599617723318.5669,296
599617723326.2593,623
599617723333.9515,647
599617723341.6438,346
599617723349.3362,-9
599617723357.0284,-198
599617723364.7207,-193
599617723372.4131,-157
599617723380.1053,-193
599617723387.7977,-214
599617723395.49,-188
599617723403.1823,-181
599617723410.8746,-186
599617723418.5669,-181
599617723426.2593,-188
599617723433.9515,-200
599617723441.6438,-193
599617723449.3362,-176
599617723457.0284,-167
599617723464.7207,-162
599617723472.4131,-160
599617723480.1053,-148
599617723487.7977,-128
599617723495.49,-119
599617723503.1823,-114
599617723510.8746,-97
599617723518.5669,-83
599617723526.2593,-69
599617723533.9515,-47
599617723541.6438,-23
599617723549.3362,-4
599617723557.0284,16
599617723564.7207,35
599617723572.4131,52
599617723580.1053,64
599617723587.7977,69
599617723595.49,57
599617723603.1823,28
599617723610.8746,-4
599617723618.5669,-33
599617723626.2593,-62
599617723633.9515,-88
599617723641.6438,-107
599617723649.3362,-119
599617723657.0284,-131
599617723664.7207,-140
599617723672.4131,-143
599617723680.1053,-138
599617723687.7977,-138
599617723695.49,-140
599617723703.1823,-133
599617723710.8746,-121
599617723718.5669,-112
599617723726.2593,-100
599617723733.9515,-95
599617723741.6438,-93
599617723749.3362,-90
599617723757.0284,-85
599617723764.7207,-83
599617723772.4131,-78
599617723780.1053,-78
599617723787.7977,-81
599617723795.49,-81
599617723803.1823,-78
599617723810.8746,-81
599617723818.5669,-81
599617723826.2593,-83
599617723833.9515,-78
599617723841.6438,-76
599617723849.3362,-76
599617723856.899,-76
599617723864.5913,-74
599617723872.2837,-78
599617723879.976,-78
599617723887.6683,-78
599617723895.3606,-81
599617723903.0529,-81
599617723910.7452,-78
599617723918.4375,-78
599617723926.1298,-76
599617723933.8221,-74
599617723941.5144,-71
599617723949.2068,-57
599617723956.899,-42
599617723964.5913,-64
599617723972.2837,-97
599617723979.976,-105
599617723987.6683,-100
599617723995.3606,-102
599617724003.0529,-102
599617724010.7452,-100
599617724018.4375,-109
599617724026.1298,-136
599617724033.8221,-138
599617724041.5144,23
599617724049.2068,396
599617724056.899,702
599617724064.5913,647
599617724072.2837,293
599617724079.976,-76
599617724087.6683,-236
599617724095.3606,-203
599617724103.0529,-181
599617724110.7452,-219
599617724118.4375,-219
599617724126.1298,-200
599617724133.8221,-203
599617724141.5144,-200
599617724149.2068,-188
