timestamp_ms,value
1740579681408,4350
1740579681430,4334
1740579681452,4318
1740579681473,4334
1740579681495,4382
1740579681517,4430
1740579681539,4502
1740579681561,4502
1740579681582,4478
1740579681604,4478
1740579681648,4414
1740579681670,4446
1740579681691,4462
1740579681735,4414
1740579681757,4350
1740579681779,4286
1740579681800,4270
1740579681822,4254
1740579681844,4254
1740579681868,4330
1740579681890,4398
1740579681909,4522
1740579681931,4606
1740579681997,4846
1740579682018,4894
1740579682040,4974
1740579682062,5054
1740579682084,5086
1740579682108,5102
1740579682127,5070
1740579682171,4958
1740579682215,4894
1740579682236,4846
1740579682258,4798
1740579682280,4766
1740579682302,4734
1740579682324,4734
1740579682348,4718
1740579682367,4654
1740579682389,4606
1740579682411,4542
1740579682454,4478
1740579682476,4446
1740579682498,4430
1740579682520,4398
1740579682541,4374
1740579682563,4382
1740579682587,4350
1740579682607,4350
1740579682628,4310
1740579682694,4158
1740579682716,4158
1740579682737,4222
1740579682759,4350
1740579682781,4478
1740579682803,4566
1740579682827,4638
1740579682846,4718
1740579682868,4766
1740579682890,4822
1740579682934,4862
1740579682977,4846
1740579682999,4798
1740579683021,4758
1740579683042,4702
1740579683067,4686
1740579683086,4694
1740579683108,4662
1740579683130,4606
1740579683173,4462
1740579683217,4406
1740579683239,4382
1740579683260,4350
1740579683282,4342
1740579683307,4334
1740579683326,4270
1740579683347,4190
1740579683369,4094
1740579683413,3998
1740579683435,3998
1740579683478,3934
1740579683500,3902
1740579683522,3838
1740579683546,3774
1740579683565,3710
1740579683587,3674
1740579683609,3646
1740579683653,3734
1740579683674,3886
1740579683696,4030
1740579683721,4094
1740579683740,4174
1740579683761,4246
1740579683786,4286
1740579683805,4342
1740579683827,4406
1740579683849,4478
1740579683892,4470
1740579683914,4430
1740579683936,4374
1740579683961,4342
1740579683980,4318
1740579684001,4270
1740579684025,4222
1740579684045,4190
1740579684067,4182
1740579684088,4158
1740579684113,4142
1740579684132,4094
1740579684154,4078
1740579684198,3998
1740579684219,3934
1740579684241,3886
1740579684265,3862
1740579684306,3818
1740579684328,3766
1740579684352,3742
1740579684372,3734
1740579684393,3710
1740579684415,3710
1740579684440,3742
1740579684459,3742
1740579684481,3726
1740579684506,3678
1740579684524,3646
1740579684546,3678
1740579684568,3766
1740579684592,3838
1740579684611,3958
1740579684633,4094
1740579684677,4286
1740579684698,4334
1740579684720,4382
1740579684745,4382
1740579684764,4350
1740579684786,4302
1740579684807,4286
1740579684832,4278
1740579684851,4206
1740579684873,4174
1740579684917,4222
1740579684938,4222
1740579684960,4206
1740579684984,4138
1740579685004,4094
1740579685025,4094
1740579685047,4074
1740579685072,3990
1740579685091,3918
1740579685112,3894
1740579685156,3902
1740579685178,3838
1740579685200,3774
1740579685224,3678
1740579685243,3582
1740579685266,3502
1740579685287,3422
1740579685311,3382
1740579685330,3382
1740579685352,3358
1740579685396,3406
1740579685439,3494
1740579685461,3582
1740579685483,3646
1740579685505,3710
1740579685526,3806
1740579685551,3946
1740579685570,4030
1740579685592,4094
1740579685614,4054
1740579685638,3998
1740579685657,3966
1740579685679,3934
1740579685701,3902
1740579685723,3886
1740579685744,3902
1740579685766,3934
1740579685790,3902
1740579685810,3838
1740579685831,3774
1740579685875,3678
1740579685897,3622
1740579685919,3630
1740579685940,3646
1740579685962,3630
1740579685984,3574
1740579686006,3494
1740579686030,3438
1740579686049,3406
1740579686071,3358
1740579686115,3244
1740579686137,3150
1740579686158,3070
1740579686180,3070
1740579686202,3150
1740579686224,3254
1740579686246,3414
1740579686270,3534
1740579686289,3582
1740579686311,3702
1740579686355,3886
1740579686376,3950
1740579686398,4062
1740579686420,4142
1740579686442,4158
1740579686463,4158
1740579686485,4094
1740579686510,4014
1740579686529,3950
1740579686551,3918
1740579686573,3838
1740579686594,3798
1740579686616,3758
1740579686638,3694
1740579686660,3614
1740579686681,3518
1740579686703,3454
1740579686725,3422
1740579686749,3326
1740579686768,3286
1740579686812,3166
1740579686834,3126
1740579686856,3102
1740579686877,3054
1740579686899,3022
1740579686921,2990
1740579686943,2902
1740579686965,2842
1740579686989,2814
1740579687008,2782
1740579687030,2782
1740579687052,2838
1740579687073,2910
1740579687095,3022
1740579687117,3166
