timestamp_ms,value
1724074011462,4334
1724074011481,4286
1724074011501,4222
1724074011520,4174
1724074011540,4094
1724074011560,4046
1724074011600,3898
1724074011620,3818
1724074011640,3758
1724074011660,3702
1724074011681,3626
1724074011700,3550
1724074011719,3470
1724074011739,3390
1724074011759,3326
1724074011779,3254
1724074011799,3198
1724074011819,3130
1724074011839,3070
1724074011858,3006
1724074011880,2938
1724074011898,2878
1724074011918,2798
1724074011938,2730
1724074011958,2654
1724074011978,2646
1724074011998,2716
1724074012018,2894
1724074012038,3190
1724074012057,3510
1724074012097,4094
1724074012117,4334
1724074012157,4734
1724074012177,4910
1724074012197,5054
1724074012216,5150
1724074012236,5214
1724074012256,5182
1724074012276,5118
1724074012296,5078
1724074012317,5022
1724074012336,4958
1724074012356,4926
1724074012376,4894
1724074012395,4862
1724074012415,4798
1724074012435,4734
1724074012455,4702
1724074012475,4606
1724074012495,4542
1724074012516,4478
1724074012535,4414
1724074012555,4350
1724074012574,4254
1724074012595,4190
1724074012634,4022
1724074012654,3958
1724074012674,3882
1724074012714,3742
1724074012734,3662
1724074012755,3582
1724074012793,3446
1724074012813,3382
1724074012833,3310
1724074012873,3162
1724074012893,3098
1724074012913,3030
1724074012952,2894
1724074012972,2910
1724074012992,3006
1724074013032,3534
1724074013052,3838
1724074013072,4094
1724074013094,4334
1724074013111,4534
1724074013131,4702
1724074013151,4862
1724074013174,4990
1724074013191,5086
1724074013211,5118
1724074013232,5118
1724074013253,5086
1724074013271,5022
1724074013290,4950
1724074013310,4862
1724074013333,4822
1724074013350,4782
1724074013370,4734
1724074013412,4630
1724074013430,4574
1724074013451,4526
1724074013470,4438
1724074013492,4350
1724074013509,4286
1724074013529,4218
1724074013549,4138
1724074013571,4062
1724074013589,3990
1724074013609,3918
1724074013629,3830
1724074013653,3758
1724074013668,3690
1724074013688,3614
1724074013708,3542
1724074013730,3470
1724074013748,3390
1724074013768,3310
1724074013788,3246
1724074013810,3166
1724074013827,3070
1724074013849,3022
1724074013867,2938
1724074013890,2862
1724074013907,2782
1724074013927,2702
1724074013947,2682
1724074013969,2750
1724074013987,2910
1724074014006,3182
1724074014026,3470
1724074014050,3710
1724074014066,3950
1724074014086,4138
1724074014106,4310
1724074014128,4446
1724074014146,4558
1724074014166,4654
1724074014185,4702
1724074014225,4654
1724074014245,4574
1724074014266,4510
1724074014288,4446
1724074014325,4334
1724074014345,4286
1724074014367,4222
1724074014384,4174
1724074014404,4094
1724074014424,4030
1724074014446,3946
1724074014464,3870
1724074014485,3774
1724074014504,3694
1724074014524,3610
1724074014543,3518
1724074014563,3422
1724074014583,3326
1724074014603,3262
1724074014623,3166
1724074014643,3070
1724074014663,3002
1724074014687,2922
1724074014702,2838
1724074014723,2762
1724074014742,2678
1724074014762,2606
1724074014782,2524
1724074014802,2446
1724074014822,2366
1724074014842,2294
1724074014862,2214
1724074014883,2142
1724074014902,2070
1724074014921,2066
1724074014941,2142
1724074014961,2326
1724074014981,2574
1724074015001,2842
1724074015021,3070
1724074015041,3262
1724074015061,3438
1724074015082,3566
1724074015101,3674
1724074015121,3758
1724074015140,3798
1724074015160,3804
1724074015180,3750
1724074015200,3710
1724074015239,3642
1724074015259,3582
1724074015279,3566
1724074015301,3542
1724074015319,3502
1724074015339,3454
1724074015359,3414
1724074015379,3358
1724074015399,3310
1724074015418,3246
1724074015438,3174
1724074015458,3110
1724074015478,3034
1724074015502,2974
1724074015518,2906
1724074015538,2846
1724074015558,2798
1724074015578,2734
1724074015597,2670
1724074015637,2542
1724074015657,2494
1724074015677,2430
1724074015697,2366
1724074015719,2302
1724074015737,2262
1724074015757,2206
1724074015776,2206
1724074015796,2270
1724074015816,2486
1724074015836,2762
1724074015856,3070
1724074015876,3350
1724074015896,3582
1724074015917,3790
1724074015936,3966
1724074015955,4094
1724074015975,4246
1724074015995,4334
1724074016015,4350
1724074016035,4350
1724074016055,4334
1724074016075,4286
1724074016095,4254
1724074016116,4222
1724074016135,4206
1724074016155,4158
1724074016174,4142
1724074016194,4094
1724074016214,4078
1724074016234,4014
1724074016254,3964
1724074016274,3902
1724074016293,3838
1724074016315,3774
1724074016333,3694
1724074016353,3638
1724074016373,3566
1724074016393,3486
1724074016413,3422
1724074016433,3342
1724074016455,3282
1724074016472,3198
1724074016492,3134
1724074016514,3070
1724074016532,3006
1724074016552,2926
1724074016572,2862
1724074016592,2782
1724074016612,2718
1724074016631,2686
1724074016652,2742
1724074016671,2910
1724074016691,3182
1724074016713,3510
1724074016731,3818
1724074016751,4094
1724074016791,4510
1724074016811,4702
1724074016830,4846
1724074016850,4974
1724074016870,5054
1724074016890,5086
1724074016910,5086
1724074016932,5038
1724074016950,4958
1724074016970,4910
1724074016990,4846
1724074017010,4798
1724074017029,4766
1724074017049,4718
1724074017069,4670
1724074017089,4606
1724074017109,4542
1724074017131,4478
1724074017149,4414
1724074017169,4334
1724074017188,4270
1724074017208,4190
1724074017228,4094
1724074017251,4030
1724074017268,3966
1724074017288,3882
1724074017308,3802
1724074017329,3726
1724074017348,3646
1724074017367,3574
1724074017387,3502
1724074017407,3422
1724074017427,3374
1724074017447,3286
1724074017467,3198
1724074017487,3126
1724074017506,3054
1724074017528,2982
1724074017546,2910
1724074017566,2862
1724074017586,2922
1724074017606,3070
1724074017646,3662
1724074017666,3934
1724074017686,4190
1724074017705,4414
1724074017725,4598
1724074017747,4766
1724074017765,4918
1724074017785,5022
1724074017805,5102
1724074017825,5150
1724074017845,5118
1724074017864,5086
1724074017884,5022
1724074017905,4926
1724074017924,4894
1724074017946,4830
1724074017964,4782
1724074017984,4734
1724074018004,4686
1724074018023,4630
1724074018043,4566
1724074018063,4478
1724074018083,4414
1724074018103,4334
1724074018143,4158
1724074018165,4078
1724074018183,3998
1724074018203,3918
1724074018222,3838
1724074018242,3758
1724074018262,3670
1724074018282,3574
1724074018302,3502
1724074018322,3414
1724074018342,3326
1724074018363,3262
1724074018382,3190
1724074018401,3114
1724074018421,3022
1724074018441,2942
1724074018461,2862
1724074018481,2782
1724074018501,2686
1724074018521,2622
1724074018541,2598
1724074018562,2654
1724074018600,3062
1724074018620,3318
1724074018640,3566
1724074018660,3774
1724074018680,3950
1724074018700,4094
1724074018720,4238
1724074018739,4350
1724074018759,4446
1724074018781,4510
1724074018799,4526
1724074018819,4506
1724074018839,4446
1724074018859,4382
1724074018878,4318
1724074018898,4278
1724074018918,4222
1724074018938,4190
1724074018958,4142
1724074018998,4030
1724074019018,3966
1724074019038,3894
1724074019057,3822
1724074019077,3758
1724074019097,3670
1724074019117,3582
1724074019137,3502
1724074019157,3434
1724074019177,3342
1724074019199,3262
1724074019217,3166
1724074019237,3070
1724074019256,3002
1724074019276,2922
1724074019296,2838
1724074019316,2750
1724074019336,2670
1724074019356,2598
1724074019396,2422
1724074019417,2342
1724074019436,2238
1724074019455,2158
1724074019475,2086
1724074019495,2006
1724074019515,1994
1724074019535,2046
1724074019555,2214
1724074019574,2430
1724074019594,2670
1724074019616,2894
1724074019634,3070
1724074019656,3254
1724074019674,3390
1724074019694,3514
1724074019714,3630
1724074019734,3690
1724074019754,3726
1724074019773,3710
1724074019793,3678
1724074019815,3638
1724074019853,3550
1724074019873,3518
1724074019893,3518
1724074019912,3478
1724074019932,3434
1724074019952,3390
1724074019972,3358
1724074019992,3278
1724074020012,3230
1724074020034,3166
1724074020052,3102
1724074020071,3038
1724074020091,2966
1724074020111,2878
1724074020131,2814
1724074020151,2750
1724074020171,2686
1724074020191,2606
1724074020211,2542
1724074020233,2486
1724074020251,2414
1724074020271,2342
1724074020290,2270
1724074020310,2206
1724074020330,2126
1724074020350,2070
1724074020370,2014
1724074020389,2014
1724074020409,2094
1724074020431,2286
1724074020452,2542
1724074020469,2814
1724074020489,3054
1724074020509,3262
1724074020529,3438
1724074020549,3582
1724074020568,3710
1724074020589,3806
1724074020608,3870
1724074020630,3870
1724074020648,3838
1724074020668,3822
1724074020688,3790
1724074020708,3770
1724074020727,3754
1724074020747,3734
1724074020768,3710
1724074020787,3694
1724074020807,3674
1724074020829,3638
1724074020847,3582
1724074020867,3550
1724074020887,3502
1724074020906,3446
1724074020926,3390
1724074020946,3326
1724074020966,3262
1724074020986,3198
1724074021006,3134
1724074021028,3070
1724074021046,3030
1724074021066,2958
1724074021085,2906
1724074021105,2836
1724074021125,2782
1724074021145,2718
1724074021165,2662
1724074021185,2590
1724074021205,2542
1724074021227,2494
1724074021244,2534
1724074021265,2678
1724074021284,2910
1724074021304,3198
1724074021324,3498
1724074021344,3742
1724074021364,3966
1724074021384,4142
1724074021403,4302
1724074021443,4542
1724074021463,4606
1724074021483,4654
1724074021503,4662
1724074021523,4606
1724074021543,4542
1724074021563,4502
1724074021582,4478
1724074021602,4446
1724074021622,4414
1724074021644,4378
1724074021662,4342
1724074021682,4286
1724074021702,4246
1724074021722,4186
1724074021742,4094
1724074021761,4054
1724074021801,3902
1724074021821,3838
1724074021841,3774
1724074021863,3694
1724074021901,3550
1724074021920,3478
1724074021940,3406
1724074021960,3326
1724074021980,3254
1724074022000,3198
1724074022020,3134
1724074022040,3062
1724074022060,2998
1724074022082,2926
1724074022099,2862
1724074022119,2782
1724074022139,2718
1724074022159,2702
1724074022199,2934
1724074022219,3190
1724074022239,3486
1724074022258,3774
1724074022278,4030
1724074022300,4238
1724074022318,4430
1724074022338,4590
1724074022358,4734
1724074022378,4854
1724074022398,4942
1724074022417,4974
1724074022437,4958
1724074022457,4926
1724074022477,4862
1724074022499,4782
1724074022517,4734
1724074022537,4702
1724074022557,4654
1724074022596,4574
1724074022616,4526
1724074022636,4470
1724074022656,4414
1724074022676,4334
1724074022696,4254
1724074022718,4182
1724074022736,4094
1724074022755,4030
1724074022775,3934
1724074022795,3870
1724074022815,3774
1724074022835,3710
1724074022858,3630
1724074022875,3550
1724074022894,3478
1724074022916,3406
1724074022934,3326
1724074022954,3254
1724074022974,3178
1724074022994,3102
1724074023014,3022
1724074023034,2942
1724074023053,2894
1724074023073,2806
1724074023093,2748
1724074023115,2730
1724074023133,2814
1724074023153,3006
1724074023173,3278
1724074023193,3574
1724074023212,3806
1724074023232,4014
1724074023252,4206
1724074023273,4350
1724074023292,4502
1724074023314,4606
1724074023332,4694
1724074023352,4734
1724074023371,4734
1724074023391,4670
1724074023411,4606
1724074023431,4558
1724074023451,4510
1724074023471,4446
1724074023491,4398
1724074023513,4350
1724074023531,4318
1724074023550,4254
1724074023570,4206
1724074023590,4138
1724074023610,4054
1724074023630,3966
1724074023652,3902
1724074023670,3822
1724074023689,3758
1724074023712,3670
1724074023729,3582
1724074023749,3534
1724074023769,3446
1724074023789,3374
1724074023809,3294
1724074023829,3220
1724074023849,3150
1724074023888,2990
1724074023908,2910
1724074023930,2838
1724074023948,2766
1724074023968,2670
1724074023988,2582
1724074024007,2494
1724074024027,2414
1724074024047,2350
1724074024067,2334
1724074024087,2422
1724074024107,2622
1724074024129,2878
1724074024147,3134
1724074024167,3358
1724074024186,3566
1724074024226,3854
1724074024246,3990
1724074024266,4094
1724074024286,4174
1724074024306,4190
1724074024326,4158
1724074024348,4094
1724074024365,4030
1724074024385,3990
1724074024405,3934
1724074024425,3886
1724074024445,3870
1724074024465,3822
1724074024484,3774
1724074024504,3710
1724074024524,3670
1724074024546,3582
1724074024564,3518
1724074024584,3446
1724074024624,3310
1724074024643,3230
1724074024663,3150
1724074024683,3070
1724074024703,3006
1724074024723,2934
1724074024743,2862
1724074024765,2798
1724074024783,2718
1724074024802,2654
1724074024822,2582
1724074024842,2494
1724074024862,2414
1724074024882,2350
1724074024902,2286
1724074024922,2218
1724074024942,2174
1724074024964,2222
1724074024981,2382
1724074025001,2602
1724074025021,2874
1724074025041,3118
1724074025081,3534
1724074025100,3694
1724074025120,3806
1724074025140,3926
1724074025160,3994
1724074025183,4014
1724074025200,3998
1724074025220,3946
1724074025240,3902
1724074025259,3862
1724074025279,3838
1724074025319,3806
1724074025339,3774
1724074025359,3742
1724074025379,3710
1724074025401,3670
1724074025419,3630
1724074025439,3566
1724074025458,3518
1724074025478,3454
1724074025498,3406
1724074025518,3350
1724074025538,3294
1724074025557,3230
1724074025577,3166
1724074025600,3118
1724074025617,3070
1724074025637,3006
1724074025657,2942
1724074025677,2894
1724074025697,2838
1724074025717,2774
1724074025736,2710
1724074025756,2654
1724074025776,2622
1724074025798,2650
1724074025816,2798
1724074025836,3038
1724074025856,3350
1724074025876,3662
1724074025895,3926
1724074025915,4142
1724074025935,4318
1724074025955,4478
1724074025975,4606
1724074025997,4718
1724074026015,4798
1724074026035,4790
1724074026057,4766
1724074026074,4702
1724074026094,4654
1724074026114,4590
1724074026154,4534
1724074026174,4478
1724074026194,4462
1724074026216,4414
1724074026233,4374
1724074026253,4334
1724074026273,4254
1724074026293,4206
1724074026313,4126
1724074026333,4062
1724074026352,3994
1724074026372,3926
1724074026392,3854
1724074026415,3790
1724074026432,3710
1724074026452,3642
1724074026472,3566
1724074026492,3502
1724074026511,3434
