timestamp_ms,value
599617544739.5651,-190
599617544747.2573,-178
599617544754.9497,-175
599617544762.642,-168
599617544770.3344,-152
599617544778.0266,-142
599617544785.7189,-128
599617544793.4113,-118
599617544801.1035,-147
599617544808.7958,-178
599617544816.4882,-152
599617544824.1804,-123
599617544831.8728,-123
599617544839.5651,-118
599617544847.2573,-116
599617544854.9497,-123
599617544862.642,-116
599617544870.3344,-104
599617544878.0266,-102
599617544885.7189,-114
599617544893.4113,-128
599617544901.1035,-125
599617544908.7958,-123
599617544916.4882,-135
599617544924.1804,-140
599617544931.8728,-123
599617544939.5651,-111
599617544947.2573,-106
599617544954.9497,-87
599617544962.642,-57
599617544970.3344,-40
599617544978.0266,-42
599617544985.7189,-52
599617544993.4113,-64
599617545001.1035,-64
599617545008.7958,-47
599617545016.4882,-40
599617545024.1804,-45
599617545031.8728,-49
599617545039.5651,-47
599617545047.2573,-40
599617545054.9497,-33
599617545062.642,49
599617545070.3344,289
599617545078.0266,570
599617545085.7189,705
599617545093.4113,432
599617545101.1035,-168
599617545108.7958,-361
599617545116.4882,-80
599617545124.1804,-7
599617545131.8728,-128
599617545139.5651,-92
599617545147.2573,-26
599617545154.9497,-47
599617545162.642,-57
599617545170.3344,-35
599617545178.0266,-28
599617545185.7189,-14
599617545193.4113,4
599617545201.1035,9
599617545208.7958,4
599617545216.4882,21
599617545224.1804,45
599617545231.8728,59
599617545239.5651,80
599617545247.2573,104
599617545254.9497,114
599617545262.642,133
599617545270.3344,154
599617545278.0266,161
599617545285.7189,163
599617545293.4113,149
599617545301.6863,123
599617545309.3785,106
599617545317.0709,80
599617545324.7632,54
599617545332.4556,28
599617545340.1478,-23
599617545347.8401,-52
599617545355.5325,-49
599617545363.2247,-52
599617545370.917,-64
599617545378.6094,-95
599617545386.3016,-142
599617545393.994,-142
599617545401.6863,-97
599617545409.3785,-85
599617545417.0709,-95
599617545424.7632,-114
599617545432.4556,-152
599617545440.1478,-142
599617545447.8401,-102
599617545455.5325,-95
599617545463.2247,-87
599617545470.917,-54
599617545478.6094,-49
599617545486.3016,-54
599617545493.994,-35
599617545501.6863,-21
599617545509.3785,-11
599617545517.0709,0
599617545524.7632,7
599617545532.4556,16
599617545540.1478,23
599617545547.8401,11
599617545555.5325,21
599617545563.2247,40
599617545570.917,35
599617545578.6094,38
599617545586.3016,42
599617545593.994,33
599617545601.6863,59
599617545609.3785,76
599617545617.0709,52
599617545624.7632,40
599617545632.4556,54
599617545640.1478,73
599617545647.8401,95
599617545655.5325,87
599617545663.2247,49
599617545670.917,57
599617545678.6094,85
599617545686.3016,73
599617545693.994,61
599617545701.6863,78
599617545709.3785,87
599617545717.0709,83
599617545724.7632,78
599617545732.4556,114
599617545740.1478,301
599617545747.8401,586
599617545755.5325,798
599617545763.2247,708
599617545770.917,137
599617545778.6094,-323
599617545786.3016,-118
599617545793.994,130
599617545801.6863,45
599617545809.3785,21
599617545817.0709,104
599617545824.7632,85
599617545832.4556,45
599617545840.1478,68
599617545847.8401,85
599617545855.5325,80
599617545863.8075,85
599617545871.4998,80
599617545879.1921,83
599617545886.8844,97
599617545894.5768,106
599617545902.269,135
599617545909.9613,154
599617545917.6537,144
599617545925.346,144
599617545933.0382,171
599617545940.7306,192
599617545948.4229,194
599617545956.1152,199
599617545963.8075,194
599617545971.4998,144
599617545979.1921,97
599617545986.8844,99
599617545994.5768,85
599617546002.269,23
599617546009.9613,-28
599617546017.6537,-66
599617546025.346,-99
599617546033.0382,-97
599617546040.7306,-68
599617546048.4229,-71
599617546056.1152,-85
599617546063.8075,-83
599617546071.4998,-66
599617546079.1921,-54
599617546086.8844,-57
599617546094.5768,-40
599617546102.269,-11
599617546109.9613,-26
599617546117.6537,-45
599617546125.346,-9
599617546133.0382,35
599617546140.7306,33
599617546148.4229,19
599617546156.1152,28
599617546163.8075,45
599617546171.4998,64
599617546179.1921,80
599617546186.8844,66
599617546194.5768,42
599617546202.269,59
599617546209.9613,80
599617546217.6537,68
599617546225.346,71
599617546233.0382,90
599617546240.7306,66
599617546248.4229,54
599617546256.1152,106
599617546263.8075,130
599617546271.4998,109
599617546279.1921,109
599617546286.8844,109
599617546294.5768,99
599617546302.269,116
599617546309.9613,137
599617546317.6537,130
599617546325.346,118
599617546333.0382,116
599617546340.7306,130
599617546348.4229,154
599617546356.1152,149
599617546363.8075,123
599617546371.4998,118
599617546379.1921,109
599617546386.8844,149
599617546394.5768,365
599617546402.269,655
599617546409.9613,836
599617546417.6537,691
599617546425.9592,78
599617546433.6515,-332
599617546441.3439,-97
599617546449.0361,109
599617546456.7285,19
599617546464.4208,19
599617546472.113,90
599617546479.8054,78
599617546487.4977,59
599617546495.19,78
599617546502.8823,73
599617546510.5746,30
599617546518.267,9
599617546525.9592,28
599617546533.6515,54
599617546541.3439,73
599617546549.0361,85
599617546556.7285,87
599617546564.4208,92
599617546572.113,111
599617546579.8054,147
599617546587.4977,180
599617546595.19,201
599617546602.8823,213
599617546610.5746,201
599617546618.267,185
599617546625.9592,178
599617546633.6515,156
599617546641.3439,111
599617546649.0361,66
599617546656.7285,33
599617546664.4208,0
599617546672.113,-21
599617546679.8054,-21
599617546687.4977,-28
599617546695.19,-49
599617546702.8823,-47
599617546710.5746,-38
599617546718.267,-42
599617546725.9592,-47
599617546733.6515,-42
599617546741.3439,-35
599617546749.0361,-19
599617546756.7285,-4
599617546764.4208,11
599617546772.113,33
599617546779.8054,49
599617546787.4977,57
599617546795.19,68
599617546802.8823,80
599617546810.5746,90
599617546818.267,85
599617546825.9592,80
599617546833.6515,83
599617546841.3439,73
599617546849.0361,61
599617546856.7285,57
599617546864.4208,49
599617546872.113,52
599617546879.8054,57
599617546887.4977,54
599617546895.19,61
599617546902.8823,71
599617546910.5746,68
599617546918.267,66
599617546925.9592,71
599617546933.6515,68
599617546941.3439,47
599617546949.0361,28
599617546956.7285,35
599617546964.4208,52
599617546972.113,52
599617546979.8054,64
599617546988.0804,90
599617546995.7727,99
599617547003.4651,95
599617547011.1573,104
599617547018.8497,116
599617547026.542,109
599617547034.2343,87
599617547041.9266,78
599617547049.6189,57
599617547057.3112,30
599617547065.0035,33
599617547072.6958,42
599617547080.3882,47
599617547088.0804,54
599617547095.7727,42
599617547103.4651,97
599617547111.1573,325
599617547118.8497,641
599617547126.542,857
599617547134.2343,703
599617547141.9266,71
599617547149.6189,-335
599617547157.3112,-109
599617547165.0035,59
599617547172.6958,-49
599617547180.3882,-38
599617547188.0804,38
599617547195.7727,9
599617547203.4651,0
599617547211.1573,42
599617547218.8497,54
599617547226.542,42
599617547234.2343,54
599617547241.9266,76
599617547249.6189,76
599617547257.3112,66
599617547265.0035,73
599617547272.6958,87
599617547280.3882,85
599617547288.0804,90
599617547295.7727,111
599617547303.4651,133
599617547311.1573,149
599617547318.8497,173
599617547326.542,190
599617547334.2343,192
599617547341.9266,182
599617547349.6189,159
599617547357.3112,133
599617547365.0035,109
599617547372.6958,76
599617547380.3882,42
599617547388.0804,26
599617547395.7727,4
599617547403.4651,-11
599617547411.1573,-11
599617547418.8497,-14
599617547426.542,-14
599617547434.2343,-4
599617547441.9266,-14
599617547449.6189,-42
599617547457.3112,-52
599617547465.0035,-26
599617547472.6958,-2
599617547480.3882,-2
599617547488.0804,0
599617547495.7727,11
599617547503.4651,19
599617547511.1573,33
599617547518.8497,52
599617547526.542,61
599617547534.2343,59
599617547541.9266,59
599617547550.2017,61
599617547557.8939,66
599617547565.5863,73
599617547573.2786,76
599617547580.971,71
599617547588.6632,61
599617547596.3555,54
599617547604.0479,61
599617547611.7401,64
599617547619.4324,59
599617547627.1248,54
599617547634.817,23
599617547642.5094,-19
599617547650.2017,-4
599617547657.8939,26
599617547665.5863,21
599617547673.2786,19
599617547680.971,21
599617547688.6632,23
599617547696.3555,40
599617547704.0479,61
599617547711.7401,66
599617547719.4324,66
599617547727.1248,68
599617547734.817,83
599617547742.5094,97
599617547750.2017,95
599617547757.8939,78
599617547765.5863,61
599617547773.2786,49
599617547780.971,47
599617547788.6632,57
599617547796.3555,59
599617547804.0479,61
599617547811.7401,64
599617547819.4324,57
599617547827.1248,128
599617547834.817,365
599617547842.5094,653
599617547850.2017,805
599617547857.8939,556
599617547865.5863,-71
599617547873.2786,-320
599617547880.971,-38
599617547888.6632,49
599617547896.3555,-78
599617547904.0479,-54
599617547911.7401,-9
599617547919.4324,-35
599617547927.1248,-23
599617547934.817,4
599617547942.5094,-2
599617547950.2017,-11
599617547957.8939,-14
599617547965.5863,-16
599617547973.2786,0
599617547980.971,23
599617547988.6632,28
599617547996.3555,28
599617548004.0479,54
599617548011.7401,90
599617548019.4324,111
599617548027.1248,135
599617548034.817,159
599617548042.5094,173
599617548050.2017,197
599617548057.8939,216
599617548065.5863,199
599617548073.2786,180
599617548080.971,163
599617548088.6632,128
599617548096.3555,80
599617548104.0479,47
599617548112.3229,35
599617548120.0151,30
599617548127.7075,11
599617548135.3998,-14
599617548143.0922,-14
599617548150.7844,2
599617548158.4767,11
599617548166.1691,9
599617548173.8613,-16
599617548181.5536,-49
599617548189.246,-45
599617548196.9382,-23
599617548204.6306,-4
599617548212.3229,11
599617548220.0151,2
599617548227.7075,-4
599617548235.3998,21
599617548243.0922,47
599617548250.7844,54
599617548258.4767,57
599617548266.1691,52
599617548273.8613,52
599617548281.5536,61
599617548289.246,68
599617548296.9382,73
599617548304.6306,68
599617548312.3229,54
599617548320.0151,54
599617548327.7075,66
599617548335.3998,54
599617548343.0922,49
599617548350.7844,59
599617548358.4767,54
599617548366.1691,52
599617548373.8613,68
599617548381.5536,66
599617548389.246,57
599617548396.9382,76
599617548404.6306,92
599617548412.3229,73
599617548420.0151,71
599617548427.7075,97
599617548435.3998,118
599617548443.0922,128
599617548450.7844,114
599617548458.4767,68
599617548466.1691,28
599617548473.8613,28
599617548481.5536,42
599617548489.246,38
599617548496.9382,26
599617548504.6306,33
599617548512.3229,45
599617548520.0151,45
599617548527.7075,68
599617548535.3998,228
599617548543.0922,503
599617548550.7844,748
599617548558.4767,715
599617548566.1691,171
599617548573.8613,-365
599617548581.5536,-242
599617548589.246,23
599617548596.9382,-49
599617548604.6306,-99
599617548612.3229,-28
599617548620.0151,-30
599617548627.7075,-54
599617548635.3998,-35
599617548643.0922,-26
599617548650.7844,-23
599617548658.4767,-11
599617548666.1691,0
599617548674.4441,0
599617548682.1364,7
599617548689.8287,23
599617548697.521,42
599617548705.2134,49
599617548712.9056,54
599617548720.5979,83
599617548728.2903,121
599617548735.9825,133
599617548743.6748,137
599617548751.3672,163
599617548759.0594,163
599617548766.7518,118
599617548774.4441,104
599617548782.1364,111
599617548789.8287,85
599617548797.521,35
599617548805.2134,-2
599617548812.9056,-28
599617548820.5979,-47
599617548828.2903,-78
599617548835.9825,-80
599617548843.6748,-61
599617548851.3672,-71
599617548859.0594,-71
599617548866.7518,-57
599617548874.4441,-68
599617548882.1364,-61
599617548889.8287,-33
599617548897.521,-38
599617548905.2134,-47
599617548912.9056,-28
599617548920.5979,4
599617548928.2903,19
599617548935.9825,14
599617548943.6748,26
599617548951.3672,40
599617548959.0594,30
599617548966.7518,7
599617548974.4441,7
599617548982.1364,11
599617548989.8287,7
599617548997.521,35
599617549005.2134,64
599617549012.9056,49
599617549020.5979,52
599617549028.2903,71
599617549035.9825,45
599617549043.6748,40
599617549051.3672,76
599617549059.0594,59
599617549066.7518,33
599617549074.4441,54
599617549082.1364,57
599617549089.8287,47
599617549097.521,66
599617549105.2134,71
599617549112.9056,54
599617549120.5979,57
599617549128.2903,66
599617549135.9825,52
599617549143.6748,42
599617549151.3672,42
599617549159.0594,42
599617549166.7518,26
599617549174.4441,26
