timestamp_ms,value
1729020805461,694
1729020805483,682
1729020805502,682
1729020805525,678
1729020805546,682
1729020805568,676
1729020805590,676
1729020805612,670
1729020805637,666
1729020805656,654
1729020805680,650
1729020805701,638
1729020805725,702
1729020805744,766
1729020805766,830
1729020805788,894
1729020805810,958
1729020805832,1022
1729020805853,1070
1729020805878,1134
1729020805903,1190
1729020805920,1262
1729020805941,1310
1729020805966,1374
1729020805985,1422
1729020806008,1502
1729020806029,1550
1729020806051,1606
1729020806073,1662
1729020806095,1726
1729020806122,1774
1729020806140,1838
1729020806161,1894
1729020806183,1958
1729020806207,2014
1729020806227,2062
1729020806249,2126
1729020806271,2190
1729020806293,2254
1729020806315,2310
1729020806339,2374
1729020806362,2430
1729020806381,2494
1729020806403,2542
1729020806425,2618
1729020806468,2654
1729020806490,2702
1729020806513,2782
1729020806534,2846
1729020806556,2894
1729020806581,2954
1729020806603,3014
1729020806622,3086
1729020806644,3150
1729020806666,3206
1729020806688,3262
1729020806710,3326
1729020806732,3374
1729020806756,3446
1729020806776,3502
1729020806800,3566
1729020806820,3622
1729020806844,3614
1729020806864,3614
1729020806886,3606
1729020806908,3610
1729020806930,3582
1729020806952,3606
1729020806974,3606
1729020806998,3582
1729020807022,3582
1729020807040,3582
1729020807061,3582
1729020807086,3582
1729020807105,3582
1729020807150,3574
1729020807171,3566
1729020807193,3582
1729020807215,3566
1729020807240,3562
1729020807264,3566
1729020807282,3550
1729020807303,3550
1729020807347,3550
1729020807369,3550
1729020807391,3548
1729020807412,3550
1729020807435,3550
1729020807457,3542
1729020807481,3542
1729020807506,3550
1729020807524,3542
1729020807545,3550
1729020807589,3534
1729020807610,3518
1729020807632,3518
1729020807654,3518
1729020807676,3510
1729020807698,3510
1729020807723,3502
1729020807748,3502
1729020807765,3502
1729020807786,3502
1729020807808,3502
1729020807830,3502
1729020807852,3502
1729020807877,3486
1729020807896,3482
1729020807918,3482
1729020807940,3486
1729020807967,3470
1729020807985,3478
1729020808006,3470
1729020808027,3454
