timestamp_ms,value
1724864315332,3806
1724864315353,3694
1724864315376,3582
1724864315395,3486
1724864315416,3418
1724864315437,3350
1724864315460,3294
1724864315479,3254
1724864315500,3180
1724864315520,3102
1724864315562,2910
1724864315584,2810
1724864315604,2702
1724864315625,2590
1724864315646,2478
1724864315667,2366
1724864315688,2270
1724864315709,2170
1724864315730,2092
1724864315751,2006
1724864315772,1902
1724864315793,1822
1724864315814,1726
1724864315835,1662
1724864315858,1684
1724864315876,1918
1724864315897,2366
1724864315918,2870
1724864315942,3278
1724864315960,3550
1724864315981,3706
1724864316002,3774
1724864316023,3790
1724864316044,3774
1724864316065,3710
1724864316086,3614
1724864316128,3414
1724864316149,3326
1724864316170,3278
1724864316190,3246
1724864316212,3214
1724864316232,3158
1724864316256,3102
1724864316274,3030
1724864316295,2942
1724864316316,2846
1724864316340,2766
1724864316358,2654
1724864316379,2554
1724864316400,2462
1724864316442,2278
1724864316463,2190
1724864316484,2110
1724864316504,2022
1724864316525,1946
1724864316546,1898
1724864316567,1978
1724864316588,2286
1724864316609,2742
1724864316630,3178
1724864316652,3478
1724864316672,3662
1724864316693,3742
1724864316714,3750
1724864316737,3734
1724864316756,3670
1724864316777,3566
1724864316798,3438
1724864316821,3326
1724864316839,3238
1724864316860,3182
1724864316902,3094
1724864316923,3038
1724864316944,2974
1724864316965,2910
1724864316986,2814
1724864317007,2730
1724864317028,2606
1724864317049,2494
1724864317070,2390
1724864317091,2286
1724864317112,2170
1724864317135,2062
1724864317153,1962
1724864317174,1854
1724864317195,1772
1724864317219,1706
1724864317237,1774
1724864317258,2090
1724864317279,2590
1724864317321,3434
1724864317342,3638
1724864317363,3754
1724864317384,3790
1724864317405,3774
1724864317426,3750
1724864317447,3662
1724864317467,3550
1724864317488,3438
1724864317530,3254
1724864317553,3190
1724864317572,3134
1724864317594,3070
1724864317617,3006
1724864317635,2942
1724864317656,2870
1724864317677,2766
1724864317700,2654
1724864317719,2558
1724864317740,2454
1724864317761,2350
1724864317803,2158
1724864317823,2076
1724864317844,1994
1724864317865,1910
1724864317886,1850
1724864317907,1898
1724864317928,2166
1724864317949,2654
1724864317970,3150
1724864317991,3542
1724864318014,3774
1724864318033,3902
1724864318054,3966
1724864318074,3966
1724864318098,3950
1724864318116,3894
1724864318137,3798
1724864318158,3678
1724864318180,3582
1724864318200,3518
1724864318221,3454
1724864318242,3406
1724864318263,3350
1724864318284,3294
1724864318305,3230
1724864318326,3158
1724864318347,3062
1724864318368,2974
1724864318389,2870
1724864318410,2778
1724864318430,2670
1724864318451,2558
1724864318472,2462
1724864318496,2358
1724864318514,2238
1724864318535,2130
1724864318556,2030
1724864318579,1942
1724864318598,2014
1724864318619,2270
1724864318640,2638
1724864318682,3150
1724864318702,3242
1724864318723,3262
1724864318744,3196
1724864318765,3070
1724864318786,2958
1724864318807,2782
1724864318828,2582
1724864318849,2414
1724864318870,2254
1724864318891,2110
1724864318912,1942
1724864318933,1790
1724864318954,1662
1724864318977,1550
1724864318995,1430
1724864319016,1326
1724864319037,1226
1724864319061,1110
1724864319079,1014
1724864319100,894
1724864319121,806
1724864319142,694
1724864319164,606
1724864319184,670
1724864319205,734
1724864319226,718
1724864319247,718
1724864319268,762
1724864319289,942
1724864319309,1246
1724864319330,1630
1724864319351,1942
1724864319375,2174
1724864319393,2334
1724864319414,2430
1724864319435,2510
1724864319458,2518
1724864319479,2510
1724864319498,2478
1724864319519,2446
1724864319560,2318
1724864319581,2302
1724864319602,2286
1724864319623,2266
1724864319644,2250
1724864319665,2230
1724864319686,2204
1724864319709,2174
1724864319728,2142
1724864319749,2106
1724864319770,2078
1724864319791,2046
1724864319812,2026
1724864319833,1998
1724864319856,1982
1724864319874,1950
1724864319895,1934
1724864319917,1926
1724864319940,1950
1724864319958,2126
1724864319979,2430
1724864320000,2822
1724864320042,3390
1724864320063,3582
