timestamp_ms,value
599616886448.6656,21
599616886456.3579,23
599616886464.0503,26
599616886471.7426,23
599616886479.4349,11
599616886487.1272,-21
599616886494.8195,-35
599616886502.5118,-11
599616886510.2041,-2
599616886517.8964,-9
599616886525.5887,-2
599616886533.281,2
599616886540.9734,4
599616886548.6656,14
599616886556.3579,16
599616886564.0503,19
599616886571.7426,16
599616886579.4349,9
599616886587.1272,19
599616886594.8195,54
599616886602.5118,76
599616886610.2041,71
599616886617.8964,66
599616886625.5887,57
599616886633.281,49
599616886640.9734,49
599616886648.6656,52
599616886656.3579,57
599616886664.0503,52
599616886671.7426,33
599616886679.4349,30
599616886687.1272,54
599616886694.8195,123
599616886702.5118,311
599616886710.2041,592
599616886717.8964,604
599616886725.5887,42
599616886733.281,-514
599616886740.9734,-371
599616886748.6656,-2
599616886756.3579,33
599616886764.0503,0
599616886771.7426,69
599616886779.4349,88
599616886787.1272,61
599616886794.8195,71
599616886802.5118,83
599616886810.2041,83
599616886817.8964,88
599616886825.5887,83
599616886833.281,73
599616886840.9734,73
599616886848.6656,78
599616886856.3579,88
599616886864.0503,102
599616886871.7426,99
599616886879.4349,90
599616886887.1272,88
599616886894.8195,92
599616886902.5118,107
599616886910.2041,116
599616886917.8964,121
599616886925.5887,133
599616886933.281,126
599616886940.9734,116
599616886948.6656,126
599616886956.3579,128
599616886964.0503,114
599616886971.7426,95
599616886979.4349,73
599616886987.1272,64
599616886994.8195,61
599616887002.5118,40
599616887010.7461,28
599616887018.4384,28
599616887026.1307,4
599616887033.823,-11
599616887041.5154,-2
599616887049.2076,2
599616887056.8999,0
599616887064.5923,-7
599616887072.2845,-23
599616887079.9768,-26
599616887087.6692,-9
599616887095.3615,0
599616887103.0538,4
599616887110.7461,-9
599616887118.4384,-49
599616887126.1307,-57
599616887133.823,-26
599616887141.5154,-16
599616887149.2076,-19
599616887156.8999,-11
599616887164.5923,-16
599616887172.2845,-30
599616887179.9768,-45
599616887187.6692,-49
599616887195.3615,-38
599616887203.0538,-35
599616887210.7461,-45
599616887218.4384,-30
599616887226.1307,-9
599616887233.823,-7
599616887241.5154,-2
599616887249.2076,0
599616887256.8999,-7
599616887264.5923,-2
599616887272.2845,14
599616887279.9768,23
599616887287.6692,33
599616887295.3615,45
599616887303.0538,59
599616887310.7461,59
599616887318.4384,49
599616887326.1307,47
599616887333.823,42
599616887341.5154,28
599616887349.2076,21
599616887356.8999,33
599616887364.5923,52
599616887372.2845,57
599616887379.9768,59
599616887387.6692,76
599616887395.3615,159
599616887403.0538,383
599616887410.7461,671
599616887418.4384,585
599616887426.1307,-76
599616887433.823,-554
599616887441.5154,-318
599616887449.2076,11
599616887456.8999,38
599616887464.5923,40
599616887472.2845,90
599616887479.9768,83
599616887487.6692,69
599616887495.3615,92
599616887503.0538,109
599616887510.7461,107
599616887518.4384,109
599616887526.1307,111
599616887533.823,109
599616887541.5154,114
599616887549.2076,126
599616887556.8999,128
599616887564.5923,119
599616887572.8165,119
599616887580.5088,130
599616887588.2012,138
599616887595.8934,140
599616887603.5858,138
599616887611.2781,128
599616887618.9703,123
599616887626.6627,130
599616887634.355,133
599616887642.0472,133
599616887649.7396,111
599616887657.4319,54
599616887665.1243,16
599616887672.8165,21
599616887680.5088,-7
599616887688.2012,-49
599616887695.8934,-52
599616887703.5858,-42
599616887711.2781,-45
599616887718.9703,-47
599616887726.6627,-42
599616887734.355,-45
599616887742.0472,-57
599616887749.7396,-66
599616887757.4319,-73
599616887765.1243,-83
599616887772.8165,-69
599616887780.5088,-49
599616887788.2012,-52
599616887795.8934,-57
599616887803.5858,-54
599616887811.2781,-64
599616887818.9703,-59
599616887826.6627,-45
599616887834.355,-42
599616887842.0472,-42
599616887849.7396,-33
599616887857.4319,-21
599616887865.1243,-16
599616887872.8165,-14
599616887880.5088,-16
599616887888.2012,-14
599616887895.8934,-4
599616887903.5858,0
599616887911.2781,-2
599616887918.9703,0
599616887926.6627,2
599616887934.355,4
599616887942.0472,19
599616887949.7396,23
599616887957.4319,19
599616887965.1243,30
599616887972.8165,54
599616887980.5088,71
599616887988.2012,76
599616887995.8934,76
599616888003.5858,76
599616888011.2781,61
599616888018.9703,45
599616888026.6627,52
599616888034.355,66
599616888042.0472,66
599616888049.7396,61
599616888057.4319,52
599616888065.1243,57
599616888072.8165,164
599616888080.5088,418
599616888088.2012,690
599616888095.8934,552
599616888103.5858,-142
599616888111.2781,-566
599616888118.9703,-254
599616888126.6627,52
599616888134.9072,19
599616888142.5995,14
599616888150.2919,73
599616888157.9841,66
599616888165.6765,57
599616888173.3688,83
599616888181.061,80
599616888188.7534,35
599616888196.4457,-16
599616888204.138,-23
599616888211.8303,4
599616888219.5226,11
599616888227.215,9
599616888234.9072,7
599616888242.5995,-21
599616888250.2919,-35
599616888257.9841,-7
599616888265.6765,21
599616888273.3688,23
599616888281.061,28
599616888288.7534,42
599616888296.4457,47
599616888304.138,40
599616888311.8303,33
599616888319.5226,26
599616888327.215,16
599616888334.9072,9
599616888342.5995,9
599616888350.2919,7
599616888357.9841,-14
