timestamp_ms,value
1724864944248,5462
1724864944266,5406
1724864944288,5374
1724864944309,5342
1724864944351,5278
1724864944372,5242
1724864944393,5198
1724864944414,5118
1724864944435,5078
1724864944456,5022
1724864944478,4942
1724864944499,4862
1724864944520,4790
1724864944541,4718
1724864944564,4606
1724864944583,4558
1724864944604,4606
1724864944625,4798
1724864944649,5086
1724864944667,5310
1724864944689,5470
1724864944710,5566
1724864944752,5598
1724864944773,5566
1724864944794,5502
1724864944815,5406
1724864944836,5310
1724864944857,5214
1724864944878,5118
1724864944899,5046
1724864944921,4990
1724864944942,4926
1724864944966,4862
1724864944984,4798
1724864945005,4734
1724864945026,4654
1724864945050,4574
1724864945068,4478
1724864945089,4414
1724864945110,4334
1724864945134,4238
1724864945153,4158
1724864945174,4078
1724864945195,3998
1724864945216,3918
1724864945237,3934
1724864945258,4094
1724864945279,4414
1724864945301,4734
1724864945321,4974
1724864945343,5118
1724864945366,5246
1724864945385,5310
1724864945406,5310
1724864945427,5310
1724864945451,5246
1724864945469,5166
1724864945490,5086
1724864945511,5014
1724864945533,4926
1724864945554,4862
1724864945575,4814
1724864945596,4766
1724864945617,4718
1724864945638,4670
1724864945659,4598
1724864945680,4542
1724864945701,4462
1724864945722,4398
1724864945743,4310
1724864945767,4246
1724864945786,4182
1724864945807,4094
1724864945828,4010
1724864945870,3834
1724864945891,3790
1724864945912,3854
1724864945933,4078
1724864945954,4350
1724864945975,4630
1724864945997,4830
1724864946018,4958
1724864946039,5050
1724864946060,5102
1724864946083,5118
1724864946102,5086
1724864946123,5038
1724864946144,4974
1724864946168,4910
1724864946186,4846
1724864946208,4782
1724864946229,4734
1724864946271,4662
1724864946292,4606
1724864946313,4574
1724864946334,4526
1724864946355,4470
1724864946376,4414
1724864946397,4374
1724864946418,4334
1724864946440,4278
1724864946461,4222
1724864946484,4182
1724864946503,4094
1724864946524,4062
1724864946545,4030
1724864946569,4094
1724864946587,4346
1724864946608,4702
1724864946629,5038
1724864946672,5486
1724864946693,5590
1724864946714,5622
1724864946735,5622
1724864946756,5566
1724864946777,5486
1724864946798,5406
1724864946819,5326
1724864946840,5238
1724864946861,5166
1724864946885,5118
1724864946904,5078
1724864946925,5022
1724864946946,4974
1724864946969,4910
1724864946988,4846
1724864947009,4790
1724864947030,4718
1724864947051,4654
1724864947072,4590
1724864947093,4510
1724864947115,4446
1724864947136,4350
1724864947157,4278
1724864947178,4206
1724864947199,4222
1724864947220,4398
1724864947241,4694
1724864947262,4974
1724864947286,5182
1724864947307,5310
1724864947326,5374
1724864947347,5374
1724864947370,5358
1724864947389,5278
1724864947410,5182
1724864947431,5086
1724864947452,4958
1724864947494,4774
1724864947515,4686
1724864947539,4606
1724864947579,4462
1724864947600,4374
1724864947621,4286
1724864947642,4190
1724864947663,4086
1724864947687,3998
1724864947706,3886
1724864947726,3774
1724864947747,3678
1724864947790,3454
1724864947832,3414
1724864947853,3582
1724864947874,3870
1724864947895,4126
1724864947916,4334
1724864947937,4446
1724864947958,4502
1724864947979,4510
1724864948003,4478
1724864948024,4438
1724864948043,4334
1724864948064,4254
1724864948087,4142
1724864948106,4022
1724864948127,3926
1724864948149,3838
1724864948190,3662
1724864948211,3550
1724864948233,3454
1724864948256,3358
1724864948275,3246
1724864948296,3134
1724864948317,3030
1724864948338,2926
1724864948359,2814
1724864948380,2702
1724864948404,2606
1724864948422,2508
1724864948443,2398
1724864948465,2302
