timestamp_ms,value
599617514863.7146,-109
599617514871.4069,-38
599617514879.0992,-61
599617514886.7915,2
599617514894.4839,26
599617514902.1761,28
599617514909.8684,49
599617514917.5608,40
599617514925.253,14
599617514932.9453,-2
599617514940.6377,-19
599617514948.33,-19
599617514956.0223,0
599617514963.7146,-4
599617514971.4069,-21
599617514979.0992,-9
599617514986.7915,11
599617514994.4839,28
599617515002.1761,57
599617515009.8684,78
599617515017.5608,95
599617515025.253,121
599617515032.9453,142
599617515040.6377,140
599617515048.33,123
599617515056.0223,109
599617515063.7146,76
599617515071.4069,38
599617515079.0992,14
599617515086.7915,-16
599617515094.4839,-42
599617515102.1761,-42
599617515109.8684,-49
599617515117.5608,-57
599617515125.253,-49
599617515132.9453,-40
599617515140.6377,-35
599617515148.33,-33
599617515156.0223,-35
599617515163.7146,-35
599617515171.4069,-16
599617515179.0992,14
599617515186.7915,23
599617515194.4839,21
599617515202.1761,30
599617515209.8684,45
599617515217.5608,52
599617515225.253,66
599617515232.9453,76
599617515240.6377,69
599617515248.33,59
599617515256.0223,59
599617515263.7146,69
599617515271.4069,64
599617515279.0992,33
599617515286.7915,7
599617515294.4839,11
599617515302.1761,26
599617515309.8684,33
599617515317.5608,35
599617515325.253,30
599617515332.9453,14
599617515340.6377,16
599617515348.33,54
599617515356.0223,83
599617515363.7146,83
599617515371.4069,78
599617515379.0992,66
599617515386.7915,47
599617515394.4839,52
599617515402.1761,71
599617515409.8684,76
599617515417.5608,78
599617515425.8053,80
599617515433.4976,116
599617515441.19,321
599617515448.8822,678
599617515456.5746,797
599617515464.2668,230
599617515471.9591,-595
599617515479.6515,-671
599617515487.3438,-190
599617515495.036,-16
599617515502.7284,-76
599617515510.4207,-35
599617515518.113,-28
599617515525.8053,-71
599617515533.4976,-45
599617515541.19,-2
599617515548.8822,-4
599617515556.5746,-16
599617515564.2668,-23
599617515571.9591,-26
599617515579.6515,-33
599617515587.3438,-28
599617515595.036,-7
599617515602.7284,-2
599617515610.4207,-7
599617515618.113,14
599617515625.8053,49
599617515633.4976,71
599617515641.19,97
599617515648.8822,119
599617515656.5746,128
599617515664.2668,135
599617515671.9591,130
599617515679.6515,107
599617515687.3438,80
599617515695.036,57
599617515702.7284,26
599617515710.4207,2
599617515718.113,-2
599617515725.8053,-2
599617515733.4976,-4
599617515741.19,-14
599617515748.8822,-26
599617515756.5746,-21
599617515764.2668,-11
599617515771.9591,-7
599617515779.6515,-2
599617515787.3438,-16
599617515795.036,-30
599617515802.7284,-7
599617515810.4207,21
599617515818.113,23
599617515825.8053,19
599617515833.4976,19
599617515841.19,28
599617515848.8822,40
599617515856.5746,47
599617515864.2668,54
599617515871.9591,57
599617515879.6515,49
599617515887.3438,47
599617515895.036,54
599617515902.7284,61
599617515910.4207,64
599617515918.113,66
599617515925.8053,61
599617515933.4976,61
599617515941.19,66
599617515948.8822,73
599617515956.5746,80
599617515964.2668,78
599617515971.9591,76
599617515979.6515,88
599617515987.9265,111
599617515995.6188,130
599617516003.3112,138
599617516011.0034,135
599617516018.6958,119
599617516026.3881,97
599617516034.0803,90
599617516041.7727,88
599617516049.465,76
599617516057.1572,42
599617516064.8496,9
599617516072.5419,21
599617516080.2343,157
599617516087.9265,480
599617516095.6188,792
599617516103.3112,542
599617516111.0034,-309
599617516118.6958,-709
599617516126.3881,-288
599617516134.0803,14
599617516141.7727,-54
599617516149.465,-40
599617516157.1572,35
599617516164.8496,11
599617516172.5419,-7
599617516180.2343,19
599617516187.9265,14
599617516195.6188,-4
599617516203.3112,4
599617516211.0034,16
599617516218.6958,19
599617516226.3881,28
599617516234.0803,38
599617516241.7727,42
599617516249.465,54
599617516257.1572,69
599617516264.8496,85
599617516272.5419,107
599617516280.2343,126
599617516287.9265,128
599617516295.6188,121
599617516303.3112,123
599617516311.0034,119
599617516318.6958,85
599617516326.3881,49
599617516334.0803,33
599617516341.7727,16
599617516349.465,-7
599617516357.1572,-16
599617516364.8496,-19
599617516372.5419,-26
599617516380.2343,-28
599617516387.9265,-26
599617516395.6188,-28
599617516403.3112,-28
599617516411.0034,-21
599617516418.6958,-16
599617516426.3881,-7
599617516434.0803,9
599617516441.7727,21
599617516449.465,35
599617516457.1572,49
599617516464.8496,54
599617516472.5419,64
599617516480.2343,73
599617516487.9265,76
599617516495.6188,78
599617516503.3112,80
599617516511.0034,76
599617516518.6958,78
599617516526.3881,83
599617516534.0803,80
599617516541.7727,76
599617516550.0477,76
599617516557.74,64
599617516565.4324,52
599617516573.1246,54
599617516580.817,59
599617516588.5093,52
599617516596.2015,21
599617516603.8939,-7
599617516611.5862,4
599617516619.2784,21
599617516626.9708,16
599617516634.6631,16
599617516642.3555,23
599617516650.0477,26
599617516657.74,45
599617516665.4324,61
599617516673.1246,59
599617516680.817,52
599617516688.5093,38
599617516696.2015,26
599617516703.8939,33
599617516711.5862,42
599617516719.2784,38
599617516726.9708,40
599617516734.6631,49
599617516742.3555,95
599617516750.0477,276
599617516757.74,609
599617516765.4324,778
599617516773.1246,283
599617516780.817,-523
599617516788.5093,-616
599617516796.2015,-176
599617516803.8939,-59
599617516811.5862,-142
599617516819.2784,-88
599617516826.9708,-40
599617516834.6631,-61
599617516842.3555,-45
599617516850.0477,-16
599617516857.74,-23
599617516865.4324,-26
599617516873.1246,-11
599617516880.817,2
599617516888.5093,14
599617516896.2015,26
599617516903.8939,33
599617516911.5862,40
599617516919.2784,57
599617516926.9708,80
599617516934.6631,104
599617516942.3555,123
599617516950.0477,140
599617516957.74,154
599617516965.4324,173
599617516973.1246,185
599617516980.817,183
599617516988.5093,164
599617516996.2015,138
599617517003.8939,111
599617517011.5862,95
599617517019.2784,85
599617517026.9708,73
599617517034.6631,61
599617517042.3555,52
599617517050.0477,38
599617517057.74,23
599617517065.4324,23
599617517073.1246,33
599617517080.817,35
599617517088.5093,30
599617517096.2015,33
599617517103.8939,47
599617517112.169,61
599617517119.8612,71
599617517127.5536,73
599617517135.2458,45
599617517142.9382,11
599617517150.6305,26
599617517158.3228,49
599617517166.0151,49
599617517173.7074,47
599617517181.3997,45
599617517189.092,40
599617517196.7843,49
599617517204.4767,59
599617517212.169,64
599617517219.8612,64
599617517227.5536,57
599617517235.2458,57
599617517242.9382,69
599617517250.6305,76
599617517258.3228,78
599617517266.0151,76
599617517273.7074,69
599617517281.3997,69
599617517289.092,73
599617517296.7843,49
599617517304.4767,28
599617517312.169,45
599617517319.8612,59
599617517327.5536,54
599617517335.2458,59
