timestamp_ms,value
599617785790.6064,109
599617785798.2987,92
599617785805.9911,78
599617785813.6833,80
599617785821.3757,80
599617785829.068,64
599617785836.7603,30
599617785844.4526,-11
599617785852.1449,-21
599617785859.8372,-7
599617785867.5295,-2
599617785875.2218,-2
599617785882.9142,-2
599617785890.6064,-23
599617785898.2987,-35
599617785905.9911,-14
599617785913.6833,7
599617785921.3757,0
599617785929.068,-2
599617785936.7603,9
599617785944.4526,19
599617785952.1449,23
599617785959.8372,30
599617785967.5295,26
599617785975.2218,7
599617785982.9142,-9
599617785990.6064,-21
599617785998.2987,-33
599617786005.9911,-28
599617786013.6833,-30
599617786021.3757,-38
599617786029.068,-30
599617786036.7603,-21
599617786044.4526,-16
599617786052.1449,-14
599617786059.8372,-16
599617786067.5295,-21
599617786075.2218,-11
599617786082.9142,2
599617786090.6064,4
599617786098.2987,2
599617786105.9911,-2
599617786113.6833,-2
599617786121.3757,9
599617786129.068,33
599617786136.7603,57
599617786144.4526,71
599617786152.1449,66
599617786159.8372,49
599617786167.5295,45
599617786175.2218,45
599617786182.9142,45
599617786190.6064,45
599617786198.2987,38
599617786205.9911,30
599617786213.6833,47
599617786221.3757,69
599617786229.068,126
599617786236.7603,316
599617786244.4526,595
599617786252.1449,590
599617786259.8372,-7
599617786267.5295,-576
599617786275.2218,-388
599617786282.9142,-4
599617786290.6064,7
599617786298.2987,-30
599617786305.9911,40
599617786313.6833,52
599617786321.3757,35
599617786329.068,61
599617786336.7603,66
599617786344.4526,52
599617786352.6971,69
599617786360.3894,85
599617786368.0818,78
599617786375.774,78
599617786383.4664,83
599617786391.1587,71
599617786398.851,52
599617786406.5433,59
599617786414.2356,80
599617786421.9279,54
599617786429.6202,14
599617786437.3125,23
599617786445.0049,59
599617786452.6971,80
599617786460.3894,90
599617786468.0818,88
599617786475.774,78
599617786483.4664,71
599617786491.1587,59
599617786498.851,49
599617786506.5433,35
599617786514.2356,11
599617786521.9279,-2
599617786529.6202,4
599617786537.3125,11
599617786545.0049,11
599617786552.6971,4
599617786560.3894,-19
599617786568.0818,-38
599617786575.774,-23
599617786583.4664,-14
599617786591.1587,-14
599617786598.851,-4
599617786606.5433,2
599617786614.2356,0
599617786621.9279,4
599617786629.6202,7
599617786637.3125,9
599617786645.0049,28
599617786652.6971,35
599617786660.3894,21
599617786668.0818,21
599617786675.774,30
599617786683.4664,23
599617786691.1587,4
599617786698.851,-4
599617786706.5433,-9
599617786714.2356,-14
599617786721.9279,-19
599617786729.6202,-26
599617786737.3125,-38
599617786745.0049,-45
599617786752.6971,-40
599617786760.3894,-28
599617786768.0818,-28
599617786775.774,-30
599617786783.4664,-23
599617786791.1587,-21
599617786798.851,-26
599617786806.5433,-9
599617786814.2356,21
599617786821.9279,35
599617786829.6202,38
599617786837.3125,42
599617786845.0049,30
599617786852.6971,7
599617786860.3894,7
599617786868.0818,19
599617786875.774,11
599617786883.4664,11
599617786891.1587,23
599617786898.851,21
599617786906.5433,45
599617786914.7572,235
599617786922.4495,564
599617786930.1418,637
599617786937.8341,73
599617786945.5265,-597
599617786953.2188,-547
599617786960.911,-164
599617786968.6034,-92
599617786976.2957,-126
599617786983.9879,-66
599617786991.6803,-42
599617786999.3726,-54
599617787007.065,-38
599617787014.7572,-19
599617787022.4495,-21
599617787030.1418,-11
599617787037.8341,9
599617787045.5265,23
599617787053.2188,26
599617787060.911,26
599617787068.6034,35
599617787076.2957,38
599617787083.9879,47
599617787091.6803,71
599617787099.3726,80
599617787107.065,88
599617787114.7572,92
599617787122.4495,99
599617787130.1418,123
599617787137.8341,130
599617787145.5265,126
599617787153.2188,128
599617787160.911,138
599617787168.6034,133
599617787176.2957,114
599617787183.9879,102
599617787191.6803,88
599617787199.3726,66
599617787207.065,61
599617787214.7572,52
599617787222.4495,28
599617787230.1418,28
599617787237.8341,33
599617787245.5265,11
599617787253.2188,-4
599617787260.911,-9
599617787268.6034,7
599617787276.2957,23
599617787283.9879,11
599617787291.6803,9
599617787299.3726,35
599617787307.065,40
599617787314.7572,33
599617787322.4495,30
599617787330.1418,30
599617787337.8341,35
599617787345.5265,59
599617787353.2188,69
599617787360.911,45
599617787368.6034,33
599617787376.2957,33
599617787383.9879,28
599617787391.6803,16
599617787399.3726,-16
599617787407.065,-42
599617787414.7572,-49
599617787422.4495,-49
599617787430.1418,-40
599617787437.8341,-45
599617787445.5265,-57
599617787453.2188,-45
599617787460.911,-26
599617787468.6034,-33
599617787476.8175,-26
599617787484.5098,4
599617787492.2021,7
599617787499.8944,2
599617787507.5868,-7
599617787515.279,-26
599617787522.9713,-21
599617787530.6637,0
599617787538.356,-4
599617787546.0482,-16
599617787553.7406,-11
599617787561.4329,9
599617787569.1252,54
599617787576.8175,197
599617787584.5098,490
599617787592.2021,697
599617787599.8944,278
599617787607.5868,-535
599617787615.279,-685
599617787622.9713,-226
599617787630.6637,-40
599617787638.356,-90
599617787646.0482,-33
599617787653.7406,9
599617787661.4329,-11
599617787669.1252,9
599617787676.8175,28
599617787684.5098,16
599617787692.2021,19
599617787699.8944,30
599617787707.5868,33
599617787715.279,21
599617787722.9713,19
599617787730.6637,33
599617787738.356,45
599617787746.0482,45
599617787753.7406,59
599617787761.4329,76
599617787769.1252,80
599617787776.8175,80
599617787784.5098,88
599617787792.2021,107
599617787799.8944,135
599617787807.5868,157
599617787815.279,152
599617787822.9713,133
599617787830.6637,133
599617787838.356,130
599617787846.0482,116
599617787853.7406,97
599617787861.4329,76
599617787869.1252,66
599617787876.8175,71
599617787884.5098,64
599617787892.2021,57
599617787899.8944,66
599617787907.5868,52
599617787915.279,11
599617787922.9713,-4
599617787930.6637,16
599617787938.356,23
599617787946.0482,7
599617787953.7406,7
599617787961.4329,11
599617787969.1252,-2
599617787976.8175,4
599617787984.5098,30
599617787992.2021,30
599617787999.8944,23
599617788007.5868,28
599617788015.279,38
599617788022.9713,35
599617788030.6637,35
599617788038.8777,40
599617788046.57,33
599617788054.2623,21
599617788061.9546,33
599617788069.647,40
599617788077.3392,19
599617788085.0315,-4
599617788092.7239,-35
599617788100.4161,-69
599617788108.1084,-61
599617788115.8008,-33
599617788123.493,-11
599617788131.1854,2
599617788138.8777,9
599617788146.57,4
599617788154.2623,-4
599617788161.9546,-9
599617788169.647,-9
599617788177.3392,-14
599617788185.0315,-30
599617788192.7239,-28
599617788200.4161,-11
599617788208.1084,-14
599617788215.8008,4
599617788223.493,145
599617788231.1854,426
599617788238.8777,628
599617788246.57,290
599617788254.2623,-449
599617788261.9546,-649
599617788269.647,-228
599617788277.3392,-7
599617788285.0315,-57
599617788292.7239,-11
599617788300.4161,47
599617788308.1084,23
599617788315.8008,16
599617788323.493,33
599617788331.1854,38
599617788338.8777,49
599617788346.57,61
599617788354.2623,61
599617788361.9546,64
599617788369.647,76
599617788377.3392,80
599617788385.0315,90
599617788392.7239,107
599617788400.4161,107
599617788408.1084,99
599617788415.8008,85
599617788423.493,66
599617788431.1854,85
599617788438.8777,128
599617788446.57,142
599617788454.2623,116
599617788461.9546,99
599617788469.647,126
599617788477.3392,140
599617788485.0315,121
599617788492.7239,92
599617788500.4161,71
599617788508.1084,64
599617788515.8008,64
599617788523.493,59
599617788531.1854,52
599617788538.8777,52
599617788546.57,42
599617788554.2623,33
599617788561.9546,33
599617788569.647,38
599617788577.3392,42
599617788585.0315,38
599617788592.7239,33
599617788600.9379,45
599617788608.6301,54
599617788616.3225,54
599617788624.0148,61
599617788631.7072,64
599617788639.3994,42
599617788647.0917,30
599617788654.784,49
599617788662.4763,61
599617788670.1686,38
599617788677.861,0
599617788685.5532,-14
599617788693.2456,-9
599617788700.9379,-23
599617788708.6301,-30
599617788716.3225,-19
599617788724.0148,-14
599617788731.7072,-19
599617788739.3994,-14
599617788747.0917,0
599617788754.784,19
599617788762.4763,28
599617788770.1686,33
599617788777.861,26
599617788785.5532,7
599617788793.2456,-9
599617788800.9379,-14
599617788808.6301,-23
599617788816.3225,-35
599617788824.0148,-23
599617788831.7072,-7
599617788839.3994,-2
599617788847.0917,4
599617788854.784,28
599617788862.4763,140
599617788870.1686,411
599617788877.861,626
599617788885.5532,297
599617788893.2456,-440
599617788900.9379,-637
599617788908.6301,-209
599617788916.3225,0
599617788924.0148,-90
599617788931.7072,-59
599617788939.3994,14
599617788947.0917,-19
599617788954.784,-30
599617788962.4763,0
599617788970.1686,0
599617788977.861,9
599617788985.5532,35
599617788993.2456,35
599617789000.9379,28
599617789008.6301,45
599617789016.3225,57
599617789024.0148,61
599617789031.7072,57
599617789039.3994,66
599617789047.0917,99
599617789054.784,111
599617789062.4763,107
599617789070.1686,114
599617789077.861,126
599617789085.5532,147
599617789093.2456,159
599617789100.9379,149
599617789108.6301,159
599617789116.3225,171
599617789124.0148,145
599617789131.7072,111
599617789139.3994,109
599617789147.0917,104
599617789154.784,92
599617789163.0284,83
599617789170.7207,66
599617789178.4131,64
599617789186.1053,64
599617789193.7977,40
599617789201.49,21
599617789209.1823,21
599617789216.8746,-11
599617789224.5669,-52
599617789232.2592,-40
599617789239.9515,-9
599617789247.6438,0
599617789255.3362,-11
599617789263.0284,-40
599617789270.7207,-49
599617789278.4131,-33
599617789286.1053,-16
599617789293.7977,-2
599617789301.49,-19
599617789309.1823,-61
599617789316.8746,-57
599617789324.5669,-35
599617789332.2592,-57
599617789339.9515,-66
599617789347.6438,-64
599617789355.3362,-104
599617789363.0284,-107
599617789370.7207,-66
599617789378.4131,-69
599617789386.1053,-78
599617789393.7977,-47
599617789401.49,-11
599617789409.1823,-2
599617789416.8746,-7
599617789424.5669,-26
599617789432.2592,-64
599617789439.9515,-88
599617789447.6438,-80
599617789455.3362,-69
599617789463.0284,-71
599617789470.7207,-73
599617789478.4131,-76
599617789486.1053,-76
599617789493.7977,-21
599617789501.49,169
599617789509.1823,457
599617789516.8746,495
599617789524.5669,-64
599617789532.2592,-678
599617789539.9515,-559
599617789547.6438,-128
599617789555.3362,-38
599617789563.0284,-76
599617789570.7207,-23
599617789578.4131,-11
599617789586.1053,-33
599617789593.7977,0
599617789601.49,30
599617789609.1823,16
599617789616.8746,16
599617789624.5669,35
599617789632.2592,38
599617789639.9515,40
599617789647.6438,54
599617789655.3362,64
599617789663.0284,61
599617789670.7207,71
599617789678.4131,83
599617789686.1053,76
599617789693.7977,78
599617789701.49,97
599617789709.1823,102
599617789716.8746,104
599617789725.0887,126
599617789732.781,147
599617789740.4734,152
599617789748.1656,145
599617789755.858,107
599617789763.5503,59
599617789771.2426,54
599617789778.9349,59
599617789786.6272,47
599617789794.3195,40
599617789802.0118,28
599617789809.7041,14
599617789817.3965,26
599617789825.0887,38
599617789832.781,28
599617789840.4734,23
599617789848.1656,23
599617789855.858,33
599617789863.5503,42
599617789871.2426,45
599617789878.9349,49
599617789886.6272,61
599617789894.3195,61
599617789902.0118,64
599617789909.7041,83
599617789917.3965,88
599617789925.0887,69
599617789932.781,40
599617789940.4734,35
599617789948.1656,49
599617789955.858,54
599617789963.5503,54
599617789971.2426,69
599617789978.9349,71
599617789986.6272,57
599617789994.3195,59
599617790002.0118,66
599617790009.7041,71
599617790017.3965,80
599617790025.0887,73
599617790032.781,64
599617790040.4734,76
599617790048.1656,90
599617790055.858,107
599617790063.5503,119
599617790071.2426,99
599617790078.9349,73
599617790086.6272,76
599617790094.3195,78
599617790102.0118,64
599617790109.7041,54
599617790117.3965,54
599617790125.0887,71
599617790132.781,78
599617790140.4734,78
599617790148.1656,128
599617790155.858,302
599617790163.5503,580
599617790171.2426,630
599617790178.9349,78
599617790186.6272,-585
599617790194.3195,-523
599617790202.0118,-97
599617790209.7041,-2
599617790217.3965,-54
599617790225.0887,-4
599617790232.781,30
599617790240.4734,21
599617790248.1656,23
599617790255.858,23
599617790263.5503,28
599617790271.2426,40
599617790278.9349,49
599617790287.1489,49
599617790294.8412,45
599617790302.5336,47
599617790310.2258,64
599617790317.9182,80
599617790325.6105,80
599617790333.3027,85
599617790340.9951,99
599617790348.6874,104
599617790356.3796,102
599617790364.072,119
599617790371.7643,140
599617790379.4567,138
