timestamp_ms,value
1737145883622,4798
1737145883645,4718
1737145883664,4606
1737145883685,4526
1737145883706,4462
1737145883727,4438
1737145883748,4430
1737145883769,4462
1737145883791,4462
1737145883812,4462
1737145883833,4414
1737145883854,4350
1737145883878,4310
1737145883896,4246
1737145883917,4206
1737145883939,4142
1737145883962,4094
1737145883981,4054
1737145884002,4006
1737145884023,3966
1737145884065,3886
1737145884086,3838
1737145884108,3806
1737145884129,3790
1737145884150,3766
1737145884171,3822
1737145884192,4030
1737145884214,4406
1737145884234,4830
1737145884255,5166
1737145884280,5398
1737145884298,5526
1737145884319,5582
1737145884340,5582
1737145884364,5566
1737145884382,5526
1737145884403,5438
1737145884425,5342
1737145884446,5246
1737145884467,5174
1737145884489,5118
1737145884509,5110
1737145884530,5110
1737145884551,5102
1737145884572,5070
1737145884593,5014
1737145884615,4926
1737145884636,4854
1737145884657,4766
1737145884681,4662
1737145884702,4526
1737145884720,4382
1737145884741,4222
1737145884765,4094
1737145884784,3990
1737145884805,3838
1737145884826,3642
1737145884847,3422
1737145884868,3222
1737145884889,3062
1737145884911,2966
1737145884932,2966
1737145884953,3194
1737145884974,3626
1737145884997,4094
1737145885016,4478
1737145885037,4726
1737145885058,4830
1737145885082,4862
1737145885100,4854
1737145885122,4814
1737145885143,4734
1737145885185,4446
1737145885206,4254
1737145885227,4062
1737145885248,3926
1737145885270,3806
1737145885291,3742
1737145885312,3678
1737145885333,3614
1737145885355,3518
1737145885375,3390
1737145885399,3262
1737145885417,3134
1737145885438,3030
1737145885460,2926
1737145885483,2842
1737145885502,2762
1737145885523,2666
1737145885544,2602
1737145885587,2430
1737145885608,2366
1737145885629,2302
1737145885650,2222
1737145885671,2174
1737145885692,2206
1737145885713,2446
1737145885734,2906
1737145885755,3454
1737145885776,3934
1737145885819,4462
1737145885840,4566
1737145885861,4606
1737145885885,4606
1737145885903,4630
1737145885925,4590
1737145885946,4478
1737145885967,4382
1737145885988,4278
1737145886009,4206
1737145886051,4158
1737145886072,4158
1737145886093,4158
1737145886117,4142
1737145886136,4094
1737145886157,4046
1737145886178,3982
1737145886202,3902
1737145886220,3838
1737145886241,3758
1737145886263,3702
1737145886305,3582
1737145886326,3566
1737145886347,3514
1737145886368,3454
1737145886389,3390
1737145886410,3326
1737145886431,3278
1737145886452,3318
1737145886474,3550
1737145886496,3966
1737145886519,4470
1737145886537,4862
1737145886558,5166
1737145886579,5310
1737145886603,5374
1737145886622,5406
1737145886643,5374
1737145886664,5342
1737145886685,5270
1737145886707,5166
1737145886727,5046
1737145886748,4958
1737145886769,4894
1737145886790,4862
1737145886811,4830
1737145886833,4822
1737145886854,4798
1737145886875,4782
1737145886896,4734
1737145886920,4662
1737145886938,4566
1737145886960,4458
1737145886981,4350
1737145887004,4254
1737145887023,4158
1737145887044,4086
1737145887065,3998
1737145887086,3902
1737145887107,3798
1737145887129,3678
1737145887150,3566
1737145887171,3454
1737145887192,3390
1737145887213,3422
1737145887237,3678
1737145887255,4094
1737145887276,4542
1737145887297,4862
1737145887321,5054
1737145887343,5166
1737145887361,5182
1737145887382,5182
1737145887424,5022
1737145887445,4918
1737145887466,4798
1737145887487,4726
1737145887509,4702
1737145887530,4702
1737145887551,4734
1737145887575,4734
1737145887593,4730
1737145887614,4694
1737145887638,4638
1737145887656,4574
1737145887678,4494
1737145887699,4430
1737145887722,4350
1737145887741,4310
1737145887762,4266
1737145887784,4206
1737145887825,4054
1737145887846,3966
1737145887868,3886
1737145887889,3822
1737145887910,3742
1737145887931,3710
1737145887952,3758
1737145887973,3982
1737145887994,4342
1737145888039,4990
1737145888058,5166
1737145888079,5230
1737145888100,5246
1737145888124,5214
1737145888142,5118
1737145888163,4990
1737145888184,4862
1737145888206,4750
1737145888227,4670
1737145888249,4638
1737145888269,4638
1737145888290,4662
1737145888311,4670
1737145888332,4654
1737145888356,4638
1737145888375,4598
1737145888396,4526
1737145888417,4438
1737145888440,4350
1737145888462,4302
1737145888480,4222
1737145888501,4142
1737145888543,3934
1737145888565,3806
1737145888607,3550
1737145888628,3446
1737145888649,3502
1737145888670,3806
1737145888692,4222
1737145888713,4606
1737145888734,4862
1737145888757,4974
1737145888776,5022
1737145888797,5022
1737145888818,4974
1737145888842,4886
1737145888860,4766
1737145888881,4606
1737145888945,4318
1737145888967,4286
1737145888987,4262
1737145889008,4254
1737145889030,4238
1737145889051,4214
1737145889072,4158
1737145889093,4062
1737145889114,3966
1737145889135,3902
1737145889159,3820
1737145889181,3694
1737145889198,3614
1737145889219,3502
1737145889243,3390
1737145889262,3302
1737145889283,3230
1737145889304,3214
1737145889325,3310
1737145889346,3646
1737145889367,4054
1737145889389,4446
1737145889410,4718
1737145889431,4862
1737145889452,4894
1737145889475,4862
1737145889494,4814
1737145889515,4726
1737145889536,4590
1737145889560,4458
1737145889578,4310
1737145889601,4202
1737145889621,4094
1737145889645,4058
1737145889663,4030
1737145889684,4014
1737145889726,3958
1737145889747,3902
1737145889769,3862
1737145889790,3774
1737145889811,3702
1737145889833,3582
1737145889853,3498
1737145889877,3390
1737145889895,3286
1737145889917,3182
1737145889938,3094
1737145889961,3050
1737145889980,3070
1737145890001,3306
1737145890022,3694
1737145890065,4398
1737145890085,4590
1737145890106,4686
1737145890127,4702
1737145890149,4686
1737145890170,4638
1737145890212,4438
1737145890233,4310
1737145890254,4222
1737145890278,4186
1737145890300,4206
1737145890318,4222
1737145890339,4246
1737145890362,4238
1737145890381,4222
1737145890402,4182
1737145890423,4094
1737145890444,4054
1737145890465,3966
1737145890486,3886
1737145890509,3806
1737145890529,3710
1737145890550,3626
1737145890571,3534
1737145890592,3446
1737145890614,3422
1737145890635,3542
1737145890656,3886
1737145890679,4310
1737145890698,4702
1737145890720,4974
1737145890740,5118
1737145890764,5246
1737145890782,5294
1737145890803,5310
1737145890825,5270
1737145890867,5054
1737145890888,4918
1737145890909,4830
1737145890930,4766
1737145890952,4734
1737145890973,4718
1737145890996,4694
1737145891015,4662
1737145891036,4606
1737145891057,4566
1737145891080,4478
1737145891099,4414
1737145891120,4350
1737145891141,4270
1737145891184,4062
1737145891205,3966
1737145891226,3886
1737145891247,3838
1737145891268,3926
1737145891289,4214
1737145891310,4606
1737145891331,4958
1737145891352,5230
1737145891374,5374
1737145891398,5486
1737145891416,5502
1737145891437,5502
1737145891458,5470
1737145891482,5374
1737145891500,5246
1737145891521,5118
1737145891543,5006
1737145891585,4854
1737145891606,4798
1737145891628,4758
1737145891648,4702
1737145891670,4654
1737145891690,4574
1737145891711,4526
1737145891733,4446
1737145891754,4350
1737145891775,4254
1737145891798,4150
1737145891818,4046
1737145891840,3950
1737145891859,3838
1737145891883,3766
1737145891902,3678
1737145891923,3582
1737145891944,3630
1737145891965,3830
1737145891986,4190
1737145892007,4574
1737145892028,4862
1737145892053,5078
1737145892070,5182
1737145892091,5238
1737145892115,5246
1737145892134,5246
1737145892155,5166
1737145892176,5054
1737145892200,4926
1737145892239,4702
1737145892260,4630
1737145892286,4566
1737145892303,4534
1737145892324,4478
1737145892345,4430
1737145892366,4374
1737145892387,4286
1737145892408,4206
1737145892429,4094
1737145892451,4030
1737145892472,3958
1737145892494,3862
1737145892517,3774
1737145892535,3702
1737145892556,3626
1737145892577,3518
1737145892601,3454
1737145892619,3390
1737145892641,3390
1737145892662,3566
