timestamp_ms,value
1737146805058,6750
1737146805081,6718
1737146805100,6718
1737146805122,6718
1737146805164,6702
1737146805186,6686
1737146805207,6654
1737146805229,6638
1737146805249,6622
1737146805271,6590
1737146805292,6558
1737146805316,6526
1737146805335,6510
1737146805356,6494
1737146805377,6462
1737146805401,6446
1737146805420,6398
1737146805441,6398
1737146805462,6366
1737146805484,6430
1737146805526,6718
1737146805548,6910
1737146805569,7038
1737146805590,7166
1737146805612,7262
1737146805635,7326
1737146805654,7382
1737146805675,7406
1737146805697,7422
1737146805721,7414
1737146805740,7390
1737146805761,7358
1737146805782,7358
1737146805803,7326
1737146805825,7318
1737146805846,7294
1737146805867,7294
1737146805889,7294
1737146805910,7262
1737146805931,7230
1737146805955,7166
1737146805974,7166
1737146805995,7134
1737146806016,7102
1737146806040,7070
1737146806059,7038
1737146806080,7006
1737146806102,6966
1737146806123,6910
1737146806144,6910
1737146806165,6878
1737146806208,6814
1737146806229,6782
1737146806251,6766
1737146806272,6782
1737146806293,6910
1737146806315,7070
1737146806336,7230
1737146806360,7358
1737146806378,7486
1737146806400,7550
1737146806422,7646
1737146806464,7582
1737146806485,7518
1737146806506,7454
1737146806528,7366
1737146806549,7262
1737146806570,7182
1737146806592,7110
1737146806613,7046
1737146806634,6958
1737146806656,6894
1737146806679,6798
1737146806698,6726
1737146806719,6606
1737146806741,6510
1737146806762,6414
1737146806783,6302
1737146806805,6214
1737146806826,6094
1737146806847,5998
1737146806869,5870
1737146806890,5766
1737146806911,5646
1737146806932,5550
1737146806954,5446
1737146806975,5326
1737146806999,5230
1737146807018,5150
1737146807039,5134
1737146807060,5214
1737146807082,5294
1737146807103,5358
1737146807124,5358
1737146807146,5326
1737146807167,5262
1737146807188,5166
1737146807209,5118
1737146807230,5086
1737146807252,5038
1737146807273,4974
1737146807295,4910
1737146807318,4846
1737146807337,4798
1737146807358,4766
1737146807380,4726
1737146807422,4670
1737146807444,4654
1737146807465,4606
1737146807486,4574
1737146807508,4542
1737146807529,4510
1737146807550,4478
1737146807571,4446
1737146807593,4406
1737146807614,4382
1737146807638,4350
1737146807657,4334
1737146807678,4286
1737146807699,4286
1737146807742,4222
1737146807763,4214
1737146807784,4206
1737146807806,4182
1737146807827,4158
1737146807848,4138
1737146807870,4094
1737146807891,4094
1737146807912,4094
1737146807933,4202
1737146807957,4350
1737146807976,4526
1737146807997,4670
1737146808019,4790
1737146808061,4926
1737146808083,4990
1737146808104,5038
1737146808125,5054
1737146808147,5054
1737146808168,5054
1737146808189,5038
1737146808210,5034
1737146808232,5022
1737146808253,5034
1737146808277,5034
1737146808295,5034
1737146808317,5038
1737146808338,5038
1737146808381,4990
1737146808402,4974
1737146808423,4958
1737146808445,4958
1737146808466,4926
1737146808487,4910
1737146808509,4862
1737146808530,4846
1737146808551,4822
1737146808572,4798
1737146808596,4766
1737146808615,4734
1737146808637,4702
1737146808658,4670
1737146808700,4606
1737146808722,4570
1737146808743,4542
1737146808764,4590
1737146808786,4702
1737146808807,4830
1737146808828,4990
1737146808849,5102
1737146808871,5182
1737146808892,5230
1737146808916,5270
1737146808935,5278
1737146808956,5278
1737146808977,5262
1737146809020,5214
1737146809041,5166
1737146809063,5150
1737146809084,5118
1737146809105,5118
1737146809126,5102
1737146809148,5086
1737146809169,5086
1737146809190,5054
1737146809212,5038
1737146809235,4990
1737146809254,4974
1737146809275,4926
1737146809297,4894
1737146809321,4862
1737146809340,4830
1737146809360,4798
1737146809382,4758
1737146809403,4718
1737146809425,4694
1737146809446,4666
1737146809467,4606
1737146809488,4598
1737146809510,4590
1737146809531,4654
1737146809555,4782
1737146809574,4926
1737146809595,5054
1737146809616,5150
1737146809640,5230
1737146809659,5270
1737146809680,5310
1737146809701,5310
1737146809723,5310
1737146809744,5310
1737146809765,5294
1737146809787,5246
1737146809808,5230
1737146809829,5206
1737146809851,5182
1737146809874,5150
1737146809893,5150
1737146809914,5118
1737146809936,5102
1737146809960,5086
1737146809979,5054
1737146810000,5022
1737146810021,4990
1737146810042,4942
1737146810064,4894
1737146810085,4862
1737146810106,4822
1737146810127,4798
1737146810149,4766
1737146810170,4726
1737146810191,4686
1737146810213,4654
1737146810234,4606
1737146810255,4606
1737146810279,4654
1737146810298,4782
1737146810319,4926
1737146810340,5038
1737146810362,5118
1737146810383,5198
1737146810404,5246
1737146810425,5270
1737146810447,5278
1737146810468,5278
1737146810490,5278
1737146810511,5246
1737146810532,5214
1737146810553,5182
1737146810575,5150
1737146810599,5118
1737146810617,5118
1737146810639,5102
1737146810660,5102
1737146810681,5086
1737146810703,5054
1737146810724,5038
1737146810745,5014
1737146810766,4982
1737146810788,4942
1737146810809,4894
1737146810830,4862
1737146810852,4822
1737146810873,4766
1737146810894,4718
1737146810918,4662
1737146810937,4606
1737146810958,4574
1737146810980,4526
1737146811001,4478
1737146811022,4446
1737146811044,4446
1737146811065,4510
1737146811086,4638
1737146811107,4766
1737146811128,4862
1737146811150,4926
1737146811171,4974
1737146811192,4990
1737146811213,5014
1737146811238,5022
1737146811256,5022
1737146811278,4990
1737146811299,4974
1737146811341,4894
1737146811363,4862
1737146811384,4854
1737146811405,4846
1737146811427,4830
1737146811448,4814
1737146811469,4798
1737146811490,4766
1737146811512,4734
1737146811533,4702
1737146811557,4654
1737146811576,4606
1737146811597,4590
1737146811618,4542
1737146811661,4446
1737146811682,4398
1737146811704,4350
1737146811725,4310
1737146811746,4270
1737146811767,4278
1737146811789,4334
1737146811810,4446
1737146811831,4526
1737146811853,4574
1737146811876,4598
1737146811895,4606
1737146811917,4590
1737146811938,4566
1737146811980,4510
1737146812002,4470
1737146812023,4414
1737146812044,4382
1737146812066,4350
1737146812087,4318
1737146812108,4286
1737146812129,4278
1737146812151,4254
1737146812172,4246
1737146812215,4190
1737146812236,4190
1737146812257,4158
1737146812300,4094
1737146812321,4094
1737146812342,4086
1737146812364,4062
1737146812385,4046
1737146812406,4014
1737146812428,4010
1737146812449,3990
1737146812470,4014
1737146812491,4094
1737146812515,4254
1737146812534,4414
1737146812577,4606
1737146812619,4718
1737146812641,4734
1737146812662,4758
1737146812683,4766
1737146812704,4750
1737146812726,4734
1737146812747,4702
1737146812768,4670
1737146812790,4654
1737146812811,4646
1737146812836,4638
1737146812853,4638
1737146812875,4606
1737146812897,4606
1737146812920,4606
1737146812939,4590
1737146812960,4574
1737146812981,4542
1737146813003,4526
1737146813024,4494
1737146813045,4478
1737146813066,4446
1737146813088,4414
1737146813109,4406
1737146813130,4382
1737146813154,4350
1737146813173,4334
1737146813194,4302
1737146813215,4318
1737146813239,4398
1737146813258,4542
1737146813279,4702
1737146813301,4830
1737146813322,4918
1737146813343,4958
1737146813365,4990
1737146813386,5006
1737146813407,4990
1737146813429,4990
1737146813450,4958
1737146813471,4910
1737146813492,4862
1737146813514,4830
1737146813535,4790
1737146813559,4766
1737146813578,4758
1737146813599,4718
1737146813641,4694
1737146813663,4670
1737146813684,4638
1737146813705,4606
1737146813727,4590
1737146813769,4526
1737146813791,4478
1737146813812,4462
1737146813833,4430
1737146813855,4414
1737146813878,4366
1737146813897,4350
1737146813918,4318
1737146813940,4286
1737146813961,4266
1737146813982,4238
1737146814003,4238
1737146814025,4286
1737146814046,4414
1737146814067,4590
1737146814089,4718
1737146814110,4798
1737146814131,4862
1737146814153,4894
1737146814174,4918
1737146814198,4910
1737146814217,4910
1737146814238,4894
1737146814259,4862
1737146814280,4798
1737146814302,4766
1737146814323,4734
1737146814344,4718
1737146814366,4698
1737146814387,4686
1737146814429,4630
1737146814451,4606
1737146814472,4606
1737146814493,4574
1737146814517,4542
1737146814536,4534
1737146814557,4494
1737146814578,4478
1737146814621,4414
1737146814642,4382
1737146814664,4350
1737146814685,4342
1737146814706,4318
1737146814728,4286
1737146814749,4254
1737146814770,4222
1737146814791,4218
1737146814813,4190
1737146814837,4182
1737146814855,4158
1737146814877,4174
1737146814898,4266
1737146814940,4590
1737146814962,4702
1737146814983,4794
1737146815004,4830
1737146815026,4862
1737146815047,4862
1737146815068,4886
1737146815089,4862
1737146815111,4862
1737146815132,4846
1737146815156,4798
1737146815175,4798
1737146815196,4782
1737146815217,4782
1737146815260,4798
1737146815281,4798
1737146815302,4782
1737146815324,4778
1737146815345,4766
1737146815366,4734
1737146815388,4702
1737146815409,4686
1737146815430,4646
1737146815451,4638
1737146815494,4574
1737146815515,4526
1737146815537,4510
1737146815579,4446
1737146815622,4382
1737146815643,4398
1737146815665,4478
1737146815686,4638
1737146815707,4766
1737146815728,4906
1737146815750,4974
1737146815771,5014
1737146815795,5022
1737146815814,5038
1737146815835,5022
1737146815856,5022
1737146815899,4958
1737146815920,4910
1737146815941,4862
1737146815963,4846
1737146815984,4822
1737146816005,4814
1737146816026,4798
1737146816048,4782
1737146816069,4766
1737146816091,4734
1737146816114,4718
1737146816133,4686
1737146816154,4654
1737146816176,4606
1737146816200,4590
1737146816218,4542
1737146816239,4526
1737146816261,4478
1737146816282,4462
1737146816303,4414
1737146816325,4382
1737146816346,4350
1737146816367,4318
1737146816388,4334
1737146816410,4382
1737146816434,4510
1737146816452,4666
1737146816474,4790
