timestamp_ms,value
1740666495206,4318
1740666495224,4246
1740666495242,4174
1740666495261,4094
1740666495282,4046
1740666495302,3966
1740666495322,3902
1740666495343,3822
1740666495364,3774
1740666495384,3694
1740666495409,3638
1740666495429,3574
1740666495447,3518
1740666495466,3454
1740666495486,3390
1740666495509,3350
1740666495527,3310
1740666495548,3310
1740666495569,3502
1740666495591,3838
1740666495616,4206
1740666495634,4462
1740666495651,4654
1740666495673,4822
1740666495691,5014
1740666495712,5166
1740666495732,5278
1740666495755,5366
1740666495772,5374
1740666495793,5326
1740666495818,5214
1740666495838,5078
1740666495856,4950
1740666495875,4854
1740666495896,4798
1740666495937,4694
1740666495957,4654
1740666495978,4574
1740666495998,4510
1740666496019,4446
1740666496043,4406
1740666496061,4330
1740666496082,4270
1740666496101,4190
1740666496121,4094
1740666496141,4030
1740666496162,3958
1740666496183,3878
1740666496203,3806
1740666496223,3726
1740666496250,3658
1740666496268,3574
1740666496286,3494
1740666496308,3414
1740666496325,3326
1740666496346,3246
1740666496367,3158
1740666496390,3070
1740666496408,3022
1740666496428,2966
1740666496453,2894
1740666496473,2814
1740666496491,2766
1740666496510,2730
1740666496530,2798
1740666496553,3102
1740666496572,3510
1740666496592,3862
1740666496612,4086
1740666496635,4278
1740666496660,4478
1740666496678,4654
1740666496696,4822
1740666496735,4990
1740666496755,4990
1740666496776,4926
1740666496817,4694
1740666496837,4590
1740666496858,4510
1740666496878,4462
1740666496903,4398
1740666496921,4318
1740666496940,4246
1740666496981,4086
1740666497001,4022
1740666497022,3926
1740666497042,3862
1740666497063,3790
1740666497083,3710
1740666497106,3638
1740666497130,3574
1740666497149,3502
1740666497166,3438
1740666497188,3358
1740666497205,3286
1740666497226,3198
1740666497247,3134
1740666497270,3066
1740666497287,3006
1740666497308,2942
1740666497332,2878
1740666497354,2814
1740666497372,2766
1740666497390,2702
1740666497411,2638
1740666497434,2558
1740666497451,2510
1740666497472,2430
1740666497492,2414
1740666497515,2574
1740666497540,2942
1740666497558,3342
1740666497576,3638
1740666497615,3998
1740666497636,4182
1740666497656,4350
1740666497697,4598
1740666497717,4606
1740666497738,4590
1740666497759,4494
1740666497783,4374
1740666497801,4270
1740666497820,4202
1740666497840,4174
1740666497861,4094
1740666497881,4078
1740666497902,4014
1740666497922,3934
1740666497942,3870
1740666497963,3790
1740666497990,3726
1740666498008,3678
1740666498026,3582
1740666498045,3550
1740666498068,3486
1740666498086,3438
1740666498106,3382
1740666498127,3310
1740666498150,3254
1740666498167,3190
1740666498192,3134
1740666498211,3070
1740666498232,3030
1740666498249,2966
1740666498270,2910
1740666498290,2862
1740666498313,2814
1740666498331,2766
1740666498352,2702
1740666498372,2638
1740666498400,2558
1740666498418,2494
1740666498436,2474
1740666498454,2606
1740666498495,3326
1740666498515,3642
1740666498536,3818
1740666498577,4094
1740666498597,4286
1740666498618,4438
1740666498645,4526
1740666498663,4566
1740666498681,4526
1740666498700,4438
1740666498740,4254
1740666498761,4206
1740666498781,4158
1740666498802,4094
1740666498822,4078
1740666498843,4030
1740666498870,3966
1740666498888,3902
1740666498906,3830
1740666498925,3774
1740666498948,3710
1740666498965,3670
1740666498986,3622
