timestamp_ms,value
1724074289764,5806
1724074289783,6014
1724074289803,6142
1724074289844,6302
1724074289884,6302
1724074289905,6302
1724074289929,6270
1724074289969,6222
1724074289990,6198
1724074290032,6142
1724074290058,6126
1724074290080,6078
1724074290099,6046
1724074290138,5934
1724074290162,5886
1724074290202,5758
1724074290223,5726
1724074290247,5662
1724074290286,5550
1724074290308,5486
1724074290350,5366
1724074290371,5310
1724074290392,5270
1724074290435,5526
1724074290456,5726
1724074290480,5870
1724074290519,6014
1724074290541,6014
1724074290564,6046
1724074290604,6062
1724074290630,6046
1724074290668,5998
1724074290689,5982
1724074290710,5966
1724074290752,5918
1724074290773,5886
1724074290795,5854
1724074290837,5758
1724074290859,5718
1724074290882,5662
1724074290908,5598
1724074290928,5558
1724074290947,5502
1724074290969,5466
1724074290988,5406
1724074291028,5302
1724074291070,5198
1724074291091,5118
1724074291113,5086
1724074291155,5214
1724074291182,5406
1724074291204,5582
1724074291223,5718
1724074291242,5782
1724074291285,5822
1724074291324,5846
1724074291345,5846
1724074291369,5822
1724074291409,5806
1724074291430,5782
1724074291459,5790
1724074291478,5790
1724074291498,5790
1724074291519,5758
1724074291538,5718
1724074291579,5598
1724074291603,5550
1724074291642,5422
1724074291663,5366
1724074291687,5326
1724074291713,5278
1724074291733,5222
1724074291752,5182
1724074291791,5102
1724074291812,5118
1724074291833,5270
1724074291875,5598
1724074291897,5694
1724074291920,5742
1724074291960,5758
1724074291986,5774
1724074292008,5758
1724074292027,5758
1724074292047,5750
1724074292066,5742
1724074292089,5718
1724074292109,5694
1724074292129,5694
1724074292151,5630
1724074292193,5582
1724074292236,5486
1724074292278,5374
1724074292299,5310
1724074292323,5246
1724074292363,5118
1724074292384,5078
1724074292407,4990
1724074292447,4910
1724074292468,4922
1724074292511,5198
1724074292537,5334
1724074292559,5422
1724074292578,5454
1724074292597,5462
1724074292617,5470
1724074292640,5454
1724074292680,5406
1724074292701,5374
1724074292725,5342
1724074292765,5310
1724074292791,5294
1724074292813,5278
1724074292832,5238
1724074292852,5206
1724074292871,5150
1724074292913,5070
1724074292934,5038
1724074292956,4990
1724074292998,4926
1724074293019,4862
1724074293048,4842
1724074293068,4822
1724074293087,4862
1724074293106,4990
1724074293146,5294
1724074293167,5374
1724074293188,5430
1724074293231,5438
1724074293252,5422
1724074293273,5406
1724074293302,5374
1724074293321,5342
1724074293340,5342
1724074293379,5294
1724074293400,5278
1724074293421,5246
1724074293445,5214
1724074293485,5118
1724074293506,5086
1724074293549,4990
1724074293575,4958
1724074293594,4910
1724074293616,4862
1724074293654,4782
1724074293678,4782
1724074293718,5070
1724074293739,5246
1724074293763,5366
1724074293803,5470
1724074293824,5486
1724074293853,5502
1724074293873,5494
1724074293892,5486
1724074293911,5462
1724074293933,5438
1724074293972,5422
1724074293993,5406
1724074294036,5342
1724074294057,5302
1724074294081,5270
1724074294107,5214
1724074294126,5174
1724074294146,5118
1724074294168,5086
1724074294187,5046
1724074294226,4958
1724074294269,4862
1724074294290,4846
1724074294311,4894
1724074294353,5206
1724074294380,5374
1724074294402,5462
1724074294421,5534
1724074294440,5558
1724074294483,5590
1724074294523,5582
1724074294544,5558
1724074294568,5550
1724074294607,5502
1724074294629,5502
1724074294658,5502
1724074294677,5462
1724074294697,5438
1724074294718,5398
1724074294738,5374
1724074294777,5286
1724074294801,5246
1724074294840,5166
1724074294862,5118
1724074294885,5086
1724074294912,5054
