timestamp_ms,value
1724246769315,-10308
1724246769334,-10284
1724246769355,-10252
1724246769374,-10240
1724246769392,-10204
1724246769411,-10160
1724246769433,-10140
1724246769452,-10032
1724246769470,-9932
1724246769512,-9764
1724246769543,-9644
1724246769557,-9532
1724246769576,-9444
1724246769597,-9356
1724246769616,-9260
1724246769635,-9180
1724246769654,-9084
1724246769675,-8996
1724246769695,-8924
1724246769714,-8844
1724246769747,-8772
1724246769766,-8636
1724246769791,-8560
1724246769811,-8484
1724246769834,-8412
1724246769853,-8348
1724246769871,-8284
1724246769892,-8192
1724246769914,-8132
1724246769933,-8060
1724246769959,-7988
1724246769978,-7908
1724246770000,-7852
1724246770019,-7772
1724246770037,-7708
1724246770056,-7644
1724246770077,-7580
1724246770096,-7516
1724246770115,-7452
1724246770156,-7388
1724246770187,-7324
1724246770201,-7244
1724246770220,-7196
1724246770241,-7140
1724246770261,-7068
1724246770279,-7004
1724246770298,-6908
1724246770320,-6768
1724246770339,-6620
1724246770358,-6444
1724246770391,-6268
1724246770410,-5916
1724246770435,-5772
1724246770455,-5628
1724246770478,-5488
1724246770497,-5372
1724246770535,-5212
1724246770576,-5084
1724246770596,-4988
1724246770616,-4908
1724246770656,-4796
1724246770677,-4708
1724246770697,-4636
1724246770737,-4540
1724246770757,-4460
1724246770777,-4380
1724246770797,-4316
1724246770817,-4236
1724246770838,-4172
1724246770857,-4100
1724246770898,-4028
1724246770918,-3964
1724246770938,-3884
1724246770959,-3820
1724246770978,-3756
1724246770999,-3692
1724246771019,-3628
1724246771040,-3564
1724246771079,-3516
1724246771099,-3468
1724246771133,-3420
1724246771147,-3324
1724246771166,-3212
1724246771187,-3052
1724246771206,-2908
1724246771225,-2756
1724246771244,-2628
1724246771263,-2500
1724246771284,-2396
1724246771304,-2284
1724246771335,-2076
1724246771360,-1980
1724246771381,-1892
1724246771401,-1820
1724246771421,-1708
1724246771443,-1628
1724246771482,-1508
1724246771501,-1404
1724246771523,-1324
1724246771562,-1212
1724246771595,-1132
1724246771610,-1052
1724246771629,-988
1724246771648,-924
1724246771669,-860
1724246771688,-764
1724246771707,-700
1724246771726,-636
1724246771748,-556
1724246771767,-492
1724246771798,-364
1724246771826,-300
1724246771845,-236
1724246771864,-188
1724246771884,-100
1724246771907,-12
1724246771926,124
1724246771964,404
1724246771987,548
1724246772006,708
1724246772032,836
1724246772051,964
1724246772085,1124
1724246772105,1236
1724246772125,1340
1724246772148,1428
1724246772167,1500
1724246772206,1604
1724246772229,1668
1724246772248,1748
1724246772274,1828
1724246772293,1916
1724246772320,1956
1724246772334,2036
1724246772353,2108
1724246772372,2180
1724246772394,2260
1724246772413,2308
1724246772432,2372
1724246772451,2428
1724246772484,2532
1724246772528,2596
1724246772550,2660
1724246772569,2724
1724246772608,2788
1724246772631,2852
1724246772650,2932
1724246772689,3012
1724246772711,3172
1724246772730,3332
1724246772756,3492
1724246772776,3684
1724246772802,3844
1724246772817,3940
1724246772836,4100
1724246772855,4196
1724246772882,4292
1724246772897,4356
1724246772916,4420
1724246772935,4532
1724246772969,4700
1724246772991,4788
1724246773010,4868
1724246773033,4964
1724246773052,5060
1724246773091,5180
1724246773113,5252
1724246773133,5348
1724246773171,5460
1724246773194,5540
1724246773225,5614
1724246773239,5630
1724246773258,5630
1724246773285,5678
1724246773299,5694
1724246773318,5694
1724246773338,5726
1724246773359,5742
1724246773378,5758
1724246773397,5782
1724246773431,5822
1724246773453,5854
1724246773473,5886
1724246773493,5886
1724246773516,5886
1724246773535,5886
1724246773574,5950
1724246773596,6046
1724246773615,6142
1724246773654,6430
1724246773688,6558
1724246773714,6742
1724246773735,6782
1724246773757,6870
1724246773776,6910
1724246773815,7022
1724246773855,7070
1724246773875,7102
1724246773895,7150
1724246773936,7214
1724246773961,7230
1724246773981,7262
1724246774016,7230
1724246774036,7230
1724246774056,7166
1724246774096,7150
1724246774117,7134
1724246774136,7102
1724246774177,7038
1724246774197,7006
1724246774226,6974
1724246774257,6942
1724246774298,6894
1724246774337,6846
1724246774358,6814
1724246774378,6782
1724246774438,6766
1724246774458,6814
1724246774479,6902
1724246774519,7062
1724246774553,7166
1724246774579,7166
1724246774599,7214
1724246774619,7230
1724246774641,7246
1724246774679,7262
1724246774700,7262
1724246774722,7246
1724246774741,7230
1724246774780,7230
1724246774813,7230
1724246774828,7230
1724246774847,7214
1724246774874,7214
1724246774900,7166
1724246774941,7166
1724246774963,7134
1724246775001,7086
1724246775021,7070
1724246775043,7038
1724246775069,7038
1724246775088,7006
1724246775115,6990
1724246775129,6974
1724246775148,6942
1724246775167,6910
1724246775189,6894
1724246775208,6846
1724246775228,6814
1724246775247,6782
1724246775281,6910
1724246775303,6990
1724246775323,7070
1724246775342,7126
1724246775364,7166
1724246775403,7222
1724246775443,7262
1724246775464,7262
1724246775484,7278
1724246775506,7278
1724246775537,7278
1724246775551,7278
1724246775571,7278
1724246775597,7278
1724246775624,7278
1724246775644,7262
1724246775667,7262
1724246775686,7254
1724246775725,7246
1724246775747,7230
1724246775778,7166
1724246775805,7166
1724246775828,7150
1724246775865,7102
1724246775886,7086
1724246775908,7070
1724246775927,7038
1724246775966,7006
1724246775988,6990
1724246776008,6974
1724246776039,6942
1724246776053,6942
1724246776080,6894
1724246776106,6878
1724246776127,6846
1724246776149,6830
1724246776169,6846
1724246776188,6910
1724246776229,7134
1724246776249,7230
1724246776274,7326
1724246776294,7390
1724246776321,7486
1724246776347,7518
1724246776369,7574
1724246776391,7510
1724246776410,7446
1724246776429,7410
1724246776471,7350
1724246776490,7342
1724246776521,7286
1724246776536,7238
1724246776563,7118
1724246776588,7062
1724246776609,7014
1724246776631,6926
1724246776651,6854
1724246776689,6774
1724246776712,6694
1724246776731,6646
1724246776762,6630
1724246776777,6574
1724246776804,6454
1724246776830,6390
1724246776850,6326
1724246776873,6246
1724246776892,6150
1724246776930,6006
1724246776953,5910
1724246776972,5814
1724246777004,5718
1724246777018,5606
1724246777045,5366
1724246777071,5230
1724246777091,5110
1724246777114,5070
1724246777133,5078
1724246777152,5142
1724246777194,5238
1724246777214,5222
1724246777245,5190
1724246777267,5142
1724246777287,4998
1724246777312,4910
1724246777332,4790
1724246777355,4706
1724246777374,4566
1724246777394,4406
1724246777435,4150
1724246777455,3990
1724246777486,3846
1724246777508,3702
1724246777527,3398
1724246777553,3254
1724246777573,3094
1724246777596,3022
1724246777615,2942
1724246777635,2870
1724246777676,2726
1724246777696,2678
1724246777727,2630
1724246777742,2582
1724246777769,2510
1724246777794,2506
1724246777815,2494
1724246777837,2486
1724246777856,2462
1724246777876,2458
1724246777935,2474
1724246777955,2542
1724246777982,2706
1724246778016,3054
1724246778035,3198
1724246778056,3310
1724246778096,3438
1724246778116,3502
1724246778136,3534
1724246778176,3582
1724246778197,3630
1724246778257,3646
1724246778283,3670
1724246778305,3678
1724246778337,3710
1724246778357,3710
1724246778377,3710
1724246778417,3702
1724246778437,3678
1724246778457,3670
1724246778479,3646
1724246778499,3630
1724246778525,3582
1724246778553,3542
1724246778578,3518
1724246778598,3478
1724246778618,3454
1724246778640,3422
1724246778660,3390
1724246778679,3350
1724246778718,3286
1724246778739,3254
1724246778766,3230
1724246778793,3246
1724246778819,3366
1724246778838,3518
1724246778859,3678
1724246778881,3806
1724246778901,3934
1724246778921,4014
1724246778960,4094
1724246778980,4182
1724246779007,4214
1724246779033,4286
1724246779060,4302
1724246779080,4318
1724246779101,4334
1724246779123,4350
1724246779142,4350
1724246779181,4406
1724246779203,4414
1724246779222,4414
1724246779254,4430
1724246779276,4414
1724246779301,4406
1724246779321,4398
1724246779341,4398
1724246779363,4382
1724246779383,4350
1724246779421,4334
1724246779444,4318
1724246779464,4286
1724246779495,4254
1724246779517,4222
1724246779542,4214
1724246779562,4190
1724246779582,4174
1724246779604,4142
1724246779624,4094
1724246779665,4062
1724246779685,4046
1724246779704,4094
1724246779736,4238
1724246779758,4598
1724246779783,4734
1724246779803,4862
1724246779826,4926
1724246779846,4990
1724246779865,5046
1724246779885,5086
1724246779907,5118
1724246779927,5166
1724246779959,5214
1724246779987,5230
1724246780006,5230
1724246780026,5230
1724246780046,5246
1724246780085,5246
1724246780105,5246
1724246780125,5230
1724246780147,5214
1724246780167,5206
1724246780199,5166
1724246780228,5118
1724246780248,5102
1724246780267,5070
1724246780287,5038
1724246780309,5022
1724246780329,4982
1724246780366,4926
1724246780389,4906
1724246780408,4894
1724246780440,4846
1724246780469,4798
1724246780488,4766
1724246780508,4734
1724246780528,4694
1724246780567,4606
1724246780586,4574
1724246780607,4542
1724246780630,4590
1724246780650,4686
1724246780681,4862
1724246780710,4958
1724246780729,4990
1724246780749,5014
1724246780769,5038
1724246780808,5054
1724246780828,5054
1724246780848,5054
1724246780870,5038
1724246780890,5022
1724246780922,5022
1724246780951,5030
1724246780970,5014
1724246780990,5022
1724246781030,5038
1724246781069,5006
1724246781089,4990
1724246781111,4974
1724246781131,4974
1724246781151,4950
1724246781184,4926
1724246781209,4926
1724246781229,4926
1724246781250,4910
1724246781272,4926
1724246781292,4910
1724246781312,4910
1724246781332,4910
1724246781354,4862
1724246781374,4862
1724246781405,4830
1724246781433,4814
1724246781453,4846
1724246781472,4910
1724246781492,4990
1724246781531,5182
1724246781551,5278
1724246781571,5374
1724246781593,5470
1724246781613,5534
1724246781645,5614
1724246781674,5630
1724246781694,5678
1724246781714,5686
1724246781733,5694
1724246781755,5726
1724246781775,5726
1724246781795,5742
1724246781815,5758
1724246781837,5758
1724246781869,5806
1724246781892,5814
1724246781915,5806
1724246781935,5822
1724246781955,5822
1724246781974,5822
1724246781997,5822
1724246782017,5838
1724246782037,5838
1724246782056,5838
1724246782091,5846
1724246782114,5846
1724246782156,5870
1724246782175,5934
1724246782195,5974
1724246782215,6014
1724246782239,6014
1724246782260,6038
1724246782281,6038
1724246782310,6062
1724246782338,6078
1724246782392,6366
1724246782408,6526
1724246782428,6654
1724246782448,6806
1724246782489,6970
1724246782509,7038
1724246782529,7102
1724246782569,7230
1724246782589,7278
1724246782609,7358
1724246782649,7422
1724246782669,7478
1724246782690,7518
1724246782731,7614
1724246782750,7550
1724246782770,7486
1724246782810,7454
1724246782830,7390
1724246782850,7326
1724246782890,7294
1724246782910,7242
1724246782930,7198
1724246782971,7166
1724246782991,7114
1724246783011,7070
1724246783031,7038
1724246783051,6990
1724246783071,6926
1724246783091,6862
1724246783113,6798
1724246783131,6734
1724246783151,6670
1724246783171,6590
1724246783191,6526
1724246783212,6462
1724246783232,6390
1724246783252,6302
1724246783272,6230
1724246783292,6174
1724246783312,6102
1724246783332,6030
1724246783352,6010
1724246783372,6058
1724246783392,6142
1724246783412,6262
1724246783432,6358
1724246783452,6426
1724246783473,6462
1724246783493,6494
1724246783515,6494
1724246783533,6478
1724246783553,6478
1724246783573,6462
1724246783593,6446
1724246783614,6446
1724246783633,6430
1724246783653,6414
1724246783673,6390
1724246783693,6366
1724246783714,6334
1724246783734,6302
1724246783754,6262
1724246783774,6238
1724246783794,6174
1724246783814,6142
1724246783834,6094
1724246783854,6030
1724246783874,5974
1724246783894,5934
1724246783916,5886
1724246783934,5822
1724246783955,5758
1724246783975,5710
1724246783995,5646
1724246784035,5598
1724246784055,5534
1724246784095,5454
1724246784115,5398
1724246784135,5342
1724246784157,5294
1724246784175,5214
1724246784195,5150
1724246784216,5086
1724246784236,5006
1724246784256,4926
1724246784276,4846
1724246784296,4782
1724246784316,4702
1724246784336,4718
1724246784356,4798
1724246784376,4918
1724246784396,5038
1724246784416,5150
1724246784436,5214
1724246784456,5294
1724246784477,5342
1724246784497,5374
1724246784517,5406
1724246784537,5454
1724246784559,5486
1724246784577,5502
1724246784597,5502
1724246784617,5526
1724246784637,5534
1724246784657,5566
1724246784677,5566
1724246784697,5590
1724246784717,5598
1724246784738,5614
1724246784778,5630
1724246784798,5630
1724246784818,5630
1724246784858,5614
1724246784878,5614
1724246784898,5598
1724246784918,5598
1724246784938,5590
1724246784958,5614
1724246784979,5598
1724246784999,5566
1724246785019,5566
1724246785039,5566
1724246785059,5550
1724246785079,5534
1724246785099,5502
1724246785119,5494
1724246785139,5470
1724246785159,5470
1724246785179,5502
1724246785201,5614
1724246785220,5726
1724246785240,5822
1724246785260,5918
1724246785280,5982
1724246785300,6014
1724246785320,6046
1724246785340,6046
1724246785360,6038
1724246785380,5966
1724246785400,5758
1724246785421,5486
1724246785440,5294
1724246785460,5174
1724246785481,5102
1724246785501,5102
1724246785521,5118
1724246785541,5118
1724246785561,5150
1724246785581,5166
1724246785603,5166
1724246785621,5150
1724246785641,5118
1724246785664,5102
1724246785681,5070
