timestamp_ms,value
599617679410.5144,-51
599617679418.2067,-25
599617679425.899,-42
599617679433.5913,-39
599617679441.2837,-21
599617679448.976,-21
599617679456.6682,-16
599617679464.3606,-2
599617679472.0529,11
599617679479.7451,25
599617679487.4375,49
599617679495.1298,77
599617679502.8221,103
599617679510.5144,143
599617679518.2067,192
599617679525.899,237
599617679533.5913,255
599617679541.2837,262
599617679548.976,258
599617679556.6682,230
599617679564.3606,171
599617679572.0529,105
599617679579.7451,46
599617679587.4375,-2
599617679595.1298,-37
599617679602.8221,-44
599617679610.5144,-44
599617679618.2067,-46
599617679625.899,-42
599617679633.5913,-35
599617679641.2837,-35
599617679648.976,-32
599617679656.6682,-23
599617679664.3606,-21
599617679672.0529,-23
599617679679.7451,-25
599617679687.4375,-25
599617679695.1298,-25
599617679702.8221,-32
599617679710.5144,-37
599617679718.2067,-37
599617679725.899,-49
599617679733.5913,-51
599617679741.2837,-46
599617679748.976,-53
599617679756.6682,-63
599617679764.3606,-61
599617679772.0529,-56
599617679779.7451,-63
599617679787.4375,-68
599617679795.1298,-70
599617679802.8221,-77
599617679810.5144,-86
599617679818.2067,-93
599617679825.899,-93
599617679833.5913,-96
599617679841.2837,-105
599617679848.976,-107
599617679856.6682,-107
599617679864.3606,-119
599617679872.0529,-133
599617679879.7451,-126
599617679887.4375,-124
599617679895.1298,-136
599617679902.8221,-138
599617679910.5144,-136
599617679918.2067,-147
599617679925.899,-159
599617679933.5913,-166
599617679941.2837,-169
599617679948.976,-166
599617679956.6682,-161
599617679964.3606,-143
599617679971.8625,-138
599617679979.5548,-164
599617679987.2472,-183
599617679994.9395,-178
599617680002.6318,-180
599617680010.3241,-190
599617680018.0164,-194
599617680025.7087,-192
599617680033.401,-197
599617680041.0933,-199
599617680048.7856,-180
599617680056.4779,-100
599617680064.1703,103
599617680071.8625,401
599617680079.5548,368
599617680087.2472,-298
599617680094.9395,-758
599617680102.6318,-427
599617680110.3241,-187
599617680118.0164,-338
599617680125.7087,-328
599617680133.401,-237
599617680141.0933,-269
599617680148.7856,-281
599617680156.4779,-248
599617680164.1703,-251
599617680171.8625,-260
599617680179.5548,-253
599617680187.2472,-253
599617680194.9395,-251
599617680202.6318,-244
599617680210.3241,-234
599617680218.0164,-218
599617680225.7087,-197
599617680233.401,-180
599617680241.0933,-157
599617680248.7856,-122
599617680256.4779,-82
599617680264.1703,-44
599617680271.8625,-16
599617680279.5548,-2
599617680287.2472,-4
599617680294.9395,-21
599617680302.6318,-63
599617680310.3241,-131
599617680318.0164,-199
599617680325.7087,-251
599617680333.401,-298
599617680341.0933,-335
599617680348.7856,-340
599617680356.4779,-333
599617680364.1703,-333
599617680371.8625,-328
599617680379.5548,-319
599617680387.2472,-314
599617680394.9395,-312
599617680402.6318,-316
599617680410.3241,-316
599617680418.0164,-305
599617680425.7087,-300
599617680433.401,-307
599617680441.0933,-302
599617680448.7856,-288
599617680456.4779,-288
599617680464.1703,-300
599617680471.8625,-300
599617680479.5548,-291
599617680487.2472,-286
599617680494.9395,-293
599617680502.6318,-302
599617680510.3241,-293
599617680518.0164,-281
599617680525.7087,-284
599617680533.1802,-291
599617680540.8724,-291
599617680548.5648,-286
599617680556.2571,-284
599617680563.9495,-279
599617680571.6417,-279
599617680579.334,-288
599617680587.0264,-284
599617680594.7186,-272
599617680602.4109,-272
599617680610.1033,-279
599617680617.7955,-277
599617680625.4879,-279
599617680633.1802,-279
599617680640.8724,-265
599617680648.5648,-246
599617680656.2571,-230
599617680663.9495,-223
599617680671.6417,-234
599617680679.334,-251
599617680687.0264,-248
599617680694.7186,-232
599617680702.4109,-223
599617680710.1033,-227
599617680717.7955,-230
599617680725.4879,-223
599617680733.1802,-206
599617680740.8724,-161
599617680748.5648,-32
599617680756.2571,227
599617680763.9495,460
599617680771.6417,180
599617680779.334,-521
599617680787.0264,-647
599617680794.7186,-241
599617680802.4109,-187
599617680810.1033,-312
599617680817.7955,-225
599617680825.4879,-169
599617680833.1802,-211
599617680840.8724,-194
599617680848.5648,-159
599617680856.2571,-157
599617680863.9495,-161
599617680871.6417,-152
599617680879.334,-138
599617680887.0264,-129
599617680894.7186,-122
599617680902.4109,-105
599617680910.1033,-77
599617680917.7955,-49
599617680925.4879,-32
599617680933.1802,-7
599617680940.8724,42
599617680948.5648,84
599617680956.2571,117
599617680963.9495,150
599617680971.6417,161
599617680979.334,152
599617680987.0264,122
