timestamp_ms,value
1731007069338,5918
1731007069357,5910
1731007069376,5886
1731007069395,5886
1731007069417,5870
1731007069437,5854
1731007069456,5854
1731007069475,5822
1731007069497,5822
1731007069516,5818
1731007069547,5790
1731007069574,5790
1731007069611,5790
1731007069632,5758
1731007069654,5758
1731007069692,5726
1731007069712,5726
1731007069734,5710
1731007069772,5678
1731007069792,5678
1731007069821,5662
1731007069840,5630
1731007069859,5630
1731007069879,5694
1731007069901,5846
1731007069920,6014
1731007069939,6142
1731007069959,6238
1731007069980,6294
1731007070000,6302
1731007070031,6294
1731007070057,6302
1731007070095,6286
1731007070115,6254
1731007070137,6254
1731007070175,6262
1731007070195,6270
1731007070218,6294
1731007070237,6294
1731007070276,6254
1731007070304,6238
1731007070324,6230
1731007070343,6198
1731007070362,6190
1731007070384,6142
1731007070403,6142
1731007070422,6110
1731007070441,6094
1731007070464,6070
1731007070483,6062
1731007070514,6038
1731007070540,6014
1731007070578,5998
1731007070598,5982
1731007070621,5966
1731007070640,5950
1731007070679,5934
1731007070719,5886
1731007070739,5886
1731007070759,5886
1731007070800,5854
1731007070820,5918
1731007070840,6062
1731007070880,6494
1731007070900,6654
1731007070920,6750
1731007070961,6830
1731007070981,6846
1731007071001,6894
1731007071041,6974
1731007071067,6998
1731007071087,7006
1731007071109,7062
1731007071128,7134
1731007071147,7166
1731007071167,7262
1731007071188,7294
1731007071222,7406
1731007071243,7422
1731007071283,7478
1731007071309,7502
1731007071331,7534
1731007071351,7582
1731007071370,7518
1731007071390,7454
1731007071412,7454
1731007071432,7454
1731007071451,7454
1731007071470,7446
1731007071492,7422
1731007071519,7390
1731007071545,7358
1731007071565,7326
1731007071605,7286
1731007071625,7246
1731007071645,7198
1731007071686,7166
1731007071706,7102
1731007071726,7070
1731007071748,7070
1731007071774,7166
1731007071794,7446
1731007071820,7838
1731007071835,8214
1731007071855,8478
1731007071874,8414
1731007071901,8350
1731007071915,8402
1731007071935,8442
1731007071954,8482
1731007071988,8514
1731007072008,8482
1731007072028,8450
1731007072051,8434
1731007072088,8498
1731007072109,8474
1731007072131,8418
1731007072169,8306
1731007072189,8178
1731007072212,8034
1731007072243,7874
1731007072258,7682
1731007072277,7522
1731007072304,7154
1731007072330,6978
1731007072350,6810
1731007072373,6658
1731007072410,6434
1731007072431,6290
1731007072453,6138
1731007072479,5978
1731007072499,5826
1731007072518,5694
1731007072545,5538
1731007072559,5378
1731007072579,5218
1731007072599,5058
1731007072620,4882
1731007072640,4698
1731007072659,4514
1731007072693,4146
1731007072713,3994
1731007072733,3906
1731007072753,3970
1731007072776,4178
1731007072813,4602
1731007072833,4594
1731007072856,4482
1731007072894,4250
1731007072914,4082
1731007072948,3970
1731007072963,3842
1731007072982,3666
1731007073001,3506
1731007073028,3358
1731007073043,3246
1731007073062,3138
1731007073082,3042
1731007073109,2922
1731007073135,2642
1731007073161,2482
1731007073183,2306
1731007073203,2146
1731007073222,1986
1731007073241,1858
1731007073263,1714
1731007073283,1592
1731007073302,1554
1731007073322,1494
1731007073345,1438
1731007073376,1356
1731007073398,1316
1731007073420,1262
1731007073458,1150
1731007073478,1086
1731007073519,1038
1731007073536,942
1731007073558,916
1731007073599,878
1731007073619,886
1731007073646,868
1731007073679,830
1731007073699,818
1731007073720,814
1731007073760,1182
1731007073780,1646
1731007073800,2166
1731007073840,2750
1731007073860,2862
1731007073880,2898
1731007073921,2910
1731007073941,2942
1731007073961,2966
1731007074001,2940
1731007074022,2942
1731007074042,2966
1731007074064,3006
1731007074102,3070
1731007074122,3094
1731007074162,3022
1731007074188,2974
1731007074223,2862
1731007074243,2794
1731007074263,2742
1731007074303,2614
1731007074324,2558
1731007074344,2518
1731007074364,2458
1731007074386,2414
1731007074424,2334
1731007074458,2286
1731007074473,2230
1731007074492,2174
1731007074511,2106
1731007074538,2044
1731007074553,1978
1731007074573,1902
1731007074606,1790
1731007074628,1870
1731007074666,2558
1731007074699,3002
1731007074714,3290
1731007074733,3454
1731007074753,3502
1731007074774,3518
1731007074794,3502
1731007074814,3518
1731007074833,3518
1731007074855,3486
1731007074875,3422
1731007074906,3342
1731007074930,3326
1731007074950,3326
1731007074988,3306
1731007075011,3254
1731007075072,3034
1731007075084,2942
1731007075109,2846
1731007075129,2750
1731007075144,2678
1731007075172,2598
1731007075192,2526
1731007075212,2478
1731007075252,2366
1731007075272,2302
1731007075310,2186
1731007075333,2110
1731007075352,2038
1731007075391,1886
1731007075413,1810
1731007075439,1726
1731007075459,1662
1731007075479,1598
1731007075505,1526
1731007075531,1406
1731007075552,1374
1731007075574,1390
1731007075594,1588
1731007075632,2538
1731007075655,3006
1731007075686,3294
1731007075701,3454
1731007075720,3518
1731007075747,3542
1731007075773,3558
1731007075793,3566
1731007075816,3566
1731007075853,3550
1731007075874,3566
1731007075896,3630
1731007075928,3702
1731007075942,3758
1731007075962,3798
