timestamp_ms,value
599616851090.5261,-171
599616851098.2184,-142
599616851105.9108,-116
599616851113.603,-123
599616851121.2954,-116
599616851128.9877,-96
599616851136.6799,-84
599616851144.3723,-82
599616851152.0646,-74
599616851159.7568,-65
599616851167.4492,-62
599616851175.1415,-53
599616851182.8339,-38
599616851190.5261,-29
599616851198.2184,-21
599616851205.9108,-2
599616851213.603,21
599616851221.2954,36
599616851228.9877,50
599616851236.6799,60
599616851244.3723,70
599616851252.0646,89
599616851259.7568,106
599616851267.4492,91
599616851275.1415,60
599616851282.8339,16
599616851290.5261,-41
599616851298.2184,-103
599616851305.9108,-142
599616851313.603,-164
599616851321.2954,-181
599616851328.9877,-195
599616851336.6799,-195
599616851344.3723,-186
599616851352.0646,-176
599616851359.7568,-178
599616851367.4492,-178
599616851375.1415,-169
599616851382.8339,-169
599616851390.5261,-176
599616851398.2184,-174
599616851405.9108,-169
599616851413.603,-174
599616851421.2954,-174
599616851428.9877,-169
599616851436.6799,-164
599616851444.3723,-164
599616851452.0646,-159
599616851459.7568,-159
599616851467.4492,-164
599616851475.1415,-164
599616851482.8339,-164
599616851490.5261,-166
599616851498.2184,-161
599616851505.9108,-159
599616851513.603,-169
599616851521.2954,-169
599616851528.9877,-169
599616851536.6799,-169
599616851544.3723,-174
599616851552.0646,-171
599616851559.7568,-169
599616851567.4492,-174
599616851575.1415,-171
599616851582.8339,-171
599616851590.5261,-174
599616851598.2184,-176
599616851605.9108,-178
599616851613.603,-171
599616851621.2954,-164
599616851628.9877,-169
599616851636.6799,-176
599616851644.3723,-171
599616851651.7164,-161
599616851659.4087,-164
599616851667.1011,-164
599616851674.7933,-164
599616851682.4857,-159
599616851690.178,-159
599616851697.8702,-166
599616851705.5626,-169
599616851713.2549,-161
599616851720.9471,-159
599616851728.6395,-169
599616851736.3318,-176
599616851744.0242,-169
599616851751.7164,-154
599616851759.4087,-142
599616851767.1011,-132
599616851774.7933,-128
599616851782.4857,-132
599616851790.178,-140
599616851797.8702,-145
599616851805.5626,-147
599616851813.2549,-154
599616851820.9471,-169
599616851828.6395,-178
599616851836.3318,-176
599616851844.0242,-176
599616851851.7164,-181
599616851859.4087,-176
599616851867.1011,-169
599616851874.7933,-169
599616851882.4857,-169
599616851890.178,-101
599616851897.8702,159
599616851905.5626,638
599616851913.2549,1135
599616851920.9471,1155
599616851928.6395,309
599616851936.3318,-628
599616851944.0242,-563
599616851951.7164,-132
599616851959.4087,-219
599616851967.1011,-352
599616851974.7933,-244
599616851982.4857,-224
599616851990.178,-268
599616851997.8702,-234
599616852005.5626,-207
599616852013.2549,-219
599616852020.9471,-210
599616852028.6395,-193
599616852036.3318,-186
599616852044.0242,-178
599616852051.7164,-169
599616852059.4087,-159
599616852067.1011,-142
599616852074.7933,-132
599616852082.4857,-130
599616852090.178,-120
599616852097.8702,-106
599616852105.5626,-89
599616852113.2549,-77
599616852120.9471,-60
599616852128.6395,-41
599616852136.3318,-26
599616852144.0242,-16
599616852151.7164,-2
599616852159.4087,0
599616852167.1011,-7
599616852174.7933,-26
599616852182.4857,-65
599616852190.178,-123
599616852197.8702,-186
599616852205.5626,-234
599616852212.8916,-261
599616852220.5839,-273
599616852228.2762,-275
599616852235.9685,-277
599616852243.6609,-280
599616852251.3531,-277
599616852259.0454,-270
599616852266.7378,-265
599616852274.43,-261
599616852282.1223,-261
599616852289.8147,-261
599616852297.507,-256
599616852305.1993,-253
599616852312.8916,-251
599616852320.5839,-248
599616852328.2762,-244
599616852335.9685,-244
599616852343.6609,-241
599616852351.3531,-239
599616852359.0454,-236
599616852366.7378,-234
599616852374.43,-234
599616852382.1223,-234
599616852389.8147,-229
599616852397.507,-224
599616852405.1993,-224
599616852412.8916,-222
599616852420.5839,-219
599616852428.2762,-219
599616852435.9685,-219
599616852443.6609,-217
599616852451.3531,-215
599616852459.0454,-217
599616852466.7378,-217
599616852474.43,-217
599616852482.1223,-219
599616852489.8147,-217
599616852497.507,-215
599616852505.1993,-212
599616852512.8916,-210
599616852520.5839,-210
599616852528.2762,-207
599616852535.9685,-205
599616852543.6609,-200
599616852551.3531,-198
599616852559.0454,-200
599616852566.7378,-195
599616852574.43,-188
599616852582.1223,-186
599616852589.8147,-186
599616852597.507,-181
599616852605.1993,-176
599616852612.8916,-174
599616852620.5839,-171
599616852628.2762,-171
599616852635.9685,-174
599616852643.6609,-171
599616852651.3531,-174
599616852659.0454,-171
599616852666.7378,-171
599616852674.43,-174
599616852682.1223,-178
599616852689.8147,-174
599616852697.507,-159
599616852705.1993,-142
599616852712.8916,-130
599616852720.5839,-118
599616852728.2762,-113
599616852735.9685,-123
599616852743.6609,-135
599616852751.3531,-130
599616852759.0454,-132
599616852766.7378,-147
599616852774.0668,-157
599616852781.759,-159
599616852789.4514,-159
599616852797.1437,-157
599616852804.836,-152
599616852812.5283,-147
599616852820.2206,-147
599616852827.913,-147
599616852835.6052,-132
599616852843.2975,-16
599616852850.9899,323
599616852858.6821,850
599616852866.3745,1266
599616852874.0668,1000
599616852881.759,-53
599616852889.4514,-746
599616852897.1437,-393
599616852904.836,-70
599616852912.5283,-256
599616852920.2206,-297
599616852927.913,-183
599616852935.6052,-205
599616852943.2975,-232
599616852950.9899,-188
599616852958.6821,-178
599616852966.3745,-186
599616852974.0668,-166
599616852981.759,-152
599616852989.4514,-149
599616852997.1437,-137
599616853004.836,-125
599616853012.5283,-116
599616853020.2206,-103
599616853027.913,-91
599616853035.6052,-79
599616853043.2975,-70
599616853050.9899,-55
599616853058.6821,-41
599616853066.3745,-26
