timestamp_ms,value
599617432138.8467,79
599617432146.539,86
599617432154.2313,88
599617432161.9236,91
599617432169.616,93
599617432177.3082,93
599617432185.0005,101
599617432192.6929,103
599617432200.3851,91
599617432208.0774,86
599617432215.7698,88
599617432223.462,81
599617432231.1544,74
599617432238.8467,74
599617432246.539,74
599617432254.2313,69
599617432261.9236,67
599617432269.616,69
599617432277.3082,67
599617432285.0005,60
599617432292.6929,60
599617432300.3851,62
599617432308.0774,60
599617432315.7698,60
599617432323.462,57
599617432331.1544,57
599617432338.8467,57
599617432346.539,52
599617432354.2313,48
599617432361.9236,50
599617432369.616,50
599617432377.3082,45
599617432385.0005,48
599617432392.6929,55
599617432400.3851,60
599617432408.0774,52
599617432415.7698,43
599617432423.462,40
599617432431.1544,36
599617432438.8467,26
599617432446.539,24
599617432454.2313,24
599617432461.9236,19
599617432469.616,14
599617432477.3082,9
599617432485.0005,4
599617432492.6929,2
599617432500.3851,-2
599617432508.0774,-7
599617432515.7698,-9
599617432523.462,-9
599617432531.1544,-14
599617432538.8467,-16
599617432546.539,-16
599617432554.2313,-19
599617432561.9236,-19
599617432569.616,-21
599617432577.3082,-24
599617432585.0005,-19
599617432592.6929,-16
599617432600.3851,-21
599617432608.0774,-28
599617432615.7698,-31
599617432623.462,-33
599617432631.1544,-36
599617432638.8467,-33
599617432646.539,-19
599617432654.2313,-4
599617432661.9236,2
599617432669.616,0
599617432677.3082,-7
599617432685.0005,-26
599617432692.6929,-43
599617432700.1642,-50
599617432707.8564,-64
599617432715.5488,-69
599617432723.2411,-69
599617432730.9335,-72
599617432738.6257,-72
599617432746.318,-72
599617432754.0104,-93
599617432761.7026,-105
599617432769.3949,40
599617432777.0873,404
599617432784.7795,651
599617432792.4719,346
599617432800.1642,-360
599617432807.8564,-649
599617432815.5488,-379
599617432823.2411,-189
599617432830.9335,-146
599617432838.6257,-64
599617432846.318,-43
599617432854.0104,-62
599617432861.7026,-45
599617432869.3949,-31
599617432877.0873,-38
