timestamp_ms,value,rris
1737468100305,123,478.515625,491.2109375
1737468101296,123,498.046875,489.2578125
1737468102285,123,485.3515625,481.4453125,473.6328125
1737468103275,124,467.7734375,462.890625
1737468104310,126,462.890625,474.609375
1737468105300,126,500.9765625
1737468106291,126,568.359375,609.375
1737468107325,126,598.6328125,571.2890625
1737468108270,125,551.7578125,545.8984375
1737468109350,121,557.6171875
1737468110295,116,563.4765625,560.546875
1737468111330,114,536.1328125,520.5078125
1737468112276,114,514.6484375,508.7890625
1737468113310,115,512.6953125,524.4140625
1737468114300,116,506.8359375,497.0703125
1737468115290,117,496.09375,501.953125
1737468116325,118,517.578125,571.2890625
1737468117315,114,566.40625,561.5234375
1737468118305,113,556.640625
1737468119302,111,563.4765625,566.40625
1737468120557,109,557.6171875,539.0625
1737468121275,110,524.4140625,513.671875
1737468122310,112,502.9296875,489.2578125
1737468123300,118,478.515625,466.796875,459.9609375
1737468124290,122,462.890625,461.9140625
1737468125280,124,466.796875
1737468126269,125,475.5859375,497.0703125
1737468127304,126,580.078125,632.8125
1737468128344,126,
1737468129284,125,601.5625,631.8359375
1737468130274,125,1147.4609375
1737468131355,124,853.515625
1737468132300,123,784.1796875,712.890625
1737468133294,121,637.6953125,578.125
1737468134280,115,549.8046875,530.2734375
1737468135273,114,514.6484375,502.9296875
1737468136304,116,492.1875,480.46875
1737468137295,119,470.703125,463.8671875
1737468138284,123,469.7265625,473.6328125
1737468139275,124,476.5625,505.859375
1737468140309,122,542.96875,525.390625
1737468141299,118,552.734375,554.6875
1737468142290,114,568.359375,566.40625
1737468143279,113,549.8046875
1737468144283,111,538.0859375,534.1796875
1737468145304,111,543.9453125,568.359375
1737468146294,110,576.171875,585.9375
1737468147285,107,579.1015625,572.265625
1737468148274,107,568.359375
1737468149309,107,537.109375,524.4140625
1737468150300,109,525.390625,537.109375
1737468151289,110,576.171875,597.65625
1737468152279,108,596.6796875
1737468153295,106,561.5234375,546.875
1737468154304,107,546.875,554.6875
1737468155294,107,560.546875,554.6875
1737468156284,108,540.0390625,540.0390625
1737468157273,109,528.3203125,517.578125
1737468158308,112,511.71875,518.5546875
1737468159299,113,532.2265625
1737468160289,113,550.78125,568.359375
1737468161279,111,556.640625,540.0390625
1737468162324,111,531.25,548.828125
1737468163304,110,563.4765625,588.8671875
1737468164294,108,570.3125,540.0390625
1737468165329,109,519.53125,512.6953125
1737468166319,112,514.6484375,507.8125
1737468167376,114,500.9765625,494.140625
1737468168299,117,492.1875,484.375
1737468169289,119,482.421875,483.3984375
1737468170279,121,482.421875,480.46875
1737468171268,122,478.515625,473.6328125
1737468172303,124,477.5390625,499.0234375
1737468173293,122,530.2734375,542.96875
1737468174283,120,543.9453125
1737468175273,116,535.15625,529.296875,516.6015625
1737468176309,116,495.1171875,486.328125
1737468177298,119,486.328125,490.234375
1737468178288,120,487.3046875,494.140625
1737468179279,121,507.8125
1737468180269,119,536.1328125,562.5
1737468181303,115,570.3125,570.3125
1737468182293,111,574.21875,562.5
1737468183283,110,545.8984375,528.3203125
1737468184273,110,525.390625
1737468185308,112,523.4375,537.109375
1737468186298,112,547.8515625,560.546875
1737468187288,110,547.8515625,538.0859375
1737468188278,111,538.0859375,538.0859375
1737468189268,111,547.8515625,563.4765625
1737468190302,110,556.640625
1737468191293,110,540.0390625,539.0625
1737468192284,110,531.25,540.0390625
1737468193273,110,563.4765625,560.546875
1737468194308,110,540.0390625,524.4140625
1737468195298,111,514.6484375,512.6953125
1737468196288,113,506.8359375,505.859375
1737468197278,115,507.8125,513.671875
1737468198268,116,514.6484375,512.6953125
1737468199303,116,512.6953125,518.5546875
1737468200293,116,525.390625
1737468201282,115,547.8515625,584.9609375
1737468202273,111,614.2578125,624.0234375
1737468203308,108,616.2109375
1737468204298,104,588.8671875,572.265625
1737468205288,104,570.3125,577.1484375
1737468206277,104,579.1015625,576.171875
1737468207268,104,570.3125
1737468208303,105,559.5703125,540.0390625
1737468209293,107,532.2265625,525.390625
1737468210283,109,520.5078125,520.5078125
1737468211272,111,541.015625,538.0859375
1737468212307,111,540.0390625,543.9453125
1737468213297,111,563.4765625
1737468214288,109,614.2578125,662.109375
1737468215322,103,675.78125
1737468216313,99,627.9296875,602.5390625
1737468217304,99,612.3046875
1737468218293,98,619.140625,626.953125
1737468219282,98,629.8828125,601.5625
1737468220272,98,597.65625
1737468221307,98,606.4453125,622.0703125
1737468222302,98,645.5078125,631.8359375
