timestamp_ms,value,rris
1737468384293,114,562.5
1737468385283,111,569.3359375,587.890625
1737468386273,109,572.265625,563.4765625
1737468387263,108,552.734375,546.875
1737468388298,109,542.96875,537.109375
1737468389288,110,525.390625,509.765625
1737468390278,113,495.1171875,494.140625
1737468391268,116,487.3046875,482.421875
1737468392258,119,480.46875,478.515625
1737468393293,121,484.375,493.1640625
1737468394283,121,496.09375,495.1171875
1737468395273,121,503.90625,518.5546875
1737468396263,120,558.59375
1737468397298,116,578.125,589.84375
1737468398288,111,597.65625,601.5625
1737468399278,109,604.4921875
1737468400272,106,593.75,578.125
1737468401259,105,574.21875,561.5234375
1737468402292,105,552.734375,548.828125
1737468403283,107,544.921875,544.921875
1737468404273,108,538.0859375,530.2734375
1737468405262,110,517.578125,509.765625
1737468406298,111,506.8359375
1737468407288,115,505.859375,512.6953125,493.1640625
1737468408278,117,490.234375,493.1640625
1737468409267,119,499.0234375,497.0703125
1737468410258,119,493.1640625,488.28125
1737468411292,121,483.3984375,478.515625
1737468412282,122,470.703125,463.8671875
1737468413273,125,465.8203125,466.796875
1737468414357,126,464.84375,461.9140625
1737468415297,127,461.9140625,459.9609375
1737468416287,129,458.0078125,453.125,453.125
1737468417278,130,452.1484375,455.078125
1737468418274,131,490.234375
1737468419257,125,537.109375,606.4453125
1737468420292,117,647.4609375
1737468421282,102,669.921875,671.875
1737468422272,100,675.78125
1737468423267,96,657.2265625,626.953125
1737468424297,96,605.46875,553.7109375
1737468425287,100,539.0625,539.0625
1737468426278,104,547.8515625,530.2734375
1737468427267,107,514.6484375,510.7421875
1737468428257,111,506.8359375,505.859375
1737468429338,114,511.71875,524.4140625
1737468430282,114,538.0859375
1737468431272,113,544.921875,545.8984375
1737468432267,112,542.96875,556.640625
1737468433297,111,555.6640625,562.5
1737468434287,110,584.9609375
1737468435277,107,600.5859375,599.609375
1737468436267,105,592.7734375,574.21875
1737468437257,105,567.3828125,560.546875
1737468438292,106,547.8515625,536.1328125
1737468439282,108,527.34375,519.53125
1737468440272,109,519.53125
1737468441262,111,522.4609375,535.15625
1737468442297,112,547.8515625,578.125
1737468443287,109,566.40625,553.7109375
1737468444277,109,531.25,523.4375
1737468445267,111,518.5546875,519.53125
1737468446257,113,520.5078125,537.109375
1737468447292,113,541.9921875
1737468448282,113,527.34375,523.4375
1737468449272,113,528.3203125,544.921875
1737468450266,112,570.3125,590.8203125
1737468451296,110,604.4921875
1737468452287,107,577.1484375,555.6640625
1737468453277,107,544.921875,529.296875
1737468454267,109,519.53125,512.6953125
1737468455256,112,505.859375,501.953125
1737468456292,115,506.8359375,523.4375
1737468457281,115,534.1796875,542.96875
1737468458271,114,534.1796875,539.0625
1737468459306,113,553.7109375
1737468460296,111,573.2421875,600.5859375
1737468461287,107,614.2578125,607.421875
1737468462276,104,589.84375,573.2421875
1737468463266,104,562.5
1737468464346,105,541.015625,532.2265625
1737468465291,108,524.4140625,519.53125
1737468466281,111,522.4609375,530.2734375
1737468467271,111,542.96875,541.015625
1737468468261,111,536.1328125,535.15625
1737468469296,111,541.015625,559.5703125
1737468470286,111,564.453125
1737468471276,109,556.640625,555.6640625
1737468472266,109,553.7109375,539.0625
1737468473256,110,531.25,525.390625
1737468474291,111,520.5078125,518.5546875
1737468475281,113,523.4375,523.4375
1737468476271,113,525.390625,524.4140625
1737468477261,114,525.390625,530.2734375
1737468478341,114,535.15625
1737468479331,113,556.640625,564.453125
1737468480276,111,562.5,557.6171875
1737468481266,110,549.8046875,546.875
1737468482256,110,544.921875,544.921875
1737468483291,110,550.78125
1737468484281,109,557.6171875,562.5
1737468485271,109,554.6875,541.9921875
1737468486260,109,542.96875,542.96875
1737468487296,110,545.8984375,551.7578125
1737468488286,109,550.78125,540.0390625
1737468489276,110,533.203125
1737468490266,111,530.2734375,529.296875
1737468491256,112,532.2265625,534.1796875
1737468492291,112,534.1796875,531.25
1737468493280,112,535.15625,543.9453125
1737468494271,111,561.5234375,557.6171875
1737468495261,110,547.8515625,540.0390625
1737468496295,110,540.0390625
1737468497286,111,538.0859375,534.1796875
1737468498275,111,537.109375,534.1796875
1737468499265,112,528.3203125,521.484375
1737468500255,113,516.6015625,511.71875
1737468501290,114,507.8125,509.765625
1737468502281,115,517.578125,530.2734375
1737468503271,115,536.1328125,526.3671875
1737468504260,114,526.3671875,530.2734375
1737468505296,114,534.1796875
1737468506286,113,543.9453125,548.828125
1737468507275,112,553.7109375,547.8515625
1737468508265,111,535.15625,530.2734375
