timestamp_ms,value
1737145519794,5118
1737145519812,5174
1737145519872,5182
1737145519895,5182
1737145519954,5182
1737145519975,5118
1737145519995,5118
1737145520037,5102
1737145520057,5086
1737145520078,5078
1737145520119,5046
1737145520140,5022
1737145520160,4982
1737145520181,4950
1737145520222,4910
1737145520242,4910
1737145520263,4862
1737145520305,4830
1737145520325,4822
1737145520346,4798
1737145520371,4782
1737145520390,4734
1737145520408,4734
1737145520429,4702
1737145520449,4670
1737145520470,4654
1737145520490,4606
1737145520511,4590
1737145520532,4558
1737145520552,4574
1737145520577,4670
1737145520614,4950
1737145520635,5054
1737145520655,5070
1737145520699,5054
1737145520738,5078
1737145520758,5086
1737145520779,5086
1737145520800,5054
1737145520820,5022
1737145520845,4990
1737145520863,4982
1737145520882,4982
1737145520903,4974
1737145520923,4974
1737145520944,4958
1737145520965,4926
1737145520985,4926
1737145521006,4886
1737145521027,4862
1737145521052,4830
1737145521070,4798
1737145521109,4758
1737145521130,4758
1737145521150,4718
1737145521171,4702
1737145521191,4670
1737145521212,4654
1737145521232,4654
1737145521253,4606
1737145521278,4574
1737145521297,4534
1737145521315,4510
1737145521336,4598
1737145521356,4606
1737145521377,4766
1737145521397,4846
1737145521418,4890
1737145521439,4918
1737145521459,4910
1737145521485,4926
1737145521506,4926
1737145521524,4926
1737145521562,4910
1737145521583,4894
1737145521604,4846
1737145521625,4862
1737145521645,4862
1737145521665,4862
1737145521686,4862
1737145521711,4862
1737145521730,4830
1737145521748,4798
1737145521769,4798
1737145521789,4782
1737145521810,4766
1737145521831,4726
1737145521851,4698
1737145521872,4670
1737145521892,4670
1737145521918,4662
1737145521936,4654
1737145521975,4606
1737145521995,4590
1737145522016,4574
1737145522037,4574
1737145522058,4638
1737145522078,4734
1737145522099,4830
1737145522119,4862
1737145522145,4910
1737145522163,4910
1737145522202,4942
1737145522222,4926
1737145522243,4918
1737145522264,4894
1737145522284,4862
1737145522325,4862
1737145522346,4862
1737145522367,4894
1737145522392,4894
1737145522411,4910
1737145522449,4894
1737145522469,4862
1737145522490,4862
1737145522511,4858
1737145522532,4814
1737145522553,4830
1737145522573,4790
1737145522593,4790
1737145522619,4790
1737145522638,4782
1737145522676,4758
1737145522696,4726
1737145522717,4702
1737145522738,4702
1737145522759,4670
1737145522779,4670
1737145522799,4734
1737145522820,4854
1737145522845,4926
1737145522864,4990
1737145522903,5046
1737145522923,5054
1737145522944,5070
1737145522964,5054
1737145522985,5070
1737145523006,5054
1737145523026,5054
1737145523047,5022
1737145523073,5022
1737145523093,5038
1737145523112,5038
1737145523150,5022
1737145523171,5006
1737145523191,4990
1737145523212,4990
1737145523232,4974
1737145523253,4974
1737145523274,4926
1737145523299,4910
1737145523318,4894
1737145523356,4862
1737145523377,4862
1737145523398,4846
1737145523418,4830
1737145523439,4798
1737145523459,4798
1737145523481,4782
1737145523501,4766
1737145523526,4734
1737145523545,4734
1737145523583,4702
1737145523604,4670
1737145523624,4662
1737145523645,4686
1737145523666,4734
1737145523686,4830
1737145523707,4926
1737145523727,4990
1737145523753,5038
1737145523772,5054
1737145523810,5054
1737145523831,5054
1737145523851,5086
1737145523872,5078
1737145523896,5086
1737145523914,5070
1737145523934,5038
1737145523954,5054
1737145523980,5054
1737145523999,5070
1737145524017,5054
1737145524037,5054
1737145524057,5054
1737145524078,5046
1737145524099,5038
1737145524119,5014
1737145524140,4990
1737145524161,4982
1737145524186,4958
1737145524205,4958
1737145524223,4942
1737145524243,4926
1737145524264,4926
1737145524284,4918
1737145524305,4894
1737145524325,4894
1737145524346,4862
1737145524366,4846
1737145524391,4846
1737145524410,4814
1737145524449,4822
1737145524470,4822
1737145524490,4782
1737145524511,4798
1737145524531,4782
1737145524552,4862
1737145524573,4926
1737145524593,5018
1737145524635,5102
1737145524655,5102
1737145524676,5102
1737145524717,5102
1737145524738,5086
1737145524758,5078
1737145524800,5054
1737145524820,5054
1737145524841,5038
1737145524861,5046
1737145524887,5038
1737145524906,5022
1737145524924,5014
1737145524944,4974
1737145524985,4974
1737145525005,4958
1737145525026,4926
1737145525047,4894
1737145525068,4862
1737145525088,4862
1737145525113,4862
1737145525132,4846
1737145525171,4830
1737145525212,4814
1737145525233,4798
1737145525253,4798
1737145525274,4782
1737145525294,4734
1737145525315,4734
1737145525336,4718
1737145525362,4718
1737145525380,4718
1737145525399,4758
1737145525418,4814
1737145525439,4894
1737145525459,4958
1737145525480,5014
1737145525503,5022
1737145525542,5046
1737145525563,5022
1737145525588,5014
1737145525606,4990
1737145525645,4926
1737145525665,4918
1737145525686,4926
1737145525707,4942
1737145525727,4926
1737145525748,4926
1737145525768,4926
1737145525789,4910
1737145525815,4910
1737145525834,4862
