timestamp_ms,value
599617954743.4628,-37
599617954751.155,-37
599617954758.8474,-34
599617954766.5397,-32
599617954774.232,-32
599617954781.9243,-32
599617954789.6166,-32
599617954797.309,-29
599617954805.0012,-32
599617954812.6935,-39
599617954820.3859,-37
599617954828.0781,-32
599617954835.7705,-32
599617954843.4628,-32
599617954851.155,-29
599617954858.8474,-24
599617954866.5397,-4
599617954874.232,29
599617954881.9243,52
599617954889.6166,39
599617954897.309,17
599617954905.0012,7
599617954912.6935,-12
599617954920.3859,-32
599617954928.0781,-27
599617954935.7705,-17
599617954943.4628,-24
599617954951.155,-24
599617954958.8474,-14
599617954966.5397,-19
599617954974.232,-29
599617954981.9243,117
599617954989.6166,566
599617954997.309,1060
599617955005.0012,932
599617955012.6935,59
599617955020.3859,-438
599617955028.0781,-109
599617955035.7705,67
599617955043.4628,-99
599617955051.155,-87
599617955058.8474,-7
599617955066.5397,-44
599617955074.232,-54
599617955081.9243,-17
599617955089.6166,-14
599617955097.309,-14
599617955105.0012,2
599617955112.6935,9
599617955120.3859,12
599617955128.0781,19
599617955135.7705,29
599617955143.4628,42
599617955151.155,57
599617955158.8474,64
599617955166.5397,77
599617955174.232,92
599617955181.9243,104
599617955189.6166,112
599617955197.309,124
599617955205.0012,137
599617955212.6935,142
599617955220.3859,147
599617955228.0781,147
599617955235.7705,142
599617955243.4628,132
599617955251.155,114
599617955258.8474,82
599617955266.5397,44
599617955274.232,14
599617955281.9243,-9
599617955289.6166,-29
599617955297.309,-47
599617955305.3755,-57
599617955313.0677,-59
599617955320.7601,-59
599617955328.4524,-54
599617955336.1448,-49
599617955343.837,-52
599617955351.5293,-57
599617955359.2217,-52
599617955366.914,-42
599617955374.6062,-39
599617955382.2986,-37
599617955389.9908,-37
599617955397.6832,-37
599617955405.3755,-34
599617955413.0677,-27
599617955420.7601,-32
599617955428.4524,-47
599617955436.1448,-54
599617955443.837,-52
599617955451.5293,-44
599617955459.2217,-42
599617955466.914,-37
599617955474.6062,-34
599617955482.2986,-32
599617955489.9908,-32
599617955497.6832,-27
599617955505.3755,-22
599617955513.0677,-17
599617955520.7601,-14
599617955528.4524,-17
599617955536.1448,-17
599617955543.837,-9
599617955551.5293,12
599617955559.2217,44
599617955566.914,72
599617955574.6062,59
599617955582.2986,32
599617955589.9908,32
599617955597.6832,22
599617955605.3755,2
599617955613.0677,2
599617955620.7601,7
599617955628.4524,7
599617955636.1448,12
599617955643.837,19
599617955651.5293,14
599617955659.2217,2
599617955666.914,122
599617955674.6062,543
599617955682.2986,1057
599617955689.9908,1017
599617955697.6832,184
599617955705.3755,-401
599617955713.0677,-129
599617955720.7601,89
599617955728.4524,-72
599617955736.1448,-82
599617955743.837,4
599617955751.5293,-32
599617955759.2217,-54
599617955766.914,-14
599617955774.6062,-4
599617955782.2986,-12
599617955789.9908,4
599617955797.6832,12
599617955805.3755,14
599617955813.0677,24
599617955820.7601,42
599617955828.4524,52
599617955836.1448,62
599617955843.837,72
599617955851.5293,84
599617955859.2217,99
599617955867.3086,117
599617955875.0009,129
599617955882.6932,139
599617955890.3855,149
599617955898.0779,154
599617955905.7701,159
599617955913.4624,157
599617955921.1548,139
599617955928.847,114
599617955936.5393,82
599617955944.2317,54
599617955951.924,27
599617955959.6163,-7
599617955967.3086,-34
599617955975.0009,-52
599617955982.6932,-67
599617955990.3855,-74
599617955998.0779,-69
599617956005.7701,-64
599617956013.4624,-59
599617956021.1548,-54
599617956028.847,-49
599617956036.5393,-42
599617956044.2317,-34
599617956051.924,-29
599617956059.6163,-24
599617956067.3086,-19
599617956075.0009,-22
599617956082.6932,-19
599617956090.3855,-14
599617956098.0779,-12
599617956105.7701,-12
599617956113.4624,-9
599617956121.1548,-12
599617956128.847,-12
599617956136.5393,-9
599617956144.2317,-4
599617956151.924,0
599617956159.6163,-2
599617956167.3086,-7
599617956175.0009,-9
599617956182.6932,-2
599617956190.3855,2
599617956198.0779,4
599617956205.7701,4
599617956213.4624,7
599617956221.1548,9
599617956228.847,7
599617956236.5393,9
599617956244.2317,17
599617956251.924,39
599617956259.6163,74
599617956267.3086,97
599617956275.0009,77
599617956282.6932,54
599617956290.3855,52
599617956298.0779,34
599617956305.7701,19
599617956313.4624,24
599617956321.1548,27
599617956328.847,27
599617956336.5393,32
599617956344.2317,37
599617956351.924,27
599617956359.6163,24
599617956367.3086,202
599617956375.0009,675
599617956382.6932,1122
599617956390.3855,877
599617956398.0779,-7
599617956405.7701,-384
599617956413.4624,-34
599617956421.1548,69
599617956429.211,-97
599617956436.9033,-67
599617956444.5957,-9
599617956452.288,-54
599617956459.9803,-49
599617956467.6726,-12
599617956475.3649,-24
599617956483.0573,-24
599617956490.7495,-2
599617956498.4418,2
599617956506.1342,4
599617956513.8264,24
599617956521.5188,37
599617956529.211,44
599617956536.9033,57
599617956544.5957,67
599617956552.288,72
599617956559.9803,87
599617956567.6726,99
599617956575.3649,109
599617956583.0573,122
599617956590.7495,132
599617956598.4418,142
599617956606.1342,144
599617956613.8264,137
599617956621.5188,132
599617956629.211,127
599617956636.9033,114
599617956644.5957,87
599617956652.288,54
599617956659.9803,17
599617956667.6726,-12
599617956675.3649,-29
599617956683.0573,-42
599617956690.7495,-47
599617956698.4418,-49
599617956706.1342,-49
599617956713.8264,-42
599617956721.5188,-34
599617956729.211,-29
599617956736.9033,-24
599617956744.5957,-22
599617956752.288,-19
599617956759.9803,-12
599617956767.6726,-7
599617956775.3649,-7
599617956783.0573,-7
599617956790.7495,-9
599617956798.4418,-4
599617956806.1342,0
599617956813.8264,0
599617956821.5188,0
