timestamp_ms,value,rris
1739823165384,104,559.5703125
1739823166419,105,567.3828125,566.40625
1739823167409,105,552.734375,535.15625
1739823168400,108,524.4140625,524.4140625
1739823169390,110,532.2265625,543.9453125
1739823170379,111,531.25,515.625
1739823171414,112,510.7421875,509.765625
1739823172404,114,511.71875,524.4140625
1739823173394,115,534.1796875
1739823174390,114,537.109375,538.0859375
1739823175419,113,537.109375,539.0625
1739823176409,112,541.015625,543.9453125
1739823177399,112,548.828125,550.78125
1739823178389,111,535.15625,533.203125
1739823179379,112,530.2734375,525.390625
1739823180458,113,516.6015625,511.71875
1739823181404,114,504.8828125,499.0234375
1739823182394,116,495.1171875,500.9765625
1739823183400,117,511.71875
1739823184419,117,526.3671875,558.59375
1739823185409,114,588.8671875,595.703125
1739823186399,110,554.6875,553.7109375
1739823187388,109,565.4296875
1739823188379,108,582.03125,583.984375
1739823189414,106,580.078125,575.1953125
1739823190404,105,595.703125,593.75
1739823191439,104,576.171875
1739823192429,104,574.21875,571.2890625
1739823193418,105,553.7109375,553.7109375
1739823194409,106,558.59375,559.5703125
1739823195399,106,560.546875
1739823196389,106,562.5,556.640625
1739823197379,107,551.7578125,545.8984375
1739823198414,108,558.59375,577.1484375
1739823199404,107,592.7734375
1739823200394,106,571.2890625,578.125
1739823201384,105,601.5625,591.796875
1739823202418,103,584.9609375,555.6640625
1739823203409,105,543.9453125,536.1328125
1739823204399,106,540.0390625
1739823205389,108,547.8515625,559.5703125
1739823206378,108,558.59375,559.5703125
1739823207413,108,563.4765625,552.734375
1739823208403,108,540.0390625,535.15625
1739823209394,109,539.0625
1739823210383,110,541.9921875,557.6171875
1739823211418,109,571.2890625,577.1484375
1739823212408,107,572.265625,553.7109375
1739823213398,108,544.921875,541.9921875
1739823214388,108,540.0390625
1739823215423,109,541.015625,550.78125
1739823216413,109,548.828125,544.921875
1739823217403,110,542.96875,546.875
1739823218393,109,559.5703125,564.453125
1739823219383,109,556.640625,547.8515625
1739823220418,109,548.828125
1739823221408,109,555.6640625,564.453125
1739823222399,108,566.40625,561.5234375
1739823223388,108,559.5703125,564.453125
1739823224378,107,569.3359375
1739823225412,107,577.1484375,563.4765625
1739823226403,107,553.7109375,563.4765625
1739823227393,107,559.5703125,551.7578125
1739823228387,108,542.96875,527.34375
1739823229418,110,519.53125,511.71875
1739823230408,112,501.953125,496.09375
1739823231397,115,499.0234375,500.9765625
1739823232388,117,501.953125,514.6484375
1739823233378,117,551.7578125
1739823234413,115,562.5,539.0625
1739823235403,113,536.1328125,535.15625
1739823236393,113,543.9453125,561.5234375
1739823237383,112,597.65625
1739823238417,108,604.4921875,578.125
1739823239408,107,542.96875,530.2734375
1739823240398,109,531.25,548.828125
1739823241433,109,599.609375
1739823242427,107,605.46875,607.421875
1739823243412,104,580.078125,582.03125
1739823244403,104,620.1171875
1739823245393,102,624.0234375,624.0234375
1739823246383,101,567.3828125,546.875
1739823247418,104,541.9921875,546.875
1739823248408,106,566.40625,580.078125
1739823249397,105,558.59375,545.8984375
1739823250387,106,546.875
1739823251382,107,554.6875,565.4296875
1739823252413,107,566.40625,581.0546875
1739823253403,107,589.84375
1739823254392,105,610.3515625,628.90625
1739823255383,102,610.3515625,573.2421875
1739823256462,102,562.5
1739823257408,103,567.3828125,581.0546875
1739823258398,103,603.515625,584.9609375
1739823259387,103,587.890625
1739823260384,102,600.5859375,613.28125
1739823261412,101,590.8203125,576.171875
1739823262402,102,577.1484375,586.9140625
1739823263392,102,582.03125,562.5
1739823264382,103,547.8515625
1739823265417,105,543.9453125,541.9921875
1739823266407,107,547.8515625,552.734375
1739823267397,108,550.78125,553.7109375
1739823268387,108,565.4296875
1739823269376,107,572.265625,594.7265625
1739823270412,105,613.28125,606.4453125
1739823271401,103,581.0546875,559.5703125
1739823272391,104,556.640625
1739823273382,105,559.5703125,561.5234375
1739823274371,106,565.4296875,551.7578125
1739823275407,107,546.875,560.546875
1739823276397,107,578.125
1739823277386,106,567.3828125,559.5703125
1739823278386,107,555.6640625,559.5703125
1739823279412,107,567.3828125,583.0078125
1739823280446,106,569.3359375,555.6640625
1739823281392,106,546.875
1739823282382,107,556.640625,567.3828125
1739823283379,107,577.1484375,577.1484375
1739823284407,106,570.3125,569.3359375
1739823285397,106,578.125
1739823286387,105,576.171875,565.4296875
1739823287384,106,547.8515625,538.0859375
1739823288412,108,538.0859375,551.7578125
1739823289402,108,556.640625,541.015625
