timestamp_ms,value,rris
1739823721391,117,504.8828125,504.8828125
1739823722381,118,500,500.9765625
1739823723371,118,502.9296875,500.9765625
1739823724363,119,500,500
1739823725397,119,504.8828125
1739823726386,119,521.484375,541.015625
1739823727376,116,543.9453125,533.203125
1739823728366,115,522.4609375,516.6015625
1739823729356,115,513.671875,511.71875
1739823730391,116,513.671875,528.3203125
1739823731381,115,522.4609375,522.4609375
1739823732371,115,525.390625,539.0625
1739823733361,114,552.734375,555.6640625
1739823734395,113,553.7109375
1739823735386,111,556.640625,570.3125
1739823736376,109,568.359375,556.640625
1739823737411,109,542.96875,536.1328125
1739823738401,110,534.1796875,540.0390625
1739823739391,110,535.15625,529.296875
1739823740381,111,525.390625
1739823741370,112,532.2265625,554.6875
1739823742360,111,560.546875,562.5
1739823743396,109,571.2890625,583.984375
1739823744386,108,585.9375
1739823745376,106,570.3125,563.4765625
1739823746366,107,547.8515625,531.25
1739823747356,109,520.5078125,519.53125
1739823748391,111,531.25,546.875
1739823749381,111,540.0390625,536.1328125
1739823750371,111,554.6875
1739823751361,110,574.21875,596.6796875
1739823752440,107,599.609375,591.796875
1739823753385,105,567.3828125,555.6640625
1739823754375,106,558.59375
1739823755366,106,563.4765625,564.453125
1739823756355,106,554.6875,560.546875
1739823757436,106,574.21875,583.0078125
1739823758381,106,565.4296875,560.546875
1739823759370,106,554.6875
1739823760360,107,539.0625,535.15625
1739823761395,109,544.921875,570.3125
1739823762385,108,581.0546875,582.03125
1739823763375,107,589.84375
1739823764365,105,590.8203125,580.078125
1739823765355,104,584.9609375,580.078125
1739823766391,104,585.9375,572.265625
1739823767380,104,543.9453125
1739823768370,106,524.4140625,514.6484375
1739823769360,110,520.5078125,522.4609375
1739823770395,111,526.3671875,527.34375
1739823771385,112,528.3203125,524.4140625
1739823772380,113,517.578125,517.578125
1739823773365,114,525.390625,528.3203125
1739823774355,114,520.5078125,521.484375
1739823775390,114,521.484375,527.34375
1739823776380,114,529.296875,533.203125
1739823777370,114,529.296875,528.3203125
1739823778360,114,521.484375,521.484375
1739823779395,114,526.3671875
1739823780385,114,523.4375,532.2265625
1739823781380,114,541.015625,542.96875
1739823782365,112,548.828125,564.453125
1739823783355,112,559.5703125
1739823784390,110,559.5703125,572.265625
1739823785380,108,581.0546875,582.03125
1739823786369,106,577.1484375,553.7109375
1739823787404,107,538.0859375,543.9453125
1739823788394,108,545.8984375
1739823789384,108,552.734375,577.1484375
1739823790374,107,574.21875,584.9609375
1739823791364,106,590.8203125,583.984375
1739823792354,105,572.265625,548.828125
1739823793389,105,538.0859375
1739823794379,107,535.15625,536.1328125
1739823795369,109,538.0859375,523.4375
1739823796359,111,513.671875,514.6484375
1739823797349,113,521.484375,528.3203125
1739823798384,113,532.2265625,524.4140625
1739823799374,114,515.625,517.578125
1739823800364,114,519.53125,519.53125
1739823801354,115,509.765625,499.0234375
1739823802434,117,493.1640625,492.1875
1739823803380,118,505.859375,530.2734375
1739823804369,118,541.9921875
1739823805359,115,563.4765625,553.7109375
1739823806349,112,558.59375,570.3125
1739823807384,110,566.40625,569.3359375
1739823808374,109,552.734375,529.296875
1739823809364,109,538.0859375
1739823810354,110,545.8984375,554.6875
1739823811389,109,559.5703125,544.921875
1739823812380,110,529.296875,529.296875
1739823813369,111,528.3203125,539.0625
1739823814359,111,564.453125,554.6875
1739823815349,110,535.15625
1739823816384,110,543.9453125,557.6171875
1739823817378,109,565.4296875,557.6171875
1739823818363,109,554.6875,554.6875
1739823819354,109,552.734375,552.734375
1739823820389,108,562.5,535.15625
1739823821379,109,522.4609375
1739823822369,111,522.4609375,526.3671875
1739823823359,112,537.109375,543.9453125
1739823824348,112,528.3203125,535.15625
1739823825383,112,556.640625,572.265625
1739823826374,110,561.5234375,548.828125
1739823827364,110,533.203125,523.4375
1739823828354,110,516.6015625
1739823829389,112,519.53125,534.1796875
1739823830379,112,554.6875,568.359375
1739823831368,110,567.3828125,565.4296875
1739823832358,109,557.6171875,552.734375
1739823833349,109,547.8515625
1739823834384,109,543.9453125,536.1328125
1739823835374,110,532.2265625,523.4375
1739823836364,112,513.671875,510.7421875
1739823837398,114,514.6484375,536.1328125
1739823838389,114,530.2734375,518.5546875
1739823839379,114,517.578125,522.4609375
1739823840368,114,526.3671875,521.484375
1739823841358,115,518.5546875,511.71875
1739823842348,116,504.8828125,517.578125
1739823843384,116,564.453125
1739823844373,113,592.7734375,590.8203125
1739823845363,109,551.7578125,568.359375
1739823846353,109,614.2578125
1739823847388,104,695.3125,650.390625
1739823848378,100,625.9765625,577.1484375
