timestamp_ms,value
599616647182.1033,-62
599616647189.7955,-67
599616647197.4879,-62
599616647205.1802,-55
599616647212.8726,-50
599616647220.5648,-50
599616647228.2571,-45
599616647235.9495,-43
599616647243.6417,-45
599616647251.334,-45
599616647259.0264,-50
599616647266.7186,-50
599616647274.411,-43
599616647282.1033,-40
599616647289.7955,-38
599616647297.4879,-31
599616647305.1802,-26
599616647312.8726,-21
599616647320.5648,-9
599616647328.2571,0
599616647335.9495,0
599616647343.6417,-4
599616647351.334,0
599616647359.0264,12
599616647366.7186,26
599616647374.411,31
599616647382.1033,31
599616647389.7955,33
599616647397.4879,36
599616647405.1802,26
599616647412.8726,9
599616647420.5648,-9
599616647428.2571,-33
599616647435.9495,-60
599616647443.6417,-89
599616647451.334,-113
599616647459.0264,-122
599616647466.7186,-125
599616647474.411,-130
599616647482.1033,-137
599616647489.7955,-139
599616647497.4879,-134
599616647505.1802,-130
599616647512.8726,-130
599616647520.5648,-127
599616647528.2571,-125
599616647535.9495,-125
599616647543.6417,-122
599616647551.334,-113
599616647559.0264,-110
599616647566.7186,-118
599616647574.411,-118
599616647582.1033,-113
599616647589.7955,-118
599616647597.4879,-127
599616647605.1802,-125
599616647612.8726,-125
599616647620.5648,-125
599616647628.2571,-122
599616647635.9495,-120
599616647643.6417,-122
599616647651.334,-120
599616647659.0264,-120
599616647666.7186,-125
599616647674.411,-122
599616647682.1033,-120
599616647689.7955,-120
599616647697.4879,-115
599616647705.1802,-120
599616647712.8726,-127
599616647720.5648,-120
599616647728.2571,-110
599616647735.9495,-108
599616647743.3904,-110
599616647751.0826,-115
599616647758.775,-118
599616647766.4673,-110
599616647774.1597,-110
599616647781.8519,-120
599616647789.5442,-125
599616647797.2366,-127
599616647804.9288,-127
599616647812.6211,-122
599616647820.3135,-122
599616647828.0057,-125
599616647835.6981,-122
599616647843.3904,-122
599616647851.0826,-122
599616647858.775,-120
599616647866.4673,-118
599616647874.1597,-118
599616647881.8519,-110
599616647889.5442,-89
599616647897.2366,-67
599616647904.9288,-65
599616647912.6211,-74
599616647920.3135,-91
599616647928.0057,-110
599616647935.6981,-118
599616647943.3904,-113
599616647951.0826,-113
599616647958.775,-115
599616647966.4673,-105
599616647974.1597,-98
599616647981.8519,-89
599616647989.5442,0
599616647997.2366,195
599616648004.9288,308
599616648012.6211,91
599616648020.3135,-414
599616648028.0057,-645
599616648035.6981,-339
599616648043.3904,-69
599616648051.0826,-89
599616648058.775,-84
599616648066.4673,-38
599616648074.1597,-57
599616648081.8519,-65
599616648089.5442,-45
599616648097.2366,-48
599616648104.9288,-48
599616648112.6211,-45
599616648120.3135,-52
599616648128.0057,-50
599616648135.6981,-40
599616648143.3904,-36
599616648151.0826,-31
599616648158.775,-28
599616648166.4673,-28
599616648174.1597,-31
599616648181.8519,-33
599616648189.5442,-26
599616648197.2366,-19
599616648204.9288,-21
599616648212.6211,-16
599616648220.3135,-9
599616648228.0057,0
599616648235.6981,9
599616648243.3904,14
599616648251.0826,12
599616648258.775,16
599616648266.4673,28
599616648274.1597,33
599616648281.8519,33
599616648289.5442,31
599616648297.2366,26
599616648304.6875,24
599616648312.3798,12
599616648320.0721,-7
599616648327.7644,-36
599616648335.4568,-67
599616648343.149,-91
599616648350.8413,-105
599616648358.5337,-110
599616648366.226,-125
599616648373.9182,-142
599616648381.6106,-144
599616648389.3029,-139
599616648396.9952,-134
599616648404.6875,-134
