timestamp_ms,value,rris
1730299939948,99,595.703125,606.4453125
1730299941075,99,604.4921875
1730299941928,99,603.515625,606.4453125
1730299942963,99,605.46875,601.5625
1730299944050,99,592.7734375
1730299944943,100,596.6796875,592.7734375
1730299946255,100,589.84375,593.75
1730299946923,101,599.609375
1730299947913,100,603.515625,610.3515625
1730299948948,100,616.2109375,620.1171875
1730299949938,99,630.859375
1730299950928,98,640.625,649.4140625
1730299951917,97,659.1796875
1730299952908,95,658.203125,662.109375
1730299953943,94,666.015625
1730299954939,93,674.8046875,674.8046875
1730299955968,92,672.8515625
1730299956913,91,670.8984375,666.015625
1730299957948,91,666.9921875
1730299958944,91,662.109375,655.2734375
1730299959935,91,646.484375
1730299960918,91,641.6015625,634.765625
1730299962000,92,630.859375
1730299962943,93,623.046875,618.1640625
1730299963984,94,618.1640625,612.3046875
1730299964923,95,609.375
1730299966009,96,608.3984375,607.421875
1730299966948,97,603.515625,602.5390625
1730299967938,97,602.5390625
1730299968935,98,600.5859375,602.5390625
1730299969964,99,600.5859375,600.5859375
1730299970909,99,598.6328125
1730299971945,99,598.6328125,598.6328125
1730299972933,100,597.65625,595.703125
1730299973923,100,595.703125
1730299974914,100,601.5625,600.5859375
1730299975994,100,599.609375,600.5859375
1730299976984,100,606.4453125
1730299977973,100,608.3984375,611.328125
1730299978919,99,611.328125,612.3046875
1730299979909,99,610.3515625
1730299980944,99,611.328125,609.375
1730299981933,98,614.2578125,615.234375
1730299982923,98,613.28125
1730299983914,98,612.3046875,616.2109375
1730299984949,98,619.140625
1730299985938,98,622.0703125,619.140625
1730299986931,97,620.1171875,622.0703125
1730299987919,97,624.0234375
1730299988909,97,623.046875,619.140625
1730299989944,97,619.140625
1730299991071,97,622.0703125,620.1171875
1730299991923,97,620.1171875,618.1640625
1730299992914,97,622.0703125
1730299993994,97,617.1875,617.1875
1730299994938,97,616.2109375,610.3515625
1730299995928,97,612.3046875
1730299996919,97,610.3515625,611.328125
1730299997954,98,608.3984375
1730299998943,98,606.4453125,606.4453125
1730299999979,98,610.3515625,615.234375
1730300000968,98,610.3515625
1730300001914,98,610.3515625,614.2578125
1730300002948,98,611.328125,610.3515625
1730300003939,98,607.421875
1730300004935,98,607.421875,610.3515625
1730300005964,98,609.375,605.46875
1730300006909,98,607.421875
1730300007944,99,606.4453125,605.46875
1730300008986,99,604.4921875,602.5390625
1730300009923,99,602.5390625
1730300010914,99,603.515625,602.5390625
1730300011949,99,602.5390625,600.5859375
1730300013076,99,603.515625
1730300013936,99,602.5390625,600.5859375
1730300014919,100,598.6328125,599.609375
1730300015909,100,597.65625
1730300016989,100,595.703125,593.75
1730300017934,100,594.7265625,593.75
1730300018923,100,594.7265625
1730300019914,101,596.6796875,601.5625
1730300020904,100,608.3984375,606.4453125
1730300021984,100,607.421875
1730300022931,99,611.328125,613.28125
1730300023919,99,611.328125
1730300024909,99,614.2578125,620.1171875
1730300025989,98,619.140625,617.1875
1730300027024,98,618.1640625
1730300027924,98,619.140625,615.234375
1730300028914,98,614.2578125,611.328125
1730300029904,98,611.328125
1730300030939,98,621.09375,623.046875
1730300031931,97,617.1875
1730300032919,97,618.1640625,623.046875
1730300033909,97,624.0234375,622.0703125
1730300034944,97,620.1171875
1730300035934,97,623.046875,625
1730300036968,97,625.9765625
1730300037914,96,621.09375,622.0703125
1730300038904,96,622.0703125,622.0703125
1730300039939,96,615.234375
1730300040930,97,614.2578125,613.28125
1730300041964,97,611.328125,612.3046875
1730300042910,97,607.421875
1730300044035,98,610.3515625,610.3515625
1730300044934,98,612.3046875
1730300045924,98,614.2578125,613.28125
1730300046960,98,617.1875,617.1875
1730300047905,98,619.140625
1730300048940,97,617.1875,619.140625
1730300049981,97,619.140625,620.1171875
1730300050965,97,617.1875
1730300051910,97,617.1875,618.1640625
1730300052944,97,619.140625
1730300053934,97,617.1875,618.1640625
1730300054924,97,617.1875,617.1875
1730300055914,97,616.2109375
1730300056904,97,613.28125,613.28125
1730300057984,97,610.3515625,610.3515625
1730300058981,98,605.46875
1730300059919,98,606.4453125,609.375
1730300060909,98,611.328125
1730300061944,98,610.3515625,610.3515625
1730300063076,98,614.2578125,616.2109375
1730300063924,98,616.2109375
