timestamp_ms,value,rris
1730299649926,105,564.453125,573.2421875
1730299650908,105,581.0546875,586.9140625
1730299651943,104,591.796875
1730299652933,103,597.65625,603.515625
1730299653923,102,609.375,617.1875
1730299654913,101,620.1171875
1730299655954,99,624.0234375,625.9765625
1730299656938,99,621.09375
1730299657928,98,623.046875,619.140625
1730299658918,98,615.234375,616.2109375
1730299659960,98,609.375
1730299660943,98,604.4921875,603.515625
1730299661934,98,601.5625,596.6796875
1730299662923,99,594.7265625
1730299663913,99,593.75,591.796875
1730299665132,100,587.890625,585.9375
1730299665938,101,583.984375
1730299666928,101,578.125,577.1484375
1730299667918,102,572.265625,571.2890625
1730299668956,103,571.2890625,568.359375
1730299669943,104,565.4296875,565.4296875
1730299670934,105,562.5
1730299671924,105,560.546875,558.59375
1730299672913,106,558.59375,555.6640625
1730299674128,107,551.7578125,549.8046875
1730299674938,108,550.78125,549.8046875
1730299676070,108,550.78125
1730299676971,108,550.78125,552.734375
1730299678005,108,553.7109375,556.640625
1730299678989,108,560.546875,559.5703125
1730299680023,108,562.5
1730299680924,107,562.5,564.453125
1730299681914,107,565.4296875,565.4296875
1730299682998,107,562.5,568.359375
1730299683939,106,564.453125,565.4296875
1730299684928,106,564.453125
1730299685919,106,565.4296875,564.453125
1730299686953,106,562.5,561.5234375
1730299687946,107,563.4765625,560.546875
1730299688979,107,562.5
1730299689924,107,561.5234375,561.5234375
1730299690914,107,565.4296875,567.3828125
1730299691948,106,571.2890625,571.2890625
1730299693029,106,574.21875
1730299693928,105,578.125,580.078125
1730299694921,105,581.0546875,580.078125
1730299696006,104,582.03125,582.03125
1730299696943,104,578.125
1730299697934,104,577.1484375,576.171875
1730299698924,104,579.1015625,577.1484375
1730299699913,104,575.1953125,572.265625
1730299700996,104,571.2890625
1730299701939,104,566.40625,565.4296875
1730299702928,105,563.4765625,559.5703125
1730299703963,106,556.640625,556.640625
1730299704915,107,554.6875,552.734375
1730299705944,107,552.734375
1730299706934,108,550.78125,550.78125
1730299707924,108,556.640625,555.6640625
1730299708959,108,555.6640625,557.6171875
1730299709955,108,562.5,565.4296875
1730299710939,107,564.453125
1730299711929,107,566.40625,567.3828125
1730299712964,107,568.359375,575.1953125
1730299713954,106,575.1953125
1730299714948,106,575.1953125,574.21875
1730299715934,105,574.21875,577.1484375
1730299716924,105,576.171875,574.21875
1730299717914,105,574.21875
1730299718951,105,572.265625,572.265625
1730299719939,105,569.3359375,568.359375
1730299720974,105,568.359375,565.4296875
1730299721919,105,563.4765625,560.546875
1730299722954,106,560.546875
1730299723946,106,557.6171875,555.6640625
1730299724934,107,558.59375,557.6171875
1730299725924,107,558.59375,561.5234375
1730299726959,107,562.5
1730299727994,107,561.5234375,564.453125
1730299728984,107,566.40625,569.3359375
1730299729974,106,571.2890625,572.265625
1730299730919,106,573.2421875
1730299731909,105,575.1953125,578.125
1730299733039,105,576.171875,575.1953125
1730299733934,105,576.171875,576.171875
1730299734924,105,579.1015625
1730299735959,104,573.2421875,576.171875
1730299736958,104,574.21875,571.2890625
1730299737939,105,571.2890625,570.3125
1730299738929,105,568.359375
1730299739919,105,567.3828125,564.453125
1730299740954,105,566.40625,565.4296875
1730299742176,106,566.40625,566.40625
1730299742935,106,570.3125
1730299743925,106,573.2421875,574.21875
1730299744915,105,571.2890625,572.265625
1730299745956,105,571.2890625,570.3125
1730299746939,105,570.3125
1730299747975,105,568.359375,568.359375
1730299748920,105,567.3828125,565.4296875
1730299749909,106,568.359375,566.40625
1730299751023,106,566.40625,566.40625
1730299751921,106,563.4765625
1730299752911,106,562.5,559.5703125
1730299753901,106,559.5703125,558.59375
1730299754936,107,557.6171875,559.5703125
1730299755926,107,560.546875
1730299756916,107,559.5703125,560.546875
1730299757906,107,562.5,564.453125
1730299758896,107,564.453125,565.4296875
1730299760118,107,565.4296875,567.3828125
1730299761011,106,566.40625
1730299762001,106,569.3359375,567.3828125
1730299762901,106,569.3359375,569.3359375
1730299764073,106,569.3359375,571.2890625
1730299764926,106,568.359375
1730299765917,106,569.3359375,568.359375
1730299766951,106,567.3828125,567.3828125
1730299767902,105,571.2890625,571.2890625
1730299768978,105,574.21875
1730299769921,105,573.2421875,572.265625
1730299770911,105,571.2890625,572.265625
1730299771901,105,574.21875,571.2890625
1730299772936,105,572.265625
1730299773926,105,570.3125,569.3359375
1730299774917,105,566.40625,570.3125
1730299775907,105,568.359375,567.3828125
1730299777083,105,569.3359375
1730299778028,105,572.265625,570.3125
