timestamp_ms,value,rris
1730300397592,100,596.6796875,595.703125
1730300398581,100,594.7265625,595.703125
1730300399572,100,592.7734375
1730300400561,101,593.75,595.703125
1730300401596,101,593.75,594.7265625
1730300402586,101,595.703125,590.8203125
1730300403718,101,594.7265625
1730300404567,101,594.7265625,592.7734375
1730300405557,101,594.7265625,598.6328125
1730300406591,101,598.6328125
1730300407588,101,596.6796875,595.703125
1730300408797,101,597.65625,596.6796875
1730300409562,101,597.65625
1730300410597,101,596.6796875,594.7265625
1730300411639,101,597.65625,601.5625
1730300412624,100,601.5625
1730300413567,100,601.5625,600.5859375
1730300414556,100,603.515625,604.4921875
1730300415591,100,599.609375
1730300416670,100,597.65625,591.796875
1730300417622,100,590.8203125,587.890625
1730300418560,101,582.03125
1730300419596,102,580.078125,577.1484375
1730300420586,102,576.171875,574.21875
1730300421576,103,573.2421875,570.3125
1730300422566,103,570.3125
1730300423555,104,573.2421875,573.2421875
1730300424591,104,573.2421875,570.3125
1730300425581,105,572.265625,574.21875
1730300426663,105,573.2421875
1730300427561,105,573.2421875,571.2890625
1730300428641,105,571.2890625,567.3828125
1730300429631,105,565.4296875,563.4765625
1730300430666,105,563.4765625
1730300431618,106,563.4765625,561.5234375
1730300432556,106,560.546875,561.5234375
1730300433636,106,563.4765625,563.4765625
1730300434581,106,564.453125,566.40625
1730300435571,106,567.3828125
1730300436561,106,569.3359375,571.2890625
1730300437596,106,571.2890625,574.21875
1730300438586,106,576.171875
1730300439576,105,579.1015625,579.1015625
1730300440617,105,579.1015625,581.0546875
1730300441556,104,582.03125,581.0546875
1730300442908,104,579.1015625
1730300443581,104,580.078125,578.125
1730300444668,104,577.1484375,576.171875
1730300445561,104,576.171875,577.1484375
1730300446596,104,575.1953125
1730300447587,104,575.1953125,582.03125
1730300448622,104,582.03125,578.125
1730300449616,104,579.1015625,581.0546875
1730300450556,104,584.9609375
1730300451592,103,583.0078125,583.0078125
1730300452582,103,585.9375,589.84375
1730300453572,103,590.8203125
1730300454562,102,589.84375,592.7734375
1730300455597,102,589.84375,590.8203125
1730300456593,102,588.8671875
1730300457576,102,584.9609375,584.9609375
1730300458614,102,581.0546875,581.0546875
1730300459556,103,578.125,577.1484375
1730300460592,103,577.1484375
1730300461993,103,574.21875,574.21875
1730300462715,104,575.1953125,574.21875
1730300463562,104,573.2421875,570.3125
1730300464597,104,572.265625
1730300465587,104,573.2421875,576.171875
1730300466577,104,575.1953125,573.2421875
1730300467614,104,575.1953125,575.1953125
1730300468557,104,573.2421875
1730300469637,105,571.2890625,572.265625
1730300470588,105,570.3125,567.3828125
1730300471571,105,568.359375,570.3125
1730300472697,105,571.2890625
1730300473687,105,572.265625,571.2890625
1730300474632,105,572.265625,568.359375
1730300475577,105,571.2890625,568.359375
1730300476792,105,566.40625
1730300477557,105,569.3359375,569.3359375
1730300478592,105,572.265625,571.2890625
1730300479672,105,576.171875,574.21875
1730300480662,105,579.1015625
1730300481562,104,582.03125,583.0078125
1730300482597,104,587.890625,590.8203125
1730300483587,103,596.6796875
1730300484577,102,599.609375,597.65625
1730300485567,102,595.703125,595.703125
1730300486558,102,596.6796875
1730300487637,101,593.75,592.7734375
1730300488672,101,592.7734375,594.7265625
1730300489579,101,593.75
1730300490569,101,593.75,589.84375
1730300491597,101,585.9375,583.0078125
1730300492587,102,580.078125,577.1484375
1730300493578,102,573.2421875
1730300494658,103,572.265625,570.3125
1730300495605,104,570.3125,567.3828125
1730300496593,104,570.3125,569.3359375
1730300497583,105,572.265625
1730300498572,105,572.265625,573.2421875
1730300499563,105,571.2890625,572.265625
1730300500598,105,573.2421875,571.2890625
1730300501587,105,569.3359375
1730300502578,105,572.265625,571.2890625
1730300503619,105,571.2890625,572.265625
1730300504564,105,572.265625,571.2890625
1730300505593,105,574.21875
1730300506583,105,575.1953125,575.1953125
1730300507579,105,575.1953125,579.1015625
1730300508571,104,582.03125,580.078125
1730300509598,104,579.1015625
1730300510587,104,580.078125,583.0078125
1730300511578,104,581.0546875,582.03125
1730300512619,104,578.125
1730300513560,104,578.125,582.03125
1730300514593,104,579.1015625,582.03125
1730300515628,103,583.984375,583.0078125
1730300516573,103,584.9609375
1730300517749,103,586.9140625,587.890625
1730300518694,103,586.9140625,584.9609375
1730300519595,103,586.9140625
1730300520578,102,587.890625,589.84375
1730300521569,102,587.890625,587.890625
