timestamp_ms,value,rris
1730301153560,102,589.84375,587.890625
1730301154557,102,587.890625,591.796875
1730301155585,102,593.75
1730301156575,102,592.7734375,588.8671875
1730301157611,102,588.8671875,593.75
1730301158600,102,592.7734375
1730301159635,102,590.8203125,587.890625
1730301160580,102,588.8671875,592.7734375
1730301161570,102,592.7734375
1730301162561,102,591.796875,588.8671875
1730301163558,102,590.8203125,589.84375
1730301164586,102,585.9375,584.9609375
1730301165576,102,579.1015625
1730301166566,102,579.1015625,579.1015625
1730301167556,103,579.1015625,573.2421875
1730301168591,103,575.1953125
1730301169580,103,1150.390625
1730301170571,104,569.3359375,567.3828125
1730301171561,105,562.5,563.4765625
1730301172557,105,564.453125,565.4296875
1730301173675,105,569.3359375
1730301174576,106,569.3359375,570.3125
1730301175566,105,572.265625,573.2421875
1730301176555,105,571.2890625,569.3359375
1730301177546,105,569.3359375
1730301178581,105,565.4296875,566.40625
1730301179616,105,568.359375,571.2890625
1730301180561,105,572.265625,575.1953125
1730301181551,105,580.078125
1730301182586,105,577.1484375,581.0546875
1730301183576,104,578.125,577.1484375
1730301184566,104,575.1953125,574.21875
1730301185556,104,576.171875
1730301186546,104,572.265625,574.21875
1730301187581,104,576.171875,580.078125
1730301188571,104,583.0078125
1730301189560,104,583.984375,583.984375
1730301190551,103,582.03125,583.0078125
1730301191631,103,584.9609375,589.84375
1730301192576,103,590.8203125
1730301193566,102,590.8203125,587.890625
1730301194556,102,584.9609375,583.984375
1730301195546,102,581.0546875
1730301196581,103,582.03125,579.1015625
1730301197571,103,580.078125,575.1953125
1730301198560,103,573.2421875,571.2890625
1730301199596,104,568.359375
1730301200585,104,567.3828125,567.3828125
1730301201576,105,565.4296875,563.4765625
1730301202566,105,560.546875,559.5703125
1730301203556,106,556.640625,555.6640625
1730301204552,107,557.6171875
1730301205581,107,558.59375,557.6171875
1730301206571,107,556.640625,562.5
1730301207560,107,563.4765625,566.40625
1730301208596,107,570.3125
1730301209586,106,574.21875,578.125
1730301210576,105,581.0546875,583.984375
1730301211566,105,590.8203125
1730301212556,104,593.75,589.84375
1730301213546,103,588.8671875,587.890625
1730301214581,103,586.9140625,584.9609375
1730301215571,103,583.984375
1730301216561,103,580.078125,579.1015625
1730301217551,103,572.265625,572.265625
1730301218588,104,567.3828125,564.453125
1730301219576,104,562.5
1730301220566,105,558.59375,555.6640625
1730301221556,106,553.7109375,553.7109375
1730301222546,107,555.6640625,558.59375
1730301223626,107,825.1953125,294.921875
1730301224571,107,567.3828125
1730301225561,107,563.4765625,565.4296875
1730301226550,107,567.3828125,568.359375
1730301227586,106,569.3359375,570.3125
1730301228576,106,569.3359375
1730301229566,106,575.1953125,573.2421875
1730301230556,105,574.21875,574.21875
1730301231546,105,571.2890625,573.2421875
1730301232581,105,575.1953125
1730301233571,105,576.171875,575.1953125
1730301234561,105,577.1484375,577.1484375
1730301235551,104,577.1484375,577.1484375
1730301236586,104,577.1484375
1730301237576,104,577.1484375,582.03125
1730301238566,104,582.03125,578.125
1730301239556,104,576.171875
1730301240546,104,574.21875,571.2890625
1730301241581,104,571.2890625,568.359375
1730301242571,105,567.3828125,566.40625
1730301243561,105,565.4296875,564.453125
1730301244551,105,566.40625
1730301245631,106,563.4765625,562.5
1730301246576,106,559.5703125,557.6171875
1730301247566,107,556.640625,553.7109375
1730301248556,107,553.7109375
1730301249546,107,552.734375,555.6640625
1730301250581,108,554.6875,556.640625
1730301251571,108,558.59375,563.4765625
1730301252562,107,568.359375,571.2890625
1730301253551,107,575.1953125
1730301254587,106,574.21875,577.1484375
1730301255576,105,577.1484375,575.1953125
1730301256612,105,574.21875,571.2890625
1730301257601,105,566.40625
1730301258590,105,567.3828125,565.4296875
1730301259589,106,559.5703125,557.6171875
1730301260571,106,556.640625,559.5703125
1730301261561,107,558.59375
1730301262550,107,563.4765625,568.359375
1730301263631,106,575.1953125,579.1015625
1730301264575,105,581.0546875,583.984375
1730301265610,105,583.984375
1730301266556,104,581.0546875,576.171875
1730301267546,104,575.1953125,573.2421875
1730301268581,104,568.359375,568.359375
1730301269571,105,567.3828125
1730301270561,105,568.359375,568.359375
1730301271551,105,567.3828125,568.359375
1730301272630,105,568.359375,567.3828125
1730301273575,105,563.4765625
1730301274566,106,562.5,557.6171875
1730301275556,106,555.6640625,552.734375
