timestamp_ms,value,rris
1730301425586,103,582.03125,582.03125
1730301426576,103,582.03125
1730301427566,103,578.125,582.03125
1730301428555,103,583.984375,585.9375
1730301429553,103,587.890625
1730301430581,103,587.890625,587.890625
1730301431571,103,584.9609375,583.0078125
1730301432561,103,579.1015625,580.078125
1730301433552,103,578.125
1730301434540,103,574.21875,571.2890625
1730301435576,104,570.3125,571.2890625
1730301436566,104,570.3125,568.359375
1730301437600,104,569.3359375
1730301438551,105,568.359375,572.265625
1730301439579,105,574.21875,576.171875
1730301440570,105,576.171875,577.1484375
1730301441560,104,576.171875
1730301442550,104,576.171875,575.1953125
1730301443540,104,574.21875,573.2421875
1730301444575,104,571.2890625,570.3125
1730301445565,105,573.2421875
1730301446555,105,575.1953125,576.171875
1730301447545,104,576.171875,575.1953125
1730301448625,104,576.171875,579.1015625
1730301449570,104,579.1015625
1730301450560,104,577.1484375,577.1484375
1730301451550,104,579.1015625,578.125
1730301452540,104,577.1484375
1730301453575,104,577.1484375,577.1484375
1730301454565,104,581.0546875,579.1015625
1730301455555,104,581.0546875,580.078125
1730301456590,104,579.1015625
1730301457580,104,579.1015625,580.078125
1730301458570,104,580.078125,579.1015625
1730301459650,104,579.1015625
1730301460550,104,581.0546875,583.0078125
1730301461540,103,582.03125,580.078125
1730301462575,103,581.0546875,583.984375
1730301463565,103,583.984375
1730301464555,103,585.9375,584.9609375
1730301465547,103,582.03125,582.03125
1730301466580,103,581.0546875,582.03125
1730301467570,103,579.1015625
1730301468560,103,577.1484375,577.1484375
1730301469595,103,579.1015625,576.171875
1730301470540,104,579.1015625
1730301471620,104,577.1484375,576.171875
1730301472565,104,577.1484375,578.125
1730301473556,104,577.1484375,577.1484375
1730301474546,104,578.125
1730301475580,104,577.1484375,576.171875
1730301476570,104,574.21875,578.125
1730301477560,104,576.171875,573.2421875
1730301478596,104,573.2421875
1730301479540,104,572.265625,571.2890625
1730301480575,105,570.3125,568.359375
1730301481565,105,568.359375,569.3359375
1730301482556,105,568.359375
1730301483546,105,569.3359375,570.3125
1730301484581,105,570.3125,571.2890625
1730301485571,105,571.2890625,573.2421875
1730301486560,105,575.1953125
1730301487550,105,573.2421875,573.2421875
1730301488547,105,574.21875,573.2421875
1730301489576,105,570.3125,570.3125
1730301490566,105,569.3359375
1730301491556,105,571.2890625,569.3359375
1730301492552,105,569.3359375,569.3359375
1730301493581,105,572.265625,575.1953125
1730301494571,105,576.171875
1730301495561,105,575.1953125,578.125
1730301496551,104,580.078125,579.1015625
1730301497541,104,578.125,578.125
1730301498575,104,581.0546875
1730301499564,104,579.1015625,578.125
1730301500555,104,577.1484375,579.1015625
1730301501590,104,577.1484375
1730301502580,104,577.1484375,577.1484375
1730301503570,104,577.1484375,577.1484375
1730301504560,104,578.125,577.1484375
1730301505551,104,575.1953125
1730301506585,104,577.1484375,580.078125
1730301507581,104,579.1015625,578.125
1730301508565,104,579.1015625
1730301509555,104,583.984375,585.9375
1730301510545,103,585.9375,584.9609375
1730301511580,103,586.9140625,587.890625
1730301512570,103,589.84375
1730301513560,103,584.9609375,587.890625
1730301514550,102,587.890625,588.8671875
1730301515540,102,587.890625
1730301516575,102,583.0078125,584.9609375
1730301517565,102,584.9609375,585.9375
1730301518555,102,584.9609375,582.03125
1730301519636,103,582.03125
1730301520625,103,582.03125,581.0546875
1730301521660,103,583.984375,584.9609375
1730301522605,103,583.0078125
1730301523551,103,583.0078125,583.984375
1730301524540,103,584.9609375,587.890625
1730301525575,103,584.9609375,585.9375
1730301526610,103,584.9609375
1730301527555,103,583.984375,588.8671875
1730301528545,102,584.9609375,583.984375
1730301529580,103,583.984375
1730301530570,103,583.0078125,583.984375
1730301531561,103,580.078125,579.1015625
1730301532552,103,579.1015625,577.1484375
1730301533540,103,577.1484375
1730301534575,104,575.1953125,575.1953125
1730301535566,104,578.125,577.1484375
1730301536555,104,579.1015625
1730301537545,104,578.125,582.03125
1730301538581,104,582.03125,582.03125
1730301539570,103,583.0078125,582.03125
1730301540561,103,582.03125
1730301541550,103,583.0078125,584.9609375
1730301542541,103,583.984375,582.03125
1730301543576,103,583.0078125,581.0546875
1730301544566,103,582.03125
1730301545555,103,582.03125,580.078125
1730301546545,103,580.078125,581.0546875
1730301547581,103,581.0546875
1730301548580,103,579.1015625,583.0078125
1730301549561,103,587.890625,583.984375
1730301550595,103,586.9140625,586.9140625
1730301551541,103,584.9609375
