timestamp_ms,value
1733173170148,2426
1733173170170,2430
1733173170189,2558
1733173170208,2710
1733173170249,2998
1733173170288,3182
1733173170309,3246
1733173170332,3278
1733173170371,3326
1733173170392,3326
1733173170433,3294
1733173170454,3286
1733173170475,3262
1733173170517,3246
1733173170558,3198
1733173170600,3158
1733173170620,3134
1733173170644,3102
1733173170683,3038
1733173170703,2998
1733173170732,2974
1733173170751,2934
1733173170770,2910
1733173170789,2870
1733173170828,2806
1733173170849,2778
1733173170870,2742
1733173170893,2714
1733173170932,2646
1733173170953,2614
1733173170981,2582
1733173171000,2542
1733173171019,2526
1733173171038,2494
1733173171060,2474
1733173171098,2542
1733173171119,2678
1733173171160,2982
1733173171181,3070
1733173171204,3150
1733173171230,3182
1733173171250,3222
1733173171269,3246
1733173171291,3246
1733173171310,3246
1733173171329,3230
1733173171370,3190
1733173171409,3162
1733173171430,3134
1733173171472,3126
1733173171498,3110
1733173171517,3070
1733173171539,3054
1733173171558,3038
1733173171577,2998
1733173171617,2942
1733173171638,2902
1733173171659,2862
1733173171682,2838
1733173171721,2766
1733173171747,2742
1733173171768,2710
1733173171804,2654
1733173171825,2618
1733173171848,2590
1733173171887,2542
1733173171908,2526
1733173171931,2518
1733173171970,2574
1733173171991,2782
1733173172032,3372
1733173172053,3642
1733173172074,3918
1733173172115,4398
1733173172136,4654
1733173172157,4926
1733173172199,5502
1733173172219,5806
1733173172242,6078
1733173172282,6654
1733173172307,6958
1733173172344,7534
1733173172366,7774
1733173172385,7710
1733173172408,7646
1733173172448,7982
1733173172468,8110
1733173172493,8206
1733173172551,8582
1733173172593,8750
1733173172620,8798
1733173172642,8734
1733173172661,8670
1733173172680,8686
1733173172699,8590
1733173172738,8398
1733173172759,8286
1733173172803,8094
1733173172842,8014
1733173172863,8094
1733173172891,8286
1733173172911,8606
1733173172930,8990
1733173172949,9406
1733173172987,10174
1733173173008,10462
1733173173029,10686
1733173173052,10878
1733173173091,11230
1733173173113,11294
1733173173154,11230
1733173173174,11166
1733173173195,11206
1733173173236,11350
1733173173257,11366
1733173173278,11358
1733173173319,11358
1733173173340,11302
1733173173364,11214
1733173173402,11086
1733173173428,10990
1733173173450,10886
1733173173470,10734
1733173173489,10630
1733173173508,10526
1733173173548,10374
1733173173569,10286
1733173173589,10190
1733173173613,10086
1733173173651,9918
1733173173678,9790
1733173173700,9678
1733173173719,9574
1733173173738,9502
