timestamp_ms,value
599617740583.5912,43
599617740591.2834,38
599617740598.9758,36
599617740606.6681,48
599617740614.3605,130
599617740622.0527,327
599617740629.745,531
599617740637.4374,477
599617740645.1296,50
599617740652.8219,-373
599617740660.5143,-375
599617740668.2065,-128
599617740675.8989,-41
599617740683.5912,-80
599617740691.2834,-53
599617740698.9758,-19
599617740706.6681,-29
599617740714.3605,-24
599617740722.0527,-26
599617740729.745,-53
599617740737.4374,-50
599617740745.1296,-26
599617740752.8219,-16
599617740760.5143,-9
599617740768.2065,-2
599617740775.8989,2
599617740783.5912,19
599617740791.2834,36
599617740798.9758,46
599617740806.6681,63
599617740814.3605,82
599617740822.0527,97
599617740829.745,123
599617740837.4374,152
599617740845.1296,169
599617740852.8219,189
599617740860.5143,198
599617740868.2065,181
599617740875.8989,157
599617740883.5912,145
599617740891.2834,140
599617740898.9758,123
599617740906.6681,101
599617740914.3605,82
599617740922.0527,48
599617740929.745,16
599617740937.4374,9
599617740945.1296,7
599617740952.8219,-7
599617740960.5143,-12
599617740968.2065,-2
599617740975.8989,4
599617740983.5912,7
599617740991.2834,2
599617740998.9758,4
599617741006.6681,19
599617741014.3605,29
599617741022.0527,31
599617741029.745,31
599617741037.4374,29
599617741045.1296,36
599617741052.8219,46
599617741060.5143,48
599617741068.2065,48
599617741075.8989,50
599617741083.5912,53
599617741091.2834,55
599617741098.9758,53
599617741106.6681,55
599617741114.3605,60
599617741122.0527,55
599617741129.745,53
599617741137.4374,60
599617741145.8191,63
599617741153.5114,53
599617741161.2037,46
599617741168.896,41
599617741176.5884,33
599617741184.2806,38
599617741191.9729,48
599617741199.6653,48
599617741207.3575,48
599617741215.0498,36
599617741222.7422,9
599617741230.4344,14
599617741238.1268,33
599617741245.8191,29
599617741253.5114,21
599617741261.2037,21
599617741268.896,4
599617741276.5884,-2
599617741284.2806,12
599617741291.9729,14
599617741299.6653,19
599617741307.3575,29
599617741315.0498,26
599617741322.7422,31
599617741330.4344,36
599617741338.1268,38
599617741345.8191,46
599617741353.5114,48
599617741361.2037,48
599617741368.896,46
599617741376.5884,24
599617741384.2806,4
599617741391.9729,19
599617741399.6653,26
599617741407.3575,19
599617741415.0498,14
599617741422.7422,24
599617741430.4344,41
599617741438.1268,63
599617741445.8191,77
599617741453.5114,89
599617741461.2037,94
599617741468.896,84
599617741476.5884,65
599617741484.2806,50
599617741491.9729,38
599617741499.6653,36
599617741507.3575,43
599617741515.0498,41
599617741522.7422,55
599617741530.4344,169
599617741538.1268,397
599617741545.8191,560
599617741553.5114,395
599617741561.2037,-67
599617741568.896,-407
599617741576.5884,-332
599617741584.2806,-82
599617741591.9729,9
599617741599.6653,-12
599617741607.3575,2
599617741615.0498,21
599617741622.7422,16
599617741630.4344,31
599617741638.1268,43
599617741645.8191,43
599617741653.5114,48
599617741661.2037,46
599617741668.896,38
599617741676.5884,50
599617741684.2806,65
599617741691.9729,70
599617741699.6653,70
599617741708.0472,77
599617741715.7395,99
599617741723.4319,121
599617741731.1241,135
599617741738.8165,157
599617741746.5088,181
599617741754.201,186
599617741761.8934,181
599617741769.5857,186
599617741777.278,206
599617741784.9703,208
599617741792.6626,198
599617741800.355,177
599617741808.0472,135
599617741815.7395,111
599617741823.4319,101
599617741831.1241,80
599617741838.8165,60
599617741846.5088,41
599617741854.201,19
599617741861.8934,12
599617741869.5857,14
599617741877.278,-4
599617741884.9703,-14
599617741892.6626,0
599617741900.355,0
599617741908.0472,-12
599617741915.7395,-7
599617741923.4319,7
599617741931.1241,9
599617741938.8165,7
599617741946.5088,21
599617741954.201,31
599617741961.8934,29
599617741969.5857,38
599617741977.278,50
599617741984.9703,50
599617741992.6626,46
599617742000.355,50
599617742008.0472,60
599617742015.7395,67
599617742023.4319,65
599617742031.1241,60
599617742038.8165,55
599617742046.5088,58
599617742054.201,63
599617742061.8934,70
599617742069.5857,67
599617742077.278,53
599617742084.9703,48
599617742092.6626,63
599617742100.355,70
599617742108.0472,67
599617742115.7395,65
599617742123.4319,60
599617742131.1241,65
599617742138.8165,75
599617742146.5088,70
599617742154.201,60
599617742161.8934,48
599617742169.5857,50
599617742177.278,58
599617742184.9703,60
599617742192.6626,67
599617742200.355,70
599617742208.0472,60
599617742215.7395,58
599617742223.4319,70
599617742231.1241,75
599617742238.8165,75
599617742246.5088,75
599617742254.201,70
599617742261.8934,75
599617742270.2904,77
599617742277.9827,67
599617742285.675,60
599617742293.3673,55
599617742301.0597,53
599617742308.752,60
599617742316.4442,70
599617742324.1366,84
599617742331.8289,104
599617742339.5211,109
599617742347.2135,84
599617742354.9058,60
599617742362.5981,53
599617742370.2904,48
599617742377.9827,33
599617742385.675,-9
599617742393.3673,-53
599617742401.0597,-58
599617742408.752,-50
599617742416.4442,-2
599617742424.1366,152
599617742431.8289,388
599617742439.5211,489
599617742447.2135,223
599617742454.9058,-281
599617742462.5981,-514
599617742470.2904,-322
599617742477.9827,-101
599617742485.675,-77
599617742493.3673,-87
599617742501.0597,-55
599617742508.752,-38
599617742516.4442,-36
599617742524.1366,-24
599617742531.8289,-21
599617742539.5211,-19
599617742547.2135,0
599617742554.9058,12
599617742562.5981,9
599617742570.2904,14
599617742577.9827,24
599617742585.675,31
599617742593.3673,48
599617742601.0597,80
599617742608.752,94
599617742616.4442,92
599617742624.1366,111
599617742631.8289,143
599617742639.5211,157
599617742647.2135,164
599617742654.9058,191
599617742662.5981,213
599617742670.2904,206
599617742677.9827,189
599617742685.675,181
599617742693.3673,172
599617742701.0597,172
599617742708.752,162
599617742716.4442,123
599617742724.1366,82
599617742731.8289,65
599617742739.5211,63
599617742747.2135,43
599617742754.9058,31
599617742762.5981,43
599617742770.2904,46
599617742777.9827,46
599617742785.675,67
599617742793.3673,72
599617742801.0597,50
599617742808.752,63
599617742816.4442,89
599617742824.1366,87
599617742832.5032,82
599617742840.1954,97
599617742847.8878,101
599617742855.5801,97
599617742863.2725,89
599617742870.9647,92
599617742878.657,111
599617742886.3494,97
599617742894.0416,53
599617742901.7339,41
599617742909.4263,65
599617742917.1185,75
599617742924.8109,41
599617742932.5032,9
599617742940.1954,21
599617742947.8878,26
599617742955.5801,16
599617742963.2725,29
599617742970.9647,21
599617742978.657,2
599617742986.3494,33
599617742994.0416,55
599617743001.7339,14
599617743009.4263,4
599617743017.1185,38
599617743024.8109,41
599617743032.5032,38
599617743040.1954,36
599617743047.8878,24
599617743055.5801,41
599617743063.2725,43
599617743070.9647,12
599617743078.657,16
599617743086.3494,58
599617743094.0416,67
599617743101.7339,50
599617743109.4263,55
599617743117.1185,77
599617743124.8109,60
599617743132.5032,41
599617743140.1954,60
599617743147.8878,67
599617743155.5801,58
599617743163.2725,65
599617743170.9647,84
599617743178.657,89
599617743186.3494,72
599617743194.0416,63
599617743201.7339,63
599617743209.4263,70
599617743217.1185,77
599617743224.8109,80
599617743232.5032,94
599617743240.1954,111
599617743247.8878,106
599617743255.5801,109
599617743263.2725,118
599617743270.9647,99
599617743278.657,72
599617743286.3494,77
599617743294.0416,70
599617743301.7339,58
599617743309.4263,70
599617743317.1185,67
599617743324.8109,75
599617743332.5032,213
599617743340.1954,465
599617743347.8878,601
599617743355.5801,368
599617743363.2725,-104
599617743370.9647,-349
599617743378.657,-223
599617743386.3494,-53
599617743394.7465,-36
599617743402.4387,-55
599617743410.1311,-50
599617743417.8234,-48
599617743425.5157,-60
599617743433.208,-63
599617743440.9003,-48
599617743448.5927,-46
599617743456.2849,-46
599617743463.9772,-46
599617743471.6696,-60
599617743479.3618,-65
599617743487.0542,-58
599617743494.7465,-50
599617743502.4387,-21
599617743510.1311,7
599617743517.8234,12
599617743525.5157,29
599617743533.208,36
599617743540.9003,38
599617743548.5927,89
599617743556.2849,121
599617743563.9772,113
599617743571.6696,152
599617743579.3618,191
599617743587.0542,172
599617743594.7465,164
599617743602.4387,167
599617743610.1311,135
599617743617.8234,106
599617743625.5157,104
599617743633.208,87
599617743640.9003,43
599617743648.5927,26
599617743656.2849,21
599617743663.9772,2
599617743671.6696,9
599617743679.3618,33
599617743687.0542,21
599617743694.7465,-12
599617743702.4387,-7
599617743710.1311,24
599617743717.8234,31
599617743725.5157,24
599617743733.208,21
599617743740.9003,24
599617743748.5927,16
599617743756.2849,7
599617743763.9772,19
599617743771.6696,50
599617743779.3618,58
599617743787.0542,21
599617743794.7465,14
599617743802.4387,58
599617743810.1311,58
599617743817.8234,31
599617743825.5157,41
599617743833.208,46
599617743840.9003,26
599617743848.5927,26
599617743856.2849,41
599617743863.9772,41
599617743871.6696,29
599617743879.3618,24
599617743887.0542,19
599617743894.7465,-16
599617743902.4387,-36
599617743910.1311,2
599617743917.8234,19
599617743925.5157,-9
599617743933.208,-12
599617743940.9003,-12
599617743948.5927,-16
599617743956.9899,7
599617743964.6821,9
599617743972.3745,-9
599617743980.0668,-7
599617743987.7592,21
599617743995.4514,50
599617744003.1437,43
599617744010.836,31
599617744018.5283,41
599617744026.2206,26
599617744033.913,9
599617744041.6052,48
599617744049.2976,48
599617744056.9899,-14
599617744064.6821,-24
599617744072.3745,4
599617744080.0668,0
599617744087.7592,-12
599617744095.4514,14
599617744103.1437,21
599617744110.836,0
599617744118.5283,16
599617744126.2206,43
599617744133.913,36
599617744141.6052,41
599617744149.2976,50
599617744156.9899,33
599617744164.6821,16
599617744172.3745,12
599617744180.0668,7
599617744187.7592,-4
599617744195.4514,-2
599617744203.1437,9
599617744210.836,9
599617744218.5283,50
599617744226.2206,191
599617744233.913,383
599617744241.6052,441
599617744249.2976,179
599617744256.9899,-249
599617744264.6821,-446
599617744272.3745,-322
599617744280.0668,-135
599617744287.7592,-65
599617744295.4514,-41
599617744303.1437,-24
599617744310.836,-29
599617744318.5283,-24
599617744326.2206,-19
599617744333.913,-43
599617744341.6052,-55
599617744349.2976,-33
