timestamp_ms,value
599616383234.9426,0
599616383242.6349,26
599616383250.3273,50
599616383258.0195,64
599616383265.7119,76
599616383273.4042,76
599616383281.0964,66
599616383288.7888,40
599616383296.4811,-4
599616383304.1733,-61
599616383311.8657,-131
599616383319.558,-193
599616383327.2504,-214
599616383334.9426,-212
599616383342.6349,-214
599616383350.3273,-216
599616383358.0195,-212
599616383365.7119,-212
599616383373.4042,-202
599616383381.0964,-188
599616383388.7888,-183
599616383396.4811,-178
599616383404.1733,-174
599616383411.8657,-174
599616383419.558,-171
599616383427.2504,-171
599616383434.9426,-166
599616383442.6349,-159
599616383450.3273,-159
599616383458.0195,-159
599616383465.7119,-154
599616383473.4042,-147
599616383481.0964,-143
599616383488.7888,-140
599616383496.4811,-140
599616383504.1733,-143
599616383511.8657,-138
599616383519.558,-131
599616383527.2504,-126
599616383534.9426,-126
599616383542.6349,-131
599616383550.3273,-128
599616383558.0195,-123
599616383565.7119,-119
599616383573.4042,-114
599616383581.0964,-114
599616383588.7888,-119
599616383596.4811,-123
599616383604.1733,-116
599616383611.8657,-97
599616383619.558,-85
599616383627.2504,-85
599616383634.9426,-76
599616383642.6349,-81
599616383650.3273,-121
599616383658.0195,-147
599616383665.7119,-138
599616383673.4042,-143
599616383681.0964,-157
599616383688.7888,-154
599616383696.4811,-147
599616383704.1733,-145
599616383711.8657,-154
599616383719.558,-174
599616383727.2504,-97
599616383734.9426,209
599616383742.6349,586
599616383750.3273,662
599616383758.0195,388
599616383765.7119,26
599616383773.4042,-207
599616383781.0964,-226
599616383788.7888,-159
599616383796.4127,-174
599616383804.105,-209
599616383811.7974,-195
599616383819.4896,-190
599616383827.182,-202
599616383834.8743,-193
599616383842.5665,-178
599616383850.2589,-188
599616383857.9512,-207
599616383865.6434,-200
599616383873.3358,-185
599616383881.0281,-176
599616383888.7205,-166
599616383896.4127,-157
599616383904.105,-150
599616383911.7974,-143
599616383919.4896,-140
599616383927.182,-128
599616383934.8743,-107
599616383942.5665,-90
599616383950.2589,-76
599616383957.9512,-54
599616383965.6434,-30
599616383973.3358,-4
599616383981.0281,19
599616383988.7205,35
599616383996.4127,47
599616384004.105,59
599616384011.7974,59
599616384019.4896,45
