timestamp_ms,value
599618155866.4824,23
599618155874.1747,28
599618155881.8671,36
599618155889.5593,44
599618155897.2517,49
599618155904.944,49
599618155912.6362,54
599618155920.3286,67
599618155928.0209,75
599618155935.7131,73
599618155943.4055,57
599618155951.0978,41
599618155958.7902,26
599618155966.4824,0
599618155974.1747,-20
599618155981.8671,-13
599618155989.5593,-5
599618155997.2517,-10
599618156004.944,-13
599618156012.6362,-23
599618156020.3286,-39
599618156028.0209,-26
599618156035.7131,13
599618156043.4055,101
599618156051.0978,302
599618156058.7902,534
599618156066.4824,498
599618156074.1747,88
599618156081.8671,-305
599618156089.5593,-310
599618156097.2517,-112
599618156104.944,-49
599618156112.6362,-67
599618156120.3286,-26
599618156128.0209,-7
599618156135.7131,-20
599618156143.4055,-15
599618156151.0978,-13
599618156158.7902,-18
599618156166.4824,-5
599618156174.1747,10
599618156181.8671,10
599618156189.5593,10
599618156197.2517,15
599618156204.944,23
599618156212.6362,33
599618156220.3286,41
599618156228.0209,49
599618156235.7131,59
599618156243.4055,67
599618156251.0978,78
599618156258.7902,93
599618156266.4824,109
599618156274.1747,122
599618156281.8671,135
599618156289.5593,143
599618156297.2517,143
599618156304.944,143
599618156312.6362,135
599618156320.3286,127
599618156328.0209,112
599618156335.7131,96
599618156343.4055,83
599618156351.0978,67
599618156358.7902,52
599618156366.4824,41
599618156374.1747,26
599618156381.8671,15
599618156389.5593,13
599618156397.2517,13
599618156404.944,10
599618156412.6362,10
599618156420.3286,15
599618156428.1407,18
599618156435.833,20
599618156443.5254,26
599618156451.2177,33
599618156458.91,36
599618156466.6023,31
599618156474.2946,33
599618156481.9869,44
599618156489.6792,44
599618156497.3715,39
599618156505.0638,33
599618156512.7561,20
599618156520.4485,15
599618156528.1407,20
599618156535.833,23
599618156543.5254,23
599618156551.2177,18
599618156558.91,15
599618156566.6023,20
599618156574.2946,23
599618156581.9869,28
599618156589.6792,39
599618156597.3715,46
599618156605.0638,52
599618156612.7561,57
599618156620.4485,67
599618156628.1407,78
599618156635.833,86
599618156643.5254,75
599618156651.2177,46
599618156658.91,26
599618156666.6023,18
599618156674.2946,5
599618156681.9869,0
599618156689.6792,5
599618156697.3715,5
599618156705.0638,2
599618156712.7561,5
599618156720.4485,2
599618156728.1407,2
599618156735.833,13
599618156743.5254,49
599618156751.2177,159
599618156758.91,383
599618156766.6023,581
599618156774.2946,451
599618156781.9869,-2
599618156789.6792,-315
599618156797.3715,-247
599618156805.0638,-75
599618156812.7561,-52
599618156820.4485,-70
599618156828.1407,-31
599618156835.833,-15
599618156843.5254,-31
599618156851.2177,-23
599618156858.91,-5
599618156866.6023,-5
599618156874.2946,-5
599618156881.9869,5
599618156889.6792,5
599618156897.3715,5
599618156905.0638,15
599618156912.7561,20
599618156920.4485,23
599618156928.1407,36
599618156935.833,46
599618156943.5254,52
599618156951.2177,62
599618156958.91,75
599618156966.6023,93
599618156974.2946,109
599618156981.9869,119
599618156989.7787,133
599618156997.471,143
599618157005.1633,143
599618157012.8556,143
599618157020.548,143
599618157028.2402,135
599618157035.9325,127
599618157043.6249,112
599618157051.3171,78
599618157059.0094,54
599618157066.7018,46
599618157074.394,33
599618157082.0864,18
599618157089.7787,13
599618157097.471,7
599618157105.1633,10
599618157112.8556,15
599618157120.548,23
599618157128.2402,20
599618157135.9325,20
599618157143.6249,26
599618157151.3171,31
599618157159.0094,31
599618157166.7018,33
599618157174.394,33
599618157182.0864,36
599618157189.7787,41
599618157197.471,39
599618157205.1633,39
599618157212.8556,41
599618157220.548,41
599618157228.2402,39
599618157235.9325,36
