timestamp_ms,value
1741642456003,7406
1741642456025,7406
1741642456044,7358
1741642456065,7342
1741642456087,7294
1741642456109,7254
1741642456130,7230
1741642456152,7166
1741642456176,7166
1741642456195,7166
1741642456219,7166
1741642456238,7134
1741642456262,7086
1741642456281,7038
1741642456303,7006
1741642456325,6958
1741642456346,6910
1741642456368,6878
1741642456390,6830
1741642456411,6782
1741642456438,6766
1741642456456,6766
1741642456476,6814
1741642456500,6942
1741642456519,7102
1741642456541,7246
1741642456563,7358
1741642456606,7510
1741642456627,7542
1741642456649,7550
1741642456676,7550
1741642456693,7518
1741642456715,7470
1741642456738,7422
1741642456758,7390
1741642456779,7342
1741642456801,7294
1741642456825,7294
1741642456844,7262
1741642456866,7230
1741642456890,7166
1741642456911,7166
1741642456931,7118
1741642456952,7070
1741642456976,7038
1741642456995,6998
1741642457017,6974
1741642457039,6966
1741642457063,6958
1741642457082,6910
1741642457106,6894
1741642457125,6862
1741642457147,6902
1741642457169,6974
1741642457190,7102
1741642457212,7262
1741642457234,7390
1741642457255,7486
1741642457277,7550
1741642457302,7582
1741642457326,7518
1741642457344,7454
1741642457363,7350
1741642457406,7158
1741642457428,7022
1741642457450,6878
1741642457472,6774
1741642457493,6670
1741642457515,6558
1741642457539,6454
1741642457563,6346
1741642457581,6230
1741642457625,6070
1741642457644,5950
1741642457666,5834
1741642457688,5726
1741642457709,5598
1741642457731,5486
1741642457753,5366
1741642457777,5258
1741642457801,5198
1741642457819,5206
1741642457839,5278
1741642457863,5406
1741642457882,5526
1741642457904,5610
1741642457926,5646
1741642457947,5646
1741642457969,5598
1741642457991,5566
1741642458018,5494
1741642458036,5390
1741642458056,5278
1741642458077,5174
1741642458101,5054
1741642458120,4958
1741642458142,4874
1741642458163,4766
1741642458207,4670
1741642458229,4574
1741642458255,4478
1741642458273,4366
1741642458294,4254
1741642458315,4150
1741642458339,4022
1741642458358,3886
1741642458380,3770
1741642458402,3662
1741642458445,3638
1741642458466,3710
1741642458491,3846
1741642458511,3982
1741642458553,4206
1741642458577,4222
1741642458597,4190
1741642458618,4190
1741642458639,4158
1741642458664,4134
1741642458683,4062
1741642458704,3990
1741642458729,3950
1741642458749,3902
1741642458791,3822
1741642458815,3798
1741642458834,3742
1741642458856,3690
1741642458877,3614
1741642458902,3550
1741642458921,3510
1741642458942,3454
1741642458967,3406
1741642458987,3358
1741642459007,3310
1741642459029,3262
1741642459050,3198
1741642459072,3134
1741642459094,3118
1741642459116,3190
1741642459140,3358
1741642459159,3550
1741642459183,3766
1741642459202,3918
1741642459245,4142
1741642459267,4222
1741642459288,4286
1741642459310,4334
1741642459332,4350
1741642459354,4318
1741642459377,4286
1741642459397,4238
1741642459421,4190
1741642459440,4174
1741642459464,4094
1741642459483,4094
1741642459505,4078
1741642459527,4046
1741642459548,3998
1741642459570,3966
1741642459591,3926
1741642459616,3870
1741642459640,3822
1741642459657,3766
1741642459678,3694
1741642459702,3646
1741642459721,3582
1741642459743,3582
1741642459764,3662
1741642459786,3818
1741642459808,4014
1741642459829,4206
1741642459856,4350
1741642459874,4446
1741642459894,4526
1741642459916,4566
1741642459940,4590
1741642459959,4566
1741642459980,4526
1741642460002,4446
1741642460046,4310
1741642460067,4238
1741642460094,4182
1741642460112,4142
1741642460132,4094
1741642460154,4062
1741642460178,4022
1741642460197,3998
1741642460219,3950
1741642460240,3902
1741642460265,3838
1741642460284,3806
1741642460308,3742
1741642460327,3694
1741642460348,3638
1741642460370,3582
1741642460392,3510
1741642460416,3470
1741642460435,3414
1741642460457,3414
1741642460478,3518
1741642460502,3662
1741642460527,3838
1741642460545,4046
1741642460565,4190
1741642460608,4382
1741642460630,4430
1741642460654,4446
1741642460673,4438
1741642460694,4398
1741642460716,4334
1741642460740,4254
1741642460765,4182
1741642460783,4094
1741642460803,4054
1741642460846,3966
1741642460868,3926
1741642460889,3870
1741642460911,3806
1741642460932,3738
1741642460978,3630
1741642460997,3578
1741642461022,3510
1741642461041,3446
1741642461065,3382
1741642461084,3326
1741642461105,3278
1741642461127,3238
1741642461149,3198
1741642461170,3198
1741642461192,3302
1741642461216,3470
1741642461241,3662
1741642461259,3838
1741642461278,3998
1741642461302,4094
1741642461321,4158
1741642461343,4206
1741642461365,4222
1741642461386,4206
1741642461408,4182
1741642461430,4094
1741642461458,4046
1741642461478,3966
1741642461497,3918
1741642461516,3886
1741642461540,3838
1741642461559,3822
1741642461582,3774
1741642461603,3742
1741642461646,3662
1741642461667,3606
1741642461696,3550
1741642461715,3510
1741642461734,3454
1741642461754,3414
1741642461778,3374
1741642461797,3318
1741642461819,3302
1741642461841,3326
1741642461865,3454
1741642461905,3838
1741642461931,4030
1741642461953,4158
1741642461992,4310
1741642462016,4334
1741642462078,4278
1741642462103,4222
1741642462143,4094
1741642462165,4046
1741642462208,3966
1741642462229,3934
1741642462258,3902
1741642462278,3870
1741642462297,3806
1741642462316,3766
1741642462340,3710
1741642462359,3674
1741642462381,3622
1741642462403,3582
1741642462446,3454
1741642462468,3390
1741642462496,3342
1741642462515,3294
1741642462534,3254
1741642462554,3262
1741642462578,3326
1741642462597,3486
1741642462619,3678
1741642462640,3886
1741642462665,4062
1741642462706,4254
1741642462734,4286
1741642462753,4334
1741642462772,4318
1741642462816,4222
1741642462857,4094
1741642462878,4054
1741642462902,4006
1741642462921,3966
1741642462943,3934
1741642462965,3902
1741642462993,3854
1741642463013,3822
1741642463032,3774
1741642463054,3734
1741642463073,3678
1741642463094,3630
1741642463116,3582
1741642463140,3550
1741642463181,3470
1741642463203,3422
1741642463246,3350
1741642463268,3310
1741642463289,3262
1741642463332,3374
1741642463354,3550
1741642463378,3742
1741642463397,3918
1741642463419,4046
1741642463440,4126
1741642463464,4190
1741642463490,4222
1741642463510,4222
1741642463549,4158
1741642463570,4094
1741642463592,4046
1741642463616,3990
1741642463635,3950
1741642463656,3902
1741642463678,3862
1741642463702,3822
1741642463728,3774
1741642463747,3710
1741642463766,3678
1741642463788,3630
1741642463808,3574
1741642463829,3518
1741642463854,3446
1741642463894,3350
1741642463916,3294
1741642463940,3230
1741642463966,3166
1741642463986,3114
1741642464005,3054
1741642464045,3038
1741642464067,3150
1741642464089,3326
1741642464110,3550
1741642464132,3734
1741642464154,3886
1741642464178,3998
1741642464204,4062
1741642464223,4094
1741642464242,4094
1741642464264,4086
1741642464305,3998
1741642464327,3918
1741642464370,3798
1741642464391,3738
1741642464415,3694
1741642464456,3630
1741642464482,3582
1741642464521,3502
1741642464543,3446
1741642464564,3406
1741642464607,3318
1741642464629,3262
1741642464653,3222
1741642464672,3182
1741642464694,3118
1741642464716,3070
1741642464744,3022
1741642464764,2966
1741642464783,2942
1741642464845,3230
1741642464867,3446
1741642464889,3646
1741642464932,3902
1741642464953,3966
1741642464977,4014
1741642464996,4014
1741642465022,3998
1741642465064,3902
1741642465083,3822
1741642465105,3758
1741642465126,3710
1741642465169,3630
1741642465191,3582
1741642465215,3550
1741642465256,3470
1741642465278,3438
1741642465307,3390
1741642465326,3326
1741642465345,3294
1741642465386,3214
1741642465407,3166
1741642465429,3102
1741642465453,3062
1741642465473,3022
1741642465493,2966
1741642465515,2942
1741642465544,2942
1741642465564,3038
1741642465582,3230
1741642465602,3446
1741642465645,3806
1741642465667,3926
1741642465688,4010
1741642465731,4062
1741642465753,4062
1741642465777,4030
1741642465804,3966
1741642465823,3902
1741642465842,3838
1741642465883,3758
1741642465926,3694
1741642465969,3622
1741642465991,3582
1741642466015,3550
1741642466056,3454
1741642466077,3406
1741642466106,3374
1741642466125,3318
1741642466144,3278
1741642466164,3230
1741642466207,3118
1741642466228,3098
1741642466250,3118
1741642466272,3242
1741642466293,3446
1741642466315,3662
1741642466344,3870
1741642466363,4030
1741642466383,4158
1741642466445,4286
1741642466466,4286
1741642466488,4254
1741642466531,4150
1741642466553,4086
1741642466577,4030
1741642466618,3966
1741642466644,3950
1741642466667,3918
1741642466686,3894
1741642466726,3802
1741642466769,3710
1741642466790,3662
1741642466815,3582
1741642466855,3510
1741642466877,3454
1741642466901,3422
1741642466927,3374
1741642466947,3326
1741642466967,3278
1741642466989,3230
1741642467028,3326
1741642467050,3502
1741642467093,3946
1741642467115,4126
1741642467139,4270
1741642467179,4414
1741642467206,4446
1741642467244,4438
1741642467266,4406
1741642467287,4350
1741642467330,4254
1741642467352,4222
1741642467376,4190
1741642467418,4158
1741642467439,4142
1741642467463,4094
1741642467489,4094
1741642467509,4046
1741642467528,4014
1741642467550,3966
1741642467590,3902
1741642467614,3870
1741642467655,3806
1741642467676,3774
1741642467700,3758
1741642467741,3894
1741642467767,4062
1741642467789,4254
1741642467808,4446
1741642467849,4694
1741642467892,4766
1741642467914,4762
1741642467938,4734
1741642467979,4638
1741642468000,4566
1741642468043,4462
1741642468070,4438
1741642468089,4414
1741642468111,4398
1741642468152,4350
1741642468176,4334
1741642468216,4238
1741642468238,4190
1741642468262,4158
1741642468325,4030
1741642468368,3950
1741642468394,3894
1741642468416,3854
1741642468436,3822
1741642468476,3806
1741642468500,3918
1741642468540,4310
1741642468562,4510
1741642468605,4798
1741642468627,4886
1741642468649,4926
1741642468678,4958
1741642468697,4990
1741642468716,4974
1741642468756,4910
1741642468778,4854
1741642468800,4822
1741642468824,4798
1741642468865,4734
1741642468886,4702
1741642468929,4606
1741642468956,4542
1741642468978,4478
1741642468998,4438
1741642469038,4318
1741642469062,4254
1741642469102,4158
1741642469124,4138
1741642469167,4094
1741642469189,4126
1741642469213,4246
1741642469239,4446
1741642469259,4638
1741642469279,4822
1741642469318,5054
1741642469340,5118
1741642469362,5166
1741642469405,5182
1741642469427,5150
1741642469448,5086
1741642469491,4974
1741642469537,4862
1741642469578,4798
1741642469599,4766
1741642469623,4734
1741642469664,4634
1741642469685,4574
1741642469729,4438
1741642469750,4382
1741642469774,4314
1741642469815,4182
1741642469841,4094
1741642469864,4078
1741642469883,4022
1741642469923,3934
1741642469966,4022
1741642469988,4190
1741642470009,4398
1741642470053,4718
1741642470074,4822
1741642470098,4894
1741642470125,4926
1741642470144,4950
1741642470164,4958
1741642470204,4862
1741642470226,4798
1741642470247,4734
1741642470290,4654
1741642470312,4606
1741642470336,4590
1741642470376,4526
1741642470403,4478
1741642470425,4438
1741642470445,4398
1741642470485,4286
1741642470528,4182
1741642470549,4142
1741642470574,4086
1741642470614,3990
1741642470636,3950
1741642470660,3902
1741642470686,3862
1741642470706,3838
1741642470726,3838
1741642470765,4142
1741642470787,4350
1741642470809,4542
1741642470852,4798
1741642470874,4862
1741642470898,4926
1741642470938,4958
1741642470965,4958
1741642471003,4846
1741642471025,4798
1741642471046,4750
1741642471089,4702
1741642471111,4670
1741642471135,4654
1741642471176,4590
1741642471197,4542
1741642471221,4510
1741642471248,4446
1741642471268,4414
1741642471287,4374
1741642471309,4318
1741642471329,4254
1741642471348,4206
1741642471373,4150
1741642471413,4062
1741642471435,4062
1741642471459,4094
1741642471485,4254
1741642471505,4446
1741642471525,4654
1741642471565,4958
1741642471587,5054
1741642471608,5114
1741642471651,5166
1741642471672,5166
1741642471697,5118
1741642471738,5038
1741642471764,4974
1741642471786,4926
1741642471806,4886
1741642471845,4822
1741642471889,4734
1741642471910,4686
1741642471934,4638
1741642471975,4526
1741642471996,4462
1741642472021,4414
1741642472047,4350
1741642472067,4286
1741642472086,4254
1741642472108,4190
1741642472148,4094
1741642472169,4054
1741642472213,3982
1741642472234,3966
1741642472258,4054
1741642472299,4414
1741642472325,4638
1741642472363,4926
1741642472407,5086
1741642472450,5118
1741642472472,5102
1741642472496,5054
1741642472536,4958
1741642472558,4910
1741642472582,4862
1741642472623,4798
1741642472652,4782
1741642472672,4734
1741642472692,4714
1741642472711,4670
1741642472752,4590
1741642472774,4534
1741642472796,4478
1741642472820,4438
1741642472860,4350
1741642472882,4286
1741642472911,4254
1741642472947,4182
1741642472968,4206
1741642473012,4478
1741642473033,4686
1741642473057,4862
1741642473098,5086
1741642473119,5150
1741642473163,5182
1741642473184,5174
1741642473213,5118
1741642473233,5102
1741642473253,5022
1741642473295,4918
1741642473336,4830
1741642473357,4790
1741642473381,4766
1741642473422,4670
1741642473443,4606
1741642473487,4494
1741642473514,4446
1741642473536,4394
1741642473556,4334
1741642473575,4278
1741642473619,4158
1741642473659,4054
1741642473681,4030
1741642473724,4222
1741642473746,4430
1741642473768,4638
1741642473797,4798
1741642473817,4942
1741642473837,5038
1741642473859,5078
1741642473878,5118
1741642473919,5102
1741642473944,5070
1741642473983,4942
1741642474005,4862
1741642474048,4790
1741642474075,4766
1741642474097,4726
1741642474117,4694
1741642474137,4662
1741642474180,4574
1741642474221,4478
1741642474242,4446
1741642474286,4350
1741642474307,4302
1741642474329,4270
1741642474358,4214
1741642474378,4174
1741642474397,4158
1741642474437,4414
1741642474459,4606
1741642474480,4826
1741642474523,5118
1741642474545,5182
1741642474566,5246
1741642474610,5302
1741642474636,5278
1741642474658,5246
1741642474678,5182
1741642474698,5118
1741642474741,5054
1741642474782,4990
1741642474804,4974
1741642474847,4894
1741642474869,4862
1741642474893,4814
1741642474919,4766
1741642474940,4734
1741642474959,4694
1741642474982,4638
1741642475001,4590
1741642475041,4502
1741642475084,4478
1741642475106,4558
1741642475128,4734
1741642475171,5118
1741642475198,5310
1741642475220,5406
1741642475240,5502
1741642475260,5566
1741642475303,5614
1741642475344,5558
1741642475365,5486
1741642475408,5374
1741642475430,5342
1741642475454,5294
1741642475481,5246
1741642475501,5198
1741642475521,5150
1741642475543,5102
1741642475563,5038
1741642475583,4974
1741642475624,4830
1741642475646,4758
1741642475667,4686
1741642475692,4606
1741642475718,4526
1741642475739,4462
1741642475758,4398
1741642475781,4334
1741642475801,4350
1741642475821,4438
1741642475883,5054
1741642475904,5214
