timestamp_ms,value,rris
1724349038363,108,532.2265625,547.8515625
1724349039354,110,517.578125,524.4140625
1724349040343,111,531.25
1724349041468,111,558.59375,534.1796875
1724349042367,111,540.0390625,543.9453125
1724349043358,110,580.078125,552.734375
1724349044347,109,554.6875,550.78125
1724349045337,109,557.6171875
1724349046327,108,588.8671875,564.453125
1724349047363,107,574.21875,561.5234375
1724349048398,106,571.2890625,594.7265625
1724349049342,106,569.3359375
1724349050428,105,561.5234375,560.546875
1724349051368,106,575.1953125,594.7265625
1724349052402,105,563.4765625,573.2421875
1724349053348,105,563.4765625
1724349054337,105,569.3359375,600.5859375
1724349055374,104,586.9140625,596.6796875
1724349056363,103,568.359375
1724349057353,104,578.125,619.140625
1724349058342,102,607.421875,609.375
1724349059332,101,580.078125
1724349060367,102,583.0078125,598.6328125
1724349061357,101,624.0234375,587.890625
1724349062347,101,582.03125
1724349063338,101,585.9375,624.0234375
1724349064380,101,583.984375,619.140625
1724349065363,100,575.1953125
1724349066353,101,587.890625,592.7734375
1724349067342,101,616.2109375,585.9375
1724349068332,101,583.0078125
1724349069367,101,581.0546875,592.7734375
1724349070357,102,587.890625,583.0078125
1724349071347,102,569.3359375,574.21875
1724349072338,103,576.171875
1724349073332,103,577.1484375,569.3359375
1724349074363,104,572.265625,584.9609375
1724349075397,103,616.2109375,575.1953125
1724349076388,103,585.9375
1724349077378,103,590.8203125,637.6953125
1724349078368,102,630.859375
1724349079358,99,638.671875,589.84375
1724349080348,99,600.5859375,617.1875
1724349081337,99,601.5625
1724349082331,99,607.421875,589.84375
1724349083362,100,597.65625,601.5625
1724349084353,100,597.65625
1724349085343,100,584.9609375,579.1015625
1724349086332,101,582.03125,604.4921875
1724349087412,102,560.546875,561.5234375
1724349088357,103,557.6171875
1724349089348,104,562.5,584.9609375
1724349090338,104,582.03125,581.0546875
1724349091333,104,556.640625,572.265625
1724349092362,105,604.4921875
1724349093352,104,569.3359375,571.2890625
1724349094342,104,568.359375,583.984375
1724349095333,104,609.375
1724349096373,103,600.5859375,569.3359375
1724349097357,103,588.8671875,625.9765625
1724349098347,102,619.140625
1724349099338,101,586.9140625,589.84375
1724349100326,101,595.703125,627.9296875
1724349101361,100,590.8203125
1724349102353,100,590.8203125,595.703125
1724349103342,100,628.90625,582.03125
1724349104332,100,583.0078125
1724349105366,101,581.0546875,612.3046875
1724349106357,101,605.46875,607.421875
1724349107348,100,574.21875,581.0546875
1724349108337,101,587.890625
1724349109327,101,610.3515625,603.515625
1724349110368,100,605.46875,575.1953125
1724349111352,101,580.078125
1724349112342,101,615.234375,574.21875
1724349113332,101,612.3046875,567.3828125
1724349114367,101,577.1484375
1724349115357,102,605.46875,596.6796875
1724349116347,102,566.40625,573.2421875
1724349117336,103,571.2890625,604.4921875
1724349118326,103,595.703125
1724349119365,102,569.3359375,572.265625
1724349120352,103,583.984375,608.3984375
1724349121342,103,574.21875
1724349122332,103,582.03125,571.2890625
1724349123367,103,582.03125,601.5625
1724349124402,103,575.1953125,576.171875
1724349125391,103,576.171875
1724349126383,102,630.859375,634.765625
1724349127326,101,606.4453125
1724349128367,99,689.453125,675.78125
1724349129396,97,646.484375
1724349130342,95,647.4609375,703.125
1724349131331,94,639.6484375
1724349132367,93,629.8828125,624.0234375
1724349133361,94,666.9921875
1724349134346,94,618.1640625,666.9921875
1724349135336,94,608.3984375
1724349136326,94,642.578125,670.8984375
1724349137361,93,630.859375,627.9296875
1724349138352,94,674.8046875
1724349139342,93,660.15625,628.90625
1724349140332,93,629.8828125
1724349141366,93,670.8984375,654.296875
1724349142360,93,668.9453125
1724349143347,93,619.140625,674.8046875
1724349144337,93,627.9296875
1724349145326,93,621.09375,623.046875
1724349146361,94,630.859375,661.1328125
1724349147352,94,606.4453125
1724349148341,95,628.90625,658.203125
1724349149331,94,618.1640625
1724349150366,95,615.234375,612.3046875
1724349151361,96,622.0703125,600.5859375
1724349152346,97,586.9140625,584.9609375
1724349153336,98,563.4765625
1724349154326,101,554.6875,554.6875
