timestamp_ms,value
1730300889097,6254
1730300889117,6654
1730300889138,7086
1730300889159,7390
1730300889180,7518
1730300889200,7550
1730300889221,7550
1730300889242,7502
1730300889263,7454
1730300889283,7390
1730300889306,7342
1730300889325,7326
1730300889346,7326
1730300889366,7358
1730300889387,7358
1730300889408,7358
1730300889429,7326
1730300889452,7294
1730300889470,7262
1730300889491,7166
1730300889512,7166
1730300889535,7102
1730300889553,7070
1730300889574,7038
1730300889595,7022
1730300889637,7150
1730300889657,7518
1730300889679,8030
1730300889699,7966
1730300889721,7902
1730300889741,7838
1730300889761,7774
1730300889782,7702
1730300889802,7582
1730300889823,7422
1730300889844,7262
1730300889865,7102
1730300889885,6990
1730300889906,6910
1730300889930,6830
1730300889950,6750
1730300889968,6638
1730300889989,6494
1730300890013,6334
1730300890031,6174
1730300890051,5982
1730300890072,5790
1730300890096,5590
1730300890114,5390
1730300890135,5194
1730300890156,4990
1730300890197,4750
1730300890218,4894
1730300890238,5302
1730300890259,5694
1730300890280,5918
1730300890301,5982
1730300890321,5886
1730300890363,5550
1730300890384,5342
1730300890404,5118
1730300890425,4894
1730300890446,4750
1730300890467,4638
1730300890490,4558
1730300890508,4478
1730300890529,4398
1730300890550,4254
1730300890573,4142
1730300890591,4054
1730300890612,3934
1730300890633,3822
1730300890656,3694
1730300890674,3582
1730300890695,3470
1730300890716,3366
1730300890757,3326
1730300890778,3706
1730300890799,4238
1730300890820,4670
1730300890841,4926
1730300890861,4990
1730300890882,4958
1730300890903,4830
1730300890923,4702
1730300890944,4542
1730300890965,4398
1730300890986,4278
1730300891006,4222
1730300891027,4206
1730300891050,4246
1730300891069,4266
1730300891089,4254
1730300891110,4222
1730300891133,4186
1730300891152,4094
1730300891173,4014
1730300891193,3902
1730300891217,3822
1730300891256,3626
1730300891276,3534
1730300891297,3422
1730300891318,3486
1730300891339,3838
1730300891359,4374
1730300891380,4814
1730300891401,5054
1730300891422,5118
1730300891442,5038
1730300891463,4910
1730300891484,4766
1730300891505,4606
1730300891525,4446
1730300891546,4286
1730300891567,4158
1730300891588,4062
1730300891611,3998
1730300891629,3934
1730300891650,3870
1730300891671,3774
1730300891695,3678
1730300891712,3566
1730300891733,3438
1730300891754,3310
1730300891795,3070
1730300891816,2942
1730300891837,2842
1730300891858,2782
1730300891878,2894
1730300891899,3322
1730300891941,4342
1730300891961,4606
1730300891982,4686
1730300892003,4670
1730300892024,4590
1730300892044,4478
