timestamp_ms,value,rris
1730301349897,109,538.0859375
1730301350886,110,559.5703125,578.125
1730301351876,108,562.5,542.96875
1730301352866,109,534.1796875,559.5703125
1730301353861,108,576.171875,553.7109375
1730301354891,108,541.9921875
1730301355881,109,533.203125,525.390625
1730301356871,111,526.3671875,517.578125
1730301357862,112,521.484375,532.2265625
1730301358896,113,538.0859375,539.0625
1730301359886,112,520.5078125,532.2265625
1730301360876,113,582.03125
1730301361866,110,585.9375,556.640625
1730301362901,108,593.75,615.234375
1730301363936,106,608.3984375
1730301364881,104,594.7265625,574.21875
1730301365870,104,571.2890625,582.03125
1730301366861,104,586.9140625,571.2890625
1730301367895,104,557.6171875
1730301368886,105,546.875,565.4296875
1730301369920,105,631.8359375,642.578125
1730301370911,103,637.6953125
1730301371901,100,618.1640625,655.2734375
1730301372890,98,616.2109375,611.328125
1730301373881,98,580.078125
1730301374871,100,564.453125,554.6875
1730301375860,103,550.78125,542.96875
1730301376896,105,537.109375,526.3671875
1730301377886,108,519.53125,518.5546875
1730301378875,111,532.2265625,547.8515625
1730301379865,111,568.359375
1730301380860,109,557.6171875,543.9453125
1730301381890,109,549.8046875,563.4765625
1730301382881,108,575.1953125,570.3125
1730301383870,107,565.4296875,554.6875
1730301384860,108,540.0390625,531.25
1730301385945,109,521.484375
1730301386886,111,523.4375,537.109375
1730301387875,111,541.9921875,536.1328125
1730301388865,112,524.4140625,521.484375
1730301389855,113,522.4609375,535.15625
1730301390890,112,553.7109375,557.6171875
1730301391880,111,544.921875,535.15625
1730301392870,111,531.25
1730301393860,112,537.109375,541.015625
1730301394895,111,543.9453125,541.015625
1730301395885,111,550.78125,544.921875
1730301396875,111,540.0390625,527.34375
1730301397865,112,525.390625,543.9453125
1730301398855,112,585.9375
1730301399895,109,596.6796875,594.7265625
1730301400925,106,569.3359375,565.4296875
1730301401960,106,586.9140625
1730301402861,105,582.03125,567.3828125
1730301403947,105,553.7109375,542.96875
1730301404885,107,532.2265625,525.390625
1730301405875,110,524.4140625,528.3203125
1730301406911,111,531.25,527.34375
1730301407855,112,545.8984375
1730301408890,111,583.0078125,591.796875
1730301409880,107,586.9140625,574.21875
1730301410871,106,560.546875,561.5234375
1730301411860,107,560.546875,564.453125
1730301412895,107,568.359375
1730301413930,106,568.359375,554.6875
1730301414875,107,551.7578125,541.015625
1730301415910,108,534.1796875,535.15625
1730301416900,109,555.6640625,572.265625
1730301417890,109,566.40625
1730301418880,108,557.6171875,543.9453125
1730301419915,109,530.2734375,525.390625
1730301420905,111,517.578125,518.5546875
1730301422259,112,533.203125,534.1796875
1730301422890,112,541.9921875,526.3671875
1730301423875,113,521.484375,533.203125
1730301424865,113,589.84375
1730301425855,110,583.984375,582.03125
1730301426890,108,567.3828125,550.78125
1730301427926,108,544.921875,540.0390625
1730301428870,109,542.96875,550.78125
1730301429860,109,549.8046875
1730301430895,109,547.8515625,544.921875
1730301431890,110,541.015625,534.1796875
1730301432875,110,531.25,522.4609375
1730301433865,112,524.4140625,522.4609375
1730301434855,113,522.4609375,536.1328125
1730301435891,112,559.5703125,560.546875
1730301436925,111,570.3125
1730301437870,109,561.5234375,564.453125
1730301438860,108,575.1953125,574.21875
1730301439895,107,568.359375,556.640625
1730301440934,107,545.8984375,538.0859375
1730301441875,108,536.1328125
1730301442910,109,542.96875,534.1796875
1730301443855,110,524.4140625,516.6015625
1730301444890,112,513.671875,507.8125
1730301445880,115,500.9765625,512.6953125
1730301446870,116,579.1015625,594.7265625
