timestamp_ms,value
599616853566.7007,-186
599616853574.393,-184
599616853582.0853,-181
599616853589.7776,-246
599616853597.47,-334
599616853605.1622,-344
599616853612.8545,-263
599616853620.5469,-71
599616853628.2391,270
599616853635.9314,507
599616853643.6238,232
599616853651.316,-378
599616853659.0084,-590
599616853666.7007,-368
599616853674.393,-294
599616853682.0853,-368
599616853689.7776,-334
599616853697.47,-299
599616853705.1622,-315
599616853712.8545,-301
599616853720.5469,-275
599616853728.2391,-275
599616853735.9314,-272
599616853743.6238,-256
599616853751.316,-246
599616853759.0084,-234
599616853766.7007,-220
599616853774.393,-212
599616853782.0853,-198
599616853789.7776,-174
599616853797.47,-167
599616853805.1622,-181
599616853812.8545,-169
599616853820.5469,-100
599616853828.2391,-59
599616853835.9314,-55
599616853843.6238,26
599616853851.316,100
599616853859.0084,45
599616853866.7007,7
599616853874.393,2
599616853882.0853,-86
599616853889.7776,-136
599616853897.47,-122
599616853905.1622,-177
599616853912.8545,-229
599616853920.5469,-198
599616853928.2391,-133
599616853935.9314,-93
599616853943.6238,-112
599616853951.316,-157
599616853959.0084,-186
599616853966.7007,-177
599616853974.393,-131
599616853982.0853,-117
599616853989.7776,-155
599616853997.47,-179
599616854005.1622,-153
599616854012.8545,-129
599616854020.5469,-136
599616854028.2391,-148
599616854035.9314,-145
599616854043.6238,-129
599616854051.316,-117
599616854059.0084,-136
599616854066.7007,-157
599616854074.393,-169
599616854082.0853,-184
599616854089.7776,-224
599616854097.47,-270
599616854105.1622,-248
599616854112.8545,-200
599616854120.5469,-208
599616854128.0182,-210
599616854135.7104,-184
599616854143.4028,-186
599616854151.0951,-212
599616854158.7875,-224
599616854166.4797,-227
599616854174.172,-234
599616854181.8644,-251
599616854189.5566,-232
599616854197.2489,-186
599616854204.9413,-205
599616854212.6335,-244
599616854220.3259,-212
599616854228.0182,-141
599616854235.7104,-102
599616854243.4028,-23
599616854251.0951,275
599616854258.7875,545
599616854266.4797,308
599616854274.172,-220
599616854281.8644,-437
599616854289.5566,-318
599616854297.2489,-224
599616854304.9413,-253
599616854312.6335,-234
599616854320.3259,-215
599616854328.0182,-332
599616854335.7104,-351
599616854343.4028,-208
599616854351.0951,-117
599616854358.7875,-167
599616854366.4797,-287
599616854374.172,-284
599616854381.8644,-193
599616854389.5566,-181
599616854397.2489,-181
599616854404.9413,-131
599616854412.6335,-136
599616854420.3259,-193
599616854428.0182,-179
599616854435.7104,-131
599616854443.4028,-131
599616854451.0951,-136
599616854458.7875,-122
599616854466.4797,-117
599616854474.172,-122
599616854481.8644,-117
599616854489.5566,-114
599616854497.2489,-129
599616854504.9413,-148
599616854512.6335,-172
599616854520.3259,-203
599616854528.0182,-220
599616854535.7104,-224
599616854543.4028,-234
599616854551.0951,-239
599616854558.7875,-239
599616854566.4797,-236
599616854574.172,-227
599616854581.8644,-220
599616854589.5566,-217
599616854597.2489,-212
599616854604.9413,-220
599616854612.6335,-239
599616854620.3259,-239
599616854628.0182,-222
599616854635.7104,-212
599616854643.4028,-212
599616854651.0951,-200
599616854658.7875,-189
599616854666.4797,-196
599616854674.172,-208
599616854681.8644,-210
599616854689.3053,-200
599616854696.9976,-181
599616854704.69,-179
599616854712.3822,-191
599616854720.0746,-198
599616854727.7668,-200
599616854735.4591,-193
599616854743.1515,-177
599616854750.8438,-165
599616854758.536,-172
599616854766.2284,-189
599616854773.9207,-203
599616854781.613,-198
599616854789.3053,-184
599616854796.9976,-181
599616854804.69,-184
599616854812.3822,-177
599616854820.0746,-169
599616854827.7668,-167
599616854835.4591,-122
599616854843.1515,19
599616854850.8438,282
599616854858.536,567
599616854866.2284,528
599616854873.9207,-7
599616854881.613,-442
599616854889.3053,-332
599616854896.9976,-155
599616854904.69,-215
599616854912.3822,-234
599616854920.0746,-174
599616854927.7668,-179
599616854935.4591,-186
599616854943.1515,-160
599616854950.8438,-150
599616854958.536,-157
599616854966.2284,-148
599616854973.9207,-141
599616854981.613,-136
599616854989.3053,-129
599616854996.9976,-119
599616855004.69,-112
599616855012.3822,-102
599616855020.0746,-93
599616855027.7668,-81
599616855035.4591,-66
599616855043.1515,-52
599616855050.8438,-45
599616855058.536,-35
599616855066.2284,-28
599616855073.9207,-28
599616855081.613,-26
599616855089.3053,-28
599616855096.9976,-43
599616855104.69,-66
599616855112.3822,-98
599616855120.0746,-129
599616855127.7668,-157
599616855135.4591,-177
599616855143.1515,-189
599616855150.8438,-193
599616855158.536,-196
599616855166.2284,-196
599616855173.9207,-196
599616855181.613,-193
599616855189.3053,-184
599616855196.9976,-177
599616855204.69,-179
599616855212.3822,-177
599616855220.0746,-169
599616855227.7668,-167
599616855235.4591,-167
599616855243.1515,-160
599616855250.6177,-160
599616855258.3099,-167
599616855266.0023,-167
599616855273.6946,-167
599616855281.387,-172
599616855289.0792,-165
599616855296.7715,-150
599616855304.4639,-145
599616855312.1561,-143
599616855319.8484,-131
599616855327.5408,-124
599616855335.233,-117
599616855342.9254,-100
599616855350.6177,-90
599616855358.3099,-100
599616855366.0023,-119
599616855373.6946,-131
599616855381.387,-129
599616855389.0792,-122
599616855396.7715,-117
599616855404.4639,-107
599616855412.1561,-90
599616855419.8484,-66
599616855427.5408,-40
599616855435.233,9
599616855442.9254,133
599616855450.6177,370
599616855458.3099,660
599616855466.0023,686
599616855473.6946,198
599616855481.387,-313
599616855489.0792,-272
599616855496.7715,-66
599616855504.4639,-114
599616855512.1561,-160
599616855519.8484,-98
599616855527.5408,-102
599616855535.233,-133
599616855542.9254,-119
599616855550.6177,-110
599616855558.3099,-133
599616855566.0023,-157
599616855573.6946,-122
599616855581.387,-50
599616855589.0792,-47
599616855596.7715,-76
599616855604.4639,-57
599616855612.1561,-43
599616855619.8484,-45
