timestamp_ms,value,rris
1737984902588,109,531.25,527.34375
1737984903578,111,530.2734375,543.9453125
1737984904613,111,549.8046875,571.2890625
1737984905603,110,576.171875
1737984906593,108,578.125,556.640625
1737984907583,108,550.78125,545.8984375
1737984908618,109,538.0859375,536.1328125
1737984909608,110,529.296875,522.4609375
1737984910598,112,514.6484375,502.9296875
1737984911588,114,500.9765625,497.0703125
1737984912578,118,492.1875,487.3046875,479.4921875
1737984913613,119,284.1796875
1737984914603,121,653.3203125,458.0078125,453.125
1737984915594,122,453.125
1737984916583,124,464.84375
1737984917618,127,566.40625,1063.4765625
1737984918608,128,676.7578125
1737984919598,129,665.0390625,625
1737984920587,127,656.25,699.21875,712.890625
1737984921577,127,
1737984922613,126,289.0625,529.296875
1737984923647,125,744.140625,654.296875
1737984924593,124,584.9609375
1737984925583,124,579.1015625,593.75
1737984926617,123,618.1640625
1737984927608,109,627.9296875,635.7421875
1737984928598,105,575.1953125,554.6875
1737984929633,106,559.5703125,570.3125
1737984930623,106,596.6796875
1737984931612,104,626.953125,606.4453125
1737984932603,102,575.1953125,580.078125
1737984933592,103,595.703125
1737984934583,103,608.3984375
1737984935617,101,613.28125,597.65625
1737984936608,101,1148.4375,546.875
1737984937597,104,549.8046875,579.1015625
1737984938587,104,661.1328125,328.125
1737984939577,104,427.734375,601.5625
1737984940612,104,
1737984941602,104,826.171875,641.6015625
1737984942592,104,625.9765625
1737984943582,103,634.765625
1737984944663,100,665.0390625,1344.7265625
1737984945607,98,643.5546875
1737984946597,96,600.5859375,584.9609375
1737984947587,98,580.078125,580.078125
1737984948577,101,676.7578125,546.875,629.8828125
1737984949612,101,408.203125
1737984950602,102,740.234375
1737984951592,102,567.3828125
1737984952582,102,588.8671875,613.28125
1737984953617,101,614.2578125,627.9296875
1737984954607,100,628.90625
1737984955597,98,634.765625,640.625
1737984956587,98,627.9296875
1737984957577,97,610.3515625,597.65625
1737984958612,98,587.890625,566.40625
1737984959602,101,557.6171875,559.5703125
1737984960591,102,561.5234375
1737984961582,103,582.03125,583.0078125
1737984962616,103,594.7265625,583.0078125
1737984963607,103,586.9140625,580.078125
1737984964597,103,566.40625
1737984965586,103,580.078125,591.796875
1737984966577,103,611.328125,621.09375
1737984967611,101,589.84375
1737984968602,101,578.125,593.75
1737984969592,101,600.5859375,608.3984375
1737984970582,101,607.421875
1737984971617,100,593.75,563.4765625
1737984972606,102,565.4296875,567.3828125
1737984973597,103,579.1015625
1737984974587,103,594.7265625,609.375
1737984975576,102,570.3125,571.2890625
1737984976611,103,572.265625,583.0078125
1737984977646,103,587.890625
1737984978637,103,598.6328125,581.0546875
1737984979626,103,556.640625,547.8515625
1737984980616,105,558.59375,591.796875
1737984981606,105,618.1640625
1737984982596,102,620.1171875,608.3984375
1737984983586,101,587.890625,556.640625
1737984984576,103,546.875,554.6875
1737984985611,104,558.59375
1737984986602,106,561.5234375,581.0546875
1737984987591,105,582.03125,552.734375
1737984988581,106,544.921875,541.9921875
1737984989572,108,533.203125,521.484375
1737984990606,110,508.7890625,500
1737984991596,114,500,505.859375
1737984992586,116,504.8828125,507.8125
1737984993576,116,513.671875,521.484375
1737984994656,116,535.15625
1737984995601,115,551.7578125,547.8515625
1737984996591,113,544.921875,544.921875
1737984997581,111,562.5,593.75
1737984998571,110,616.2109375
1737984999606,106,619.140625,571.2890625
1737985000596,105,549.8046875,556.640625
1737985001586,106,561.5234375,586.9140625
1737985002576,106,591.796875
1737985003612,104,585.9375,553.7109375
1737985004601,105,546.875,547.8515625
1737985005591,107,546.875,550.78125
1737985006581,108,544.921875,528.3203125
1737985007571,109,520.5078125
1737985008605,112,515.625,507.8125,698.2421875
1737985009596,114,449.21875,343.75
1737985010586,115,488.28125,485.3515625
1737985011575,117,486.328125,486.328125
1737985012610,119,491.2109375,497.0703125
1737985013601,120,501.953125,503.90625
1737985014590,120,500.9765625,504.8828125
1737985015581,120,503.90625,502.9296875
1737985016571,120,501.953125,499.0234375,498.046875
1737985017606,120,495.1171875
1737985018595,120,973.6328125
1737985019585,121,475.5859375,484.375
1737985020576,122,487.3046875,489.2578125
1737985021611,122,488.28125,487.3046875
1737985022601,122,488.28125,493.1640625,488.28125,344.7265625
1737985023591,122,
1737985024580,122,
1737985025615,122,293.9453125,301.7578125
1737985026605,122,2248.046875,518.5546875
1737985027640,121,514.6484375,519.53125
1737985028630,120,532.2265625
1737985029620,118,546.875,545.8984375
1737985030610,115,533.203125,530.2734375
