timestamp_ms,value,rris
1737985160567,108,
1737985161601,109,1936.5234375
1737985162591,109,4026.3671875
1737985163583,110,524.4140625,513.671875
1737985164572,112,508.7890625,503.90625
1737985165607,115,499.0234375,490.234375
1737985166597,117,485.3515625,478.515625
1737985167587,122,472.65625,467.7734375,462.890625
1737985168577,125,458.984375,454.1015625
1737985169567,127,454.1015625,470.703125
1737985170602,127,500,499.0234375
1737985171592,126,516.6015625
1737985172581,124,564.453125
1737985173572,121,690.4296875,716.796875
1737985174607,120,765.625
1737985175597,120,765.625
1737985176601,118,747.0703125,705.078125
1737985177622,102,656.25,640.625
1737985178612,99,587.890625,569.3359375
1737985179601,100,573.2421875
1737985180592,102,590.8203125,601.5625
1737985181582,101,614.2578125,572.265625
1737985182572,101,559.5703125
1737985183607,103,564.453125,568.359375
1737985184596,104,587.890625,583.0078125
1737985185605,104,556.640625,530.2734375
1737985186576,107,523.4375,519.53125
1737985187567,111,515.625,524.4140625,527.34375
1737985188601,112,610.3515625,328.125
1737985189591,113,610.3515625
1737985190582,113,504.8828125,508.7890625
1737985191572,115,507.8125,501.953125
1737985192651,116,498.046875,500.9765625
1737985193596,118,506.8359375,511.71875
1737985194590,117,513.671875,511.71875
1737985195576,117,506.8359375,506.8359375
1737985196567,118,509.765625,503.90625
1737985197602,118,500,496.09375
1737985198591,119,490.234375,490.234375
1737985199581,120,505.859375
1737985200571,119,522.4609375,541.9921875
1737985201606,116,544.921875,546.875
1737985202596,114,539.0625,540.0390625
1737985203586,114,516.6015625,506.8359375
1737985204576,115,499.0234375,496.09375
1737985205566,117,500,498.046875
1737985206601,118,497.0703125,492.1875
1737985207590,120,492.1875,502.9296875
1737985208581,120,536.1328125
1737985209571,117,569.3359375,645.5078125
1737985210606,111,647.4609375
1737985211596,102,652.34375,644.53125
1737985212586,99,627.9296875,608.3984375
1737985213576,99,586.9140625,577.1484375
1737985214566,101,559.5703125,541.9921875
1737985215601,102,528.3203125
1737985216591,106,523.4375,524.4140625
1737985217581,109,532.2265625,556.640625
1737985218570,109,573.2421875,557.6171875
1737985219606,109,536.1328125,534.1796875
1737985220596,109,539.0625
1737985221586,110,553.7109375,586.9140625
1737985222576,107,622.0703125,581.0546875
1737985223566,106,554.6875,550.78125
1737985224601,107,552.734375,549.8046875
1737985225591,107,550.78125
1737985226581,108,558.59375,567.3828125
1737985227616,107,562.5,541.9921875
1737985228606,108,530.2734375,526.3671875
1737985229596,110,523.4375,527.34375
1737985230585,112,535.15625,541.015625
1737985231575,111,550.78125,542.96875
1737985232566,111,531.25
1737985233601,111,537.109375,545.8984375
1737985234591,111,560.546875,567.3828125
1737985235580,109,557.6171875,560.546875
1737985236571,109,541.015625,534.1796875
1737985237560,109,540.0390625
1737985238596,110,550.78125,574.21875
1737985239586,108,565.4296875,565.4296875
1737985240576,108,544.921875,535.15625
1737985241565,109,527.34375,524.4140625
1737985242690,111,524.4140625,510.7421875
1737985243590,113,506.8359375,502.9296875
1737985244580,115,500,507.8125
1737985245570,116,516.6015625,527.34375
1737985246560,116,530.2734375
1737985247595,115,531.25,543.9453125
1737985248585,113,557.6171875,562.5
1737985249575,111,552.734375,539.0625
1737985250564,111,533.203125,545.8984375
1737985251600,111,554.6875
1737985252590,110,579.1015625,640.625
1737985253580,105,654.296875,591.796875
1737985254570,103,572.265625
1737985255560,103,586.9140625,607.421875
1737985256595,103,634.765625
1737985257585,100,613.28125,609.375
1737985258575,100,587.890625,562.5
1737985259564,102,565.4296875,558.59375
1737985260601,104,554.6875,545.8984375
1737985261589,106,537.109375,535.15625
1737985262586,107,538.0859375
1737985263570,109,547.8515625,571.2890625
1737985264560,108,575.1953125,560.546875
1737985265595,108,543.9453125,544.921875
1737985266584,108,545.8984375,545.8984375
1737985267575,109,548.828125
1737985268564,109,554.6875,557.6171875
1737985269600,109,540.0390625,538.0859375
1737985270589,110,541.015625,545.8984375
1737985271584,110,547.8515625,552.734375
1737985272570,109,558.59375,544.921875
1737985273560,109,535.15625
1737985274595,110,541.015625,547.8515625
1737985275584,110,566.40625,584.9609375
1737985276619,108,566.40625,545.8984375
1737985277609,108,537.109375,539.0625
1737985278600,109,538.0859375,540.0390625
1737985279589,110,540.0390625
1737985280579,110,534.1796875,526.3671875
1737985281569,112,519.53125,520.5078125
1737985282559,113,523.4375,524.4140625
