timestamp_ms,value,rris
1734970051666,102,599.609375,611.328125
1734970052656,101,640.625,635.7421875
1734970053691,99,585.9375
1734970054636,100,581.0546875,602.5390625
1734970055631,100,708.0078125
1734970056661,99,729.4921875
1734970057651,94,650.390625,680.6640625
1734970058641,93,819.3359375
1734970059631,89,696.2890625,658.203125
1734970060666,89,679.6875
1734970061656,89,769.53125
1734970062646,88,667.96875,737.3046875
1734970063636,88,813.4765625
1734970064630,86,721.6796875
1734970065661,85,712.890625,759.765625
1734970066651,85,755.859375
1734970067640,84,676.7578125,680.6640625
1734970068631,84,701.171875
1734970069665,85,703.125,666.9921875
1734970070655,85,692.3828125
1734970071646,86,698.2421875,665.0390625
1734970072636,86,664.0625
1734970073636,88,611.328125,599.609375
1734970074661,91,571.2890625,582.03125
1734970075651,94,621.09375,601.5625
1734970076641,95,596.6796875
1734970077630,97,580.078125,616.2109375
1734970078665,98,584.9609375,572.265625
1734970079655,99,555.6640625
1734970080646,102,575.1953125,573.2421875
1734970081635,103,561.5234375,554.6875
1734970082625,104,595.703125,617.1875
1734970083660,103,612.3046875
1734970084650,102,580.078125,567.3828125
1734970085640,103,564.453125,564.453125
1734970086630,104,570.3125,545.8984375
1734970087677,106,537.109375,528.3203125
1734970088660,107,527.34375
1734970089645,109,536.1328125,553.7109375
1734970090680,109,568.359375,574.21875
1734970091670,107,582.03125,553.7109375
1734970092659,107,559.5703125
1734970093651,107,567.3828125,596.6796875
1734970094640,105,617.1875,632.8125
1734970095630,103,577.1484375
1734970096665,103,583.0078125,586.9140625
1734970097655,102,603.515625,611.328125
1734970098645,101,573.2421875,579.1015625
1734970099635,102,571.2890625
1734970100625,103,582.03125,572.265625
1734970101660,103,551.7578125
1734970102650,105,553.7109375,575.1953125
1734970103640,105,812.5
1734970104721,106,724.609375
1734970105710,106,750,781.25
1734970106655,105,745.1171875
1734970107645,101,667.96875,644.53125
1734970108635,98,634.765625,602.5390625
1734970109625,98,574.21875,582.03125
1734970110659,99,592.7734375
1734970111649,100,592.7734375,577.1484375
1734970112640,101,597.65625,625
1734970113629,100,647.4609375
1734970114664,98,613.28125,565.4296875
1734970115654,101,553.7109375,554.6875
1734970116644,103,568.359375,547.8515625
1734970117634,104,540.0390625
1734970118624,106,550.78125,584.9609375
1734970119659,105,584.9609375,581.0546875
1734970120650,105,612.3046875
1734970121640,103,623.046875,633.7890625
1734970122629,101,595.703125,625
1734970123665,100,614.2578125
1734970124654,100,586.9140625,554.6875
1734970125644,102,543.9453125,553.7109375
1734970126634,104,595.703125,580.078125
1734970127624,104,573.2421875
1734970128704,104,587.890625,600.5859375
1734970129650,102,600.5859375,578.125
1734970130639,102,579.1015625
1734970131629,103,656.25
1734970132664,96,789.0625,688.4765625
1734970133654,94,716.796875
1734970134644,93,795.8984375
1734970135679,88,777.34375,745.1171875
1734970136624,87,689.453125
1734970137659,87,689.453125,671.875
1734970138649,88,625,578.125
1734970139639,89,550.78125
1734970140674,97,565.4296875,625
1734970141664,98,688.4765625
1734970142654,95,694.3359375,629.8828125
1734970143644,95,599.609375,625.9765625
1734970144634,96,604.4921875,585.9375
1734970145624,97,557.6171875
1734970146659,100,544.921875,569.3359375
1734970147649,102,594.7265625,635.7421875
1734970148638,101,585.9375
1734970149629,101,581.0546875,599.609375
1734970150664,101,598.6328125,610.3515625
1734970151654,101,573.2421875
1734970152644,101,582.03125,611.328125
1734970153634,100,629.8828125,598.6328125
1734970154624,100,600.5859375
1734970155703,99,629.8828125,622.0703125
1734970156648,99,585.9375
1734970157638,99,589.84375,609.375
1734970158673,99,638.671875,611.328125
1734970159663,98,592.7734375
1734970160653,98,635.7421875,630.859375
1734970161688,97,642.578125,588.8671875
1734970162633,97,603.515625
1734970163623,98,633.7890625,627.9296875
1734970164658,97,597.65625,582.03125
1734970165648,98,624.0234375
1734970166639,98,612.3046875,635.7421875
1734970167628,98,607.421875
1734970168664,98,596.6796875,579.1015625
