timestamp_ms,value
599617103041.3052,46
599617103048.9974,39
599617103056.6898,16
599617103064.3821,7
599617103072.0745,4
599617103079.7667,-4
599617103087.459,-2
599617103095.1514,9
599617103102.8436,14
599617103110.5359,16
599617103118.2283,9
599617103125.9205,0
599617103133.6129,9
599617103141.3052,21
599617103148.9974,30
599617103156.6898,124
599617103164.3821,431
599617103172.0745,826
599617103179.7667,981
599617103187.459,624
599617103195.1514,-234
599617103202.8436,-734
599617103210.5359,-321
599617103218.2283,96
599617103225.9205,4
599617103233.6129,-56
599617103241.3052,32
599617103248.9974,32
599617103256.6898,0
599617103264.3821,28
599617103272.0745,46
599617103279.7667,42
599617103287.459,53
599617103295.1514,63
599617103302.8436,46
599617103310.5359,42
599617103318.2283,63
599617103325.9205,84
599617103333.6129,96
599617103341.3052,115
599617103348.9974,133
599617103356.6898,147
599617103364.3821,173
599617103372.0745,201
599617103379.7667,218
599617103387.459,227
599617103395.1514,232
599617103402.8436,232
599617103410.5359,225
599617103418.2283,204
599617103425.9205,154
599617103433.6129,89
599617103441.3052,23
599617103448.9974,-23
599617103456.6898,-53
599617103464.3821,-70
599617103472.0745,-77
599617103479.7667,-84
599617103487.459,-82
599617103495.1514,-75
599617103502.8436,-65
599617103510.5359,-53
599617103518.2283,-46
599617103525.9205,-42
599617103533.6129,-39
599617103541.3052,-42
599617103548.9974,-46
599617103556.6898,-42
599617103564.3821,-28
599617103572.0745,-28
599617103579.7667,-35
599617103587.459,-35
599617103595.1514,-32
599617103602.9026,-37
599617103610.5948,-39
599617103618.2872,-35
599617103625.9795,-32
599617103633.6719,-32
599617103641.3641,-25
599617103649.0564,-18
599617103656.7488,-28
599617103664.441,-39
599617103672.1333,-37
599617103679.8257,-25
599617103687.518,-21
599617103695.2103,-21
599617103702.9026,-30
599617103710.5948,-35
599617103718.2872,-30
599617103725.9795,-23
599617103733.6719,-18
599617103741.3641,-14
599617103749.0564,-11
599617103756.7488,-11
599617103764.441,-9
599617103772.1333,-9
599617103779.8257,-9
599617103787.518,-9
599617103795.2103,-11
599617103802.9026,-9
599617103810.5948,-4
599617103818.2872,7
599617103825.9795,28
599617103833.6719,23
599617103841.3641,0
599617103849.0564,-9
599617103856.7488,-7
599617103864.441,-4
599617103872.1333,2
599617103879.8257,4
599617103887.518,4
599617103895.2103,9
599617103902.9026,14
599617103910.5948,14
599617103918.2872,18
599617103925.9795,23
599617103933.6719,44
599617103941.3641,199
599617103949.0564,556
599617103956.7488,882
599617103964.441,882
599617103972.1333,373
599617103979.8257,-441
599617103987.518,-659
599617103995.2103,-140
599617104002.9026,124
599617104010.5948,-21
599617104018.2872,-28
599617104025.9795,53
599617104033.6719,25
599617104041.3641,4
599617104049.0564,35
599617104056.7488,44
599617104064.441,39
599617104072.1333,51
