peak_idx,peak_time,amplitude,prominence,width_half_prom,pulse_area,rise_time,decay_time,max_upslope,max_inflection,ibi_prev,ibi_next,ibi_ratio,local_variance,snr,freq_energy,wavelet_coef,label
24,635,148.38072880715663,0.0,16.36979184016971,2428.9616436658275,287.0,445.0,52.402995280409755,16.154760010782937,0.0,774.0,0.0,11684.818873935588,1.8842260987420358,63099041.90392915,0.7038118135088313,1.0
54,1409,120.96103197626141,0.0,18.49788220782311,2237.5229212336085,329.0,401.0,47.5956550199184,9.68738793158795,774.0,713.0,0.9211886304909561,12220.380237793806,1.1973090011971372,126674855.00535068,0.6856566162228175,1.0
82,2122,141.4012242701753,0.0,17.91960282288042,2533.853777590581,312.0,452.0,58.289887187553035,18.27675679276635,713.0,739.0,1.0364656381486677,13629.837309593044,1.466951202053739,120901523.77199483,0.5945224385378146,1.0
113,2861,134.1176825649532,0.0,18.679827182189968,2505.2951323891384,287.0,420.0,45.37300498742259,8.15183844484794,739.0,729.0,0.986468200270636,11769.786580310674,1.5282819831826344,133655206.62853992,0.49433007630287146,1.0
144,3590,145.55163675608702,0.0,17.684721273393023,2574.040126917546,309.0,398.0,48.64893928313599,9.696875234351666,729.0,663.0,0.9094650205761317,13545.02736690233,1.5640632084762522,140809582.19830614,0.5370915999562764,1.0
173,4253,144.62708740666613,0.0,18.67215021914143,2700.498701814168,265.0,442.0,52.58912988350289,11.841165279771019,663.0,707.0,1.0663650075414781,14704.238138304267,1.4225146665196522,138612709.5818504,0.6490983323631208,1.0
202,4960,148.24140977844644,0.0,19.113767540402307,2833.451846366747,243.0,419.0,66.35333425074907,21.586613852185025,707.0,795.0,1.1244695898161245,13948.58313887221,1.5754657913504804,133791107.30800678,0.6578970573562551,1.0
236,5755,116.71026021970755,0.0,18.91005108046903,2206.996982369503,287.0,442.0,49.214701140468776,13.546144621762991,795.0,773.0,0.9723270440251572,9966.83107973834,1.3666615528623418,107311329.38806283,0.5313945529380022,1.0
270,6528,75.1200858844222,0.0,20.308014742240914,1525.5398115792495,309.0,420.0,31.02567027769355,5.870774446735965,773.0,752.0,0.9728331177231565,4906.858718018195,1.1500284861598988,61644320.417529926,0.41295097181550483,1.0
304,7280,52.31706713566348,0.0,17.3023152506226,905.2063885692365,310.0,441.0,22.77985867734497,4.771857245903114,752.0,706.0,0.9388297872340425,2130.0450408478127,1.284984806043394,29674837.712266915,0.39859653282573276,1.0
334,7986,57.320959702699,0.0,11.200087237674609,641.9997492174596,265.0,177.0,14.072749173380652,8.794682813878943,706.0,619.0,0.876770538243626,1221.8632382276783,2.68908362117872,24148547.2259904,0.34699752026033664,1.0
