peak_idx,peak_time,amplitude,prominence,width_half_prom,pulse_area,rise_time,decay_time,max_upslope,max_inflection,ibi_prev,ibi_next,ibi_ratio,local_variance,snr,freq_energy,wavelet_coef,label
26,585,759.7423710460974,1276.7217270537296,15.522749597988575,21287.931126453095,230.0,439.0,238.6514871007746,78.50701999636169,0.0,816.0,0.0,135137.06425882335,-51.305267206133216,404519236.50020796,2.9974938597552514,1.0
62,1401,597.5994441167624,144.096153873787,3.5871703585145696,29635.061625937895,230.0,460.0,238.91367311019013,72.62691822010424,816.0,209.0,0.25612745098039214,232158.80031414653,-53.65558772061653,2425449872.5754285,4.597155550442982,0.0
71,1610,618.608730709828,1359.617331090956,20.2382656548696,38371.39813098558,439.0,335.0,51.33962183850787,44.55522829136498,209.0,547.0,2.617224880382775,333384.72438139695,-55.12099850780383,2490727287.4882646,7.012595318052961,1.0
96,2157,696.5752742763559,1415.408794910633,16.70305784050467,36615.50075450617,212.0,457.0,291.3236963716343,84.55138928470421,547.0,667.0,1.2193784277879343,276503.5582335902,-54.15479507253493,2531097897.8339767,4.8854772924434835,1.0
124,2824,623.7816840493481,1276.0486032704948,15.177843107487334,24047.860112133294,210.0,439.0,241.02589996127824,79.41049287712354,667.0,648.0,0.9715142428785607,138337.12225253534,-51.27296052480616,2140467695.7121034,3.239436006863192,1.0
154,3472,642.0366131681616,1285.9271468222905,16.073128448369516,23974.097146860426,209.0,418.0,230.54097377902173,68.91449289066804,648.0,628.0,0.9691358024691358,148434.3419176235,-51.57095142557259,1514932132.535689,5.7441471181545,1.0
183,4100,615.1211120867798,1240.2930435370681,13.97384223767068,22226.700244520813,210.0,397.0,241.1049851865098,77.5326773497361,628.0,585.0,0.9315286624203821,129148.43511733356,-50.83826198799922,1476318854.3343942,6.207210977487782,1.0
210,4685,594.9761982161986,1181.6393610994594,14.133515232022916,22269.492447862518,188.0,419.0,220.60400866855062,69.90568736312309,585.0,607.0,1.0376068376068377,120573.50683933967,-50.62013186413009,1487786539.2642198,4.68262334670105,1.0
238,5292,649.0140120837559,1313.2530422910918,15.078871851905461,26180.75566784906,188.0,463.0,234.98545263037647,74.09163610630344,607.0,690.0,1.1367380560131797,144037.8390463882,-51.43543053016471,1449683612.5172727,3.452697218004943,1.0
268,5982,689.3034898062101,1407.2402191259887,18.244774494602552,27849.10293770344,227.0,419.0,250.71534188565738,74.71614674725288,690.0,735.0,1.065217391304348,154505.47928866054,-51.87005094700962,1768259427.8167543,3.487040283948997,1.0
303,6717,777.9781330363078,1639.0707470774955,18.418777959941394,27473.46013800898,212.0,416.0,263.5023367025576,77.29348996950853,735.0,729.0,0.9918367346938776,186981.75018249816,-52.68646035010127,2031163537.9097037,3.3857989330270586,1.0
337,7446,750.569333492718,1486.8042829113062,16.540990931014846,27530.559876001047,188.0,439.0,261.992968863005,76.33634274241808,729.0,711.0,0.9753086419753086,180281.6017714678,-52.4927529747421,2049523548.710153,3.8239132444223856,1.0
370,8157,731.4744661089346,1394.3187391731474,15.464141265319313,24376.705459291472,189.0,460.0,248.66208739727915,76.01744125534378,711.0,715.0,1.0056258790436006,170411.00310138174,-52.22383688933532,2074227237.851907,3.7712626401876967,1.0
402,8872,770.4293877888892,1518.6207034356194,16.461118582234064,28099.025917310333,192.0,435.0,265.12649076092805,76.35877811179091,715.0,728.0,1.018181818181818,196040.18934322693,-52.86442268077775,2312664657.915379,3.7415132029061944,1.0
435,9600,890.3278330748165,1748.9254707250643,16.66368276852637,32488.316559684292,230.0,418.0,310.24887075011713,91.02301866959033,728.0,732.0,1.0054945054945055,250579.4461318284,-53.93579646526145,2589077044.2581205,3.340717500005344,1.0
468,10332,832.7350440303778,1634.6755972559954,17.224913757861543,32419.478930877354,230.0,439.0,293.70657525482017,84.89145365311924,732.0,773.0,1.0560109289617485,229455.9600384927,-53.55426094219467,2690828147.140982,4.210578630809349,1.0
502,11105,863.8227558814394,1663.0670347692355,17.589505434479236,30845.341130570858,209.0,439.0,310.0666650336648,99.27118106085766,773.0,774.0,1.001293661060802,215102.30224625053,-53.30018752435477,2657856228.646829,4.74302960222033,1.0
538,11879,866.9610539429925,1704.9619510006705,17.250572138870552,30341.455894844796,207.0,481.0,287.7391194230705,82.78085017183469,774.0,773.0,0.9987080103359173,242760.3550240403,-53.81024243072553,2631156621.5779448,4.4894844256752435,1.0
572,12652,839.0078846147804,1653.5559516941516,17.47220068440629,30318.23660661499,209.0,463.0,303.52690439685546,94.80641556499825,773.0,732.0,0.9469598965071151,235777.95809566524,-53.6495998091834,2587384888.2336016,4.211224335359071,1.0
604,13384,767.3836426206544,1518.270433786264,17.767004886918357,31826.58941746403,209.0,460.0,291.3234694632343,89.97575362478858,732.0,752.0,1.0273224043715847,198740.45691794725,-52.93808442517869,2395329225.88086,3.9373414377563276,1.0
638,14136,822.6183217606672,1644.1096846871164,13.790636243384938,27888.7502479518,188.0,439.0,285.89031235117193,88.84430099683698,752.0,734.0,0.976063829787234,181908.34261189264,-52.51905879233029,2540676634.0058312,4.772613727314102,1.0
671,14870,1069.8378714513578,2113.2156805416444,17.80631350682495,32226.979794093542,211.0,458.0,348.95720107600465,119.28173995097904,734.0,228.0,0.3106267029972752,282991.6301739244,-54.50725311682366,3559104534.0114264,5.083671635218125,1.0
681,15098,220.66200950088648,14.102688595743246,1.6956719427181497,44681.30830178002,439.0,313.0,12.810346775229903,82.75717558606254,228.0,522.0,2.289473684210526,435643.45501741965,-56.25577416546848,4158672012.165119,8.499488341369236,0.0
704,15620,1096.2610050759072,2330.6046320571036,19.439351748552326,48534.674137904396,209.0,418.0,422.05741405749313,125.53734192539662,522.0,711.0,1.3620689655172413,462287.4269728703,-56.64193892549847,4491233051.137172,5.223041656560822,1.0
738,16331,1091.169981775576,2162.4131515405043,16.75392568567088,46398.0185108871,188.0,439.0,410.55779489166537,123.71875405949072,711.0,713.0,1.0028129395218002,404538.4018746629,-55.9701948292394,4424415369.335445,6.206250289989208,1.0
770,17044,913.3422836415346,1713.184367021618,13.894114375566346,36948.3305917505,191.0,457.0,319.32527770036154,102.45283333721306,713.0,687.0,0.9635343618513323,266707.57066734333,-54.112070848112815,4255099939.79469,5.1158074662914315,1.0
801,17731,1143.153405651615,2258.7859289227654,15.371180148107783,38998.67393745767,209.0,439.0,386.42410660044834,114.46823114854737,687.0,648.0,0.9432314410480349,444485.97676426184,-56.35004026932671,4081083134.6490984,5.011892921361305,1.0
831,18379,1081.6780488435309,2133.829066139406,14.375206513670264,37625.33627947363,209.0,481.0,378.74703213314103,112.54355212644737,648.0,689.0,1.0632716049382716,410452.3112327733,-55.90778720783832,4341413658.622411,6.108454157579496,1.0
860,19068,955.0851526178167,1952.5530078059094,15.191553114930457,35324.738226523375,208.0,463.0,349.34756148754917,104.57282793127604,689.0,669.0,0.9709724238026125,329095.03626623855,-54.980556631842376,3666413723.678512,7.850088819624607,1.0
888,19737,880.8873858508972,1799.3502862591386,15.96720344249161,32475.983391740152,206.0,460.0,346.726797201566,116.31148555657148,669.0,669.0,1.0,261935.60751816595,-53.979826083483935,2830952585.7796583,6.8640231876516316,1.0
916,20406,736.5233333116357,1484.2713485584986,13.551299376700285,29129.62111616433,209.0,463.0,287.79998940503,91.63647211645264,669.0,668.0,0.9985052316890882,183717.9403941149,-52.48057606936697,2639762770.2271223,7.726821138451753,1.0
945,21074,831.7276950755195,1637.6998551950378,14.528986770378538,37168.35986465869,205.0,460.0,306.9375970026761,101.32827995888681,668.0,690.0,1.032934131736527,247792.81330053599,-53.71508831266621,2872606182.3749986,8.125119843800187,1.0
973,21764,1021.932267038924,2022.7262995207204,15.039863296135877,37277.72124198907,230.0,439.0,392.81081679878406,125.20293053427736,690.0,629.0,0.9115942028985508,349491.3023631021,-55.2839105755687,3257320749.7897434,8.995539189183123,1.0
1001,22393,961.3212802998793,1915.9057910418232,13.35240728650058,33914.0193897353,190.0,457.0,352.9882540158069,110.90830943992171,629.0,666.0,1.0588235294117647,321849.66372742713,-54.86030605081338,3429967390.0596,4.589288181539719,1.0
1029,23059,960.3452144514894,1929.5250366736288,16.044034549680646,36297.9459171481,209.0,439.0,369.4997330871799,121.3751201938519,666.0,669.0,1.0045045045045045,274343.975770975,-54.309633557112576,3022184913.3906007,5.650800971900043,1.0
1060,23728,899.640016126956,1724.5399387344282,15.078246055669752,31848.322745288337,188.0,441.0,326.34529089937644,104.67170192219328,669.0,671.0,1.0029895366218236,249339.67017722226,-53.839317175449736,3124497506.9101477,6.831687678146499,1.0
1090,24399,926.45977077092,1802.4690652791282,11.373659902319787,34855.28742799589,212.0,436.0,329.99557438262786,111.06891338913158,671.0,645.0,0.9612518628912071,279807.6685810668,-54.18756386417253,3371594722.8534555,6.3759724271968805,1.0
1118,25044,1046.0952838708874,2080.6084133138684,14.874100440233406,36617.92543752059,209.0,459.0,383.7046350938964,122.24124898363164,645.0,668.0,1.035658914728682,343741.2036003852,-55.238914377795034,3633674539.4171247,5.645890555156002,1.0
1148,25712,1132.571387708652,2212.5370320485604,15.425392656497252,38422.085060792095,187.0,460.0,398.5065341546808,125.22818479786872,668.0,710.0,1.062874251497006,403584.16644791793,-55.949864224863646,3887871567.2861295,6.4143461148701135,1.0
