peak_idx,peak_time,amplitude,prominence,width_half_prom,pulse_area,rise_time,decay_time,max_upslope,max_inflection,ibi_prev,ibi_next,ibi_ratio,local_variance,snr,freq_energy,wavelet_coef,label
22,460,548.5305005736059,1087.7155247148798,16.987599285087164,19933.891868553324,188.0,482.0,188.0251369260542,53.559426387941016,0.0,712.0,0.0,119801.06343718222,-50.701509214270345,257986523.56598178,2.9550662362588294,1.0
53,1172,472.25992900750305,1077.0358191118257,18.89300309677469,22367.339940417958,186.0,440.0,188.96712958060039,57.35031536677667,712.0,733.0,1.029494382022472,99071.4526652606,-49.85475607686486,1257000063.0351374,2.9821903934830867,1.0
85,1905,585.4731972349952,1204.0510708692932,16.941684034660156,23478.948476522746,210.0,442.0,216.60631491342286,67.6833867112698,733.0,753.0,1.0272851296043657,120584.1148766808,-50.76624027627348,1346250027.1842296,2.698207750544469,1.0
118,2658,589.9562782578132,1222.4433631504598,18.721516646003025,25503.156288321537,251.0,440.0,218.73875789427598,64.60122627223495,753.0,775.0,1.0292164674634794,135315.0755777321,-51.29181555039179,1513414569.7665422,3.5172064069182816,1.0
154,3433,626.108908836768,1285.6180681241153,18.330867468650155,23874.116043335827,207.0,461.0,216.42666001515425,62.586737932133815,775.0,756.0,0.9754838709677419,143186.04923770664,-51.505474531687994,1595086900.971657,3.0291437019559955,1.0
188,4189,614.5019123348368,1253.2332557422258,17.604598809151128,23881.199567730793,212.0,437.0,218.15766731262354,62.37732806700046,756.0,751.0,0.9933862433862434,142265.3753591108,-51.464571094090275,1734960569.0219796,3.013413113537892,1.0
222,4940,680.9165976097624,1391.143186457359,18.105105207188018,27334.30903007422,209.0,461.0,239.22524874757858,69.15010416681253,751.0,775.0,1.0319573901464714,173153.6274564037,-52.35785796809961,1879591176.3068235,3.377310477214821,1.0
257,5715,676.0991972697898,1403.8753985206258,18.374333509854182,27428.177765504443,210.0,481.0,244.72023856923215,70.6101487293447,775.0,754.0,0.9729032258064516,177501.82910284508,-52.4347744477209,1875283516.9762812,3.2283184890588617,1.0
290,6469,614.1243958583784,1242.2418403899678,17.807305134810974,25453.662560993147,189.0,460.0,230.42665113686104,68.79796125551775,754.0,774.0,1.026525198938992,137354.3481479243,-51.3131730938548,1724296625.7034357,3.0750216590475254,1.0
324,7243,630.103568792556,1280.1741315641757,17.118205333734977,23566.481349449426,210.0,439.0,224.58641189369473,65.91783463690882,774.0,711.0,0.9186046511627907,133986.90977695902,-51.209104723372,1614838166.897764,3.24450547505586,1.0
357,7954,656.5122666660304,1335.1605191350911,17.144187819556066,24344.547220365104,188.0,461.0,230.0959733535792,66.61102776122289,711.0,715.0,1.0056258790436006,150672.17695008597,-51.71629476787367,1585947473.7001529,2.9669581028019385,1.0
389,8669,589.7207927221873,1184.3509613754313,17.466325981423665,25693.603930145397,190.0,437.0,225.56837635037544,66.39259765431075,715.0,730.0,1.020979020979021,129962.30309346544,-51.085008283805095,1491923311.6184094,3.4588783253953754,1.0
422,9399,575.0072729727725,1114.2176830079138,15.457015016193964,21435.08584721228,189.0,481.0,216.0318090117432,67.68477564641358,730.0,712.0,0.9753424657534246,111094.04009759479,-50.30322792887621,1434150612.8165004,3.9092904001295814,1.0
453,10111,626.8383756519349,1306.4475486491403,16.49955952966974,26833.098052357498,210.0,439.0,206.82264293947406,60.980557375722356,712.0,690.0,0.9691011235955056,135605.82705666823,-51.230858851468255,1544367041.1285503,3.839974163956347,1.0
484,10801,555.816787489153,1196.0496127791027,22.206367087473723,32821.842747514675,209.0,421.0,237.77248430477243,72.76680924701668,690.0,189.0,0.27391304347826084,176575.00173345994,-52.46751355942188,1546182002.8921714,4.417817135169933,1.0
493,10990,408.88454727441365,23.28001257066103,2.693048039448456,31401.385065516988,398.0,335.0,48.29799284282166,51.35023829263167,189.0,523.0,2.767195767195767,203629.63941552318,-53.064676181439914,1559217633.9812982,3.7379505927751784,0.0
517,11513,290.8939495198854,751.102800355919,9.174379327363681,19146.847413995412,188.0,293.0,180.47340915523347,64.29817398549949,523.0,711.0,1.3594646271510515,79161.14286561895,-47.8737897766172,3316101140.2091594,3.859571299999508,0.0
549,12224,1304.673651793145,2113.4651195050424,16.3972151851882,43942.397732453406,418.0,252.0,189.0461173648746,111.90496458630196,711.0,901.0,1.2672292545710266,568256.4287649837,-57.52147546699673,4138148690.578036,5.307785333662975,0.0
591,13125,1207.3886791091436,2350.8697869527264,21.71322873716224,70263.87979104504,440.0,443.0,119.76463184722218,50.66869102299074,901.0,837.0,0.9289678135405105,702002.511191642,-58.457010471649234,6228143158.858977,4.073426675417029,0.0
627,13962,764.7988701420154,1529.8410124015447,19.690974447358826,62991.39543217261,394.0,356.0,167.72831086705673,83.87232388691245,837.0,524.0,0.6260454002389486,552074.4700027644,-57.288342853277854,4637440949.552288,6.418091142723484,0.0
650,14486,713.302751528282,1319.0805990740805,9.556818595279992,22250.246881819006,168.0,292.0,250.65656882356194,85.332065609133,524.0,774.0,1.4770992366412214,165197.8274582383,-52.129039580254855,5028506713.537943,5.410168031271099,0.0
685,15260,1732.5303852928523,3259.122775868266,10.639583880759801,30835.472990304712,189.0,188.0,447.7983305453208,166.62646451436012,774.0,837.0,1.0813953488372092,516442.26234219933,-57.12993559683811,3018905996.0422926,4.3362453173720334,0.0
724,16097,546.5365934269457,1081.2557653347985,19.59394562140085,22092.575534233576,377.0,439.0,128.2780225179283,38.7063593574498,837.0,795.0,0.9498207885304659,106387.22198331085,-50.2663576820019,3080883385.1236916,5.167752607223165,0.0
761,16892,648.7577157868534,1341.617122152032,17.458657601925438,25460.17418626922,226.0,461.0,203.23579060342576,52.09772161095441,795.0,984.0,1.2377358490566037,207126.22457080486,-53.075942530560205,2552808144.123918,6.3849898266551275,0.0
804,17876,1114.9569081842737,1894.7907213622393,18.048342876069228,54870.60470206116,461.0,313.0,113.62562440605132,96.96072106173676,984.0,546.0,0.5548780487804879,768749.6476061214,-58.71124443810818,5683961884.240565,7.16528469554414,0.0
