peak_idx,peak_time,amplitude,prominence,width_half_prom,pulse_area,rise_time,decay_time,max_upslope,max_inflection,ibi_prev,ibi_next,ibi_ratio,local_variance,snr,freq_energy,wavelet_coef,label
6,120,224.42035643219134,88.59139708393079,8.355849176112068,794.2352409287035,120.0,122.0,28.323139094903127,6.43213526054501,0.0,728.0,0.0,1039.715589979647,-14.685169995841855,6211533.289755088,3.1865702661302118,0.0
38,848,498.0259310647403,1108.877970215653,25.291876456886342,27126.15959836995,283.0,404.0,169.38654939456427,36.212619318402346,728.0,949.0,1.3035714285714286,137037.60751912923,-51.35495125139304,714894609.8824997,3.1668232814271344,1.0
85,1797,499.8618557830793,1065.5083543075411,24.675515723089347,25805.53548214668,302.0,404.0,129.44753408467102,19.950689457134217,949.0,970.0,1.0221285563751317,135930.2583268695,-51.310161615016476,1394229372.542322,1.0879344728533484,1.0
130,2767,551.6324057809807,1205.5799998301636,22.702414196123527,23878.433692147984,323.0,404.0,150.5467798279571,29.93348712424074,970.0,889.0,0.9164948453608247,144660.70982338715,-51.586733871587036,1530947964.2461257,1.3465617149149056,1.0
173,3656,514.0955265044462,1174.8693530080363,24.434488005534376,27418.69316830126,323.0,424.0,136.312762198381,21.621082650040762,889.0,949.0,1.0674915635545557,157915.2166605142,-51.977515325585415,1844246452.472922,1.816819718660893,1.0
216,4605,641.1746537183712,1371.8569869190858,22.532005737941176,30241.502770056228,363.0,485.0,169.78590039239037,26.634185363563176,949.0,909.0,0.9578503688092729,209374.3510411241,-53.204664492835846,1873369059.802138,1.360074337307074,1.0
257,5514,505.8061283482051,1060.4683177586066,23.3982009774399,28864.2822908765,303.0,427.0,137.35983437569604,20.61379054417131,909.0,929.0,1.022002200220022,163378.60148582078,-52.1316120973359,1657311016.8069515,1.8186491845937287,1.0
301,6443,507.73274891470544,1181.1581241517033,21.648439480756053,21956.703838332993,302.0,505.0,128.87339236018707,20.17867699987903,929.0,869.0,0.9354144241119483,143786.35333804775,-51.56922543965681,1510045499.1540115,1.7979754245834907,1.0
338,7312,545.7011802535756,1262.734586990914,23.740468839865287,27584.02107974358,303.0,424.0,152.07076555663323,27.381556208873064,869.0,909.0,1.046029919447641,169516.39762210555,-52.290365517812546,2085559029.0432127,1.3350068723329827,1.0
381,8221,755.0705380597526,1517.1006794148445,22.535368936104305,32699.748632661373,303.0,424.0,187.53224719765336,37.42087881859197,909.0,929.0,1.022002200220022,262112.8044963454,-54.1525626800358,2624158934.581569,1.8010717789320014,1.0
424,9150,674.9816095926349,1557.925948650475,25.436106710463775,37767.577346754595,303.0,404.0,186.44797088709555,27.581253936790972,929.0,909.0,0.9784714747039828,281254.20341911237,-54.49054507823139,2616330677.470569,1.932177291214245,1.0
468,10059,626.3887093403481,1333.904994220115,21.14169500588531,28674.549201657497,283.0,424.0,166.696748701837,28.437930607870044,909.0,868.0,0.9548954895489549,207975.78468304078,-53.180094827846816,2244203743.8998456,1.9883698076689316,1.0
505,10927,541.9280838416164,1339.9622303769224,26.725550884268273,35492.73341383023,303.0,404.0,216.42854082381024,47.161129009016236,868.0,929.0,1.0702764976958525,217659.85005499862,-53.37778320902992,2366043069.6457973,1.724604141506227,1.0
550,11856,674.0483519912162,1466.2095161543034,24.665717442013374,33391.03854000944,303.0,407.0,174.6344486192636,28.240245490099937,929.0,949.0,1.0215285252960171,233042.93719708928,-53.6589422113567,2322222504.459412,1.8051114438633464,1.0
595,12805,735.2705141487622,1596.3457069521364,24.49287437704311,33074.02368477396,300.0,424.0,211.91050438972115,45.883714139383414,949.0,949.0,1.0,247925.24940488333,-53.93065060766587,2295778428.424369,1.6571142903178486,1.0
641,13754,613.7388017410493,1283.0046362004273,22.936669214206745,29908.72890148792,283.0,404.0,165.58537487618315,28.710581385841976,949.0,889.0,0.9367755532139094,195978.2573349969,-52.91517220116815,2205547913.328094,1.9799084622682135,1.0
685,14643,709.0549390621248,1430.2636188111805,19.74467014118727,27321.325796681595,283.0,505.0,168.73164465153775,27.713477806624496,889.0,929.0,1.044994375703037,230054.58158293375,-53.61825349347746,2374922144.755753,1.887351157108723,1.0
724,15572,668.9694720560971,1525.835258638781,24.657600686332103,35142.43250329957,303.0,424.0,186.26536322968332,30.646117728191257,929.0,908.0,0.9773950484391819,255304.502677629,-54.068151839807385,2794083054.0180216,1.654427684323288,1.0
767,16480,755.0761090661347,1683.2759086872973,23.612378299671718,35813.5586522036,282.0,485.0,187.83448194618524,29.173288771756575,908.0,949.0,1.0451541850220265,290457.7854396636,-54.622596756936744,2697007339.3710833,1.7788693516859047,1.0
810,17429,640.2174412352672,1366.4175424809844,24.4036575491142,33951.140750079794,283.0,404.0,180.40986798712817,29.9128583415943,949.0,911.0,0.9599578503688093,236102.19596673953,-53.72876473283987,2508687135.14573,2.01302972305081,1.0
853,18340,687.931456205845,1516.4560692721388,21.707228263050638,29465.22980118593,265.0,422.0,195.7080108096245,39.64921796908391,911.0,886.0,0.9725576289791438,222259.29735829658,-53.46855656430347,2273475625.940992,2.1728658063672124,1.0
892,19226,576.1748528934304,1400.5400019059607,25.52020990881806,35074.75553372825,303.0,424.0,209.67529164417147,41.35070735582849,886.0,909.0,1.0259593679458239,226011.28828445805,-53.54119825747985,2433603563.36905,1.7112563416789204,1.0
935,20135,647.0955729507814,1373.6461618238354,24.053442379114585,33742.15036705907,283.0,404.0,175.90020983687572,28.57704468631266,909.0,949.0,1.044004400440044,226502.5781481427,-53.54808968807903,2212255863.7434964,2.007177537554897,1.0
979,21084,725.4859639508443,1576.4275668288772,23.271152019774718,30109.285595489215,303.0,444.0,205.85238089802425,47.56728927563802,949.0,948.0,0.9989462592202318,217603.3276185701,-53.36954772455158,2015155833.13042,1.695503231797184,1.0
1024,22032,547.8537929786396,1164.9059356638588,23.20913314385382,27887.98819264394,303.0,424.0,150.37554623953275,24.550425911063428,948.0,909.0,0.9588607594936709,165993.08062060399,-52.196217677211564,1859273704.651663,1.8532786009503228,1.0
1068,22941,586.353280592178,1261.6182680795262,21.986326680492084,25779.591726151502,280.0,484.0,146.7131344205959,23.68417489958847,909.0,888.0,0.976897689768977,178928.98278426068,-52.52023550676847,1833719991.199243,1.3205357242819733,1.0
1108,23829,530.9060198755096,1273.1928392059842,27.397308390342232,30637.08006340119,303.0,404.0,153.39808273051324,24.51473176120504,888.0,929.0,1.0461711711711712,184390.42069754412,-52.651459257520024,2055477094.7752814,1.5658907511218756,1.0
1153,24758,664.6501200566356,1432.3738044051158,23.787299000390703,32200.074745839207,283.0,424.0,169.44390265532616,28.221200400635325,929.0,949.0,1.0215285252960171,223886.36980828102,-53.48488719747115,2182177710.4806795,1.4515829431580518,1.0
1195,25707,577.6574100973819,1278.7992932070613,24.942821784771013,34376.37528814849,303.0,403.0,186.58842275989974,31.99147571997389,949.0,928.0,0.9778714436248683,223864.53731419338,-53.49982066901907,2134668594.6443908,1.7134854141857434,1.0
1240,26635,591.3873222215677,1394.2978285478425,24.515330168906758,29091.131516829948,282.0,427.0,160.64654240125742,26.137158098791986,928.0,889.0,0.9579741379310345,186579.11532652465,-52.702122940864136,2079560071.2765877,1.7009242239748967,1.0
1280,27524,631.9603494147434,1452.6089982172443,25.063780181177435,33030.468446851744,301.0,403.0,209.87477046376677,45.48384288926758,889.0,908.0,1.0213723284589427,225313.90702456335,-53.52272190371196,2267253929.2614994,1.8081599843187155,1.0
1324,28432,650.5422322300178,1407.3369561693548,24.68521335005562,33831.68834156968,303.0,404.0,179.87360078458397,29.941008268575843,908.0,929.0,1.0231277533039647,235702.13738938127,-53.71793117911415,2357033383.521982,2.2490543596597123,1.0
1370,29361,742.8105986572476,1611.243109566999,22.662369778726088,31407.380275952884,283.0,464.0,183.11645727919688,33.33639470239484,929.0,928.0,0.9989235737351991,236687.0872093703,-53.73529411789999,2258207032.830719,1.6074370014430766,1.0
1412,30289,607.1670960831589,1333.6768785847962,22.77421306946121,29636.37565987425,302.0,404.0,170.04958135223376,28.99956651359429,928.0,888.0,0.9568965517241379,198640.47654103098,-52.97994094659677,2256227259.9284754,1.9300532582039809,1.0
1454,31177,664.3089586898071,1416.584974828287,22.31879120300232,31093.024007528395,322.0,465.0,181.3978619516364,32.371866132896685,888.0,889.0,1.0011261261261262,231607.72701004992,-53.643892777231805,2533971155.1403327,1.9999317265738246,1.0
