timestamp_ms,value
599616212523.761,19
599616212531.4532,19
599616212539.1456,16
599616212546.8379,21
599616212554.5303,30
599616212562.2225,40
599616212569.9148,45
599616212577.6072,38
599616212585.2994,38
599616212592.9917,42
599616212600.6841,38
599616212608.3763,21
599616212616.0687,-21
599616212623.761,-68
599616212631.4532,-61
599616212639.1456,-28
599616212646.8379,-21
599616212654.5303,-14
599616212662.2225,-7
599616212669.9148,-4
599616212677.6072,4
599616212685.2994,9
599616212692.9917,14
599616212700.6841,21
599616212708.3763,16
599616212716.0687,4
599616212723.761,-4
599616212731.4532,-9
599616212739.1456,-21
599616212746.8379,-33
599616212754.5303,-40
599616212762.2225,-42
599616212769.9148,-35
599616212777.6072,-28
599616212785.2994,-23
599616212792.9917,-16
599616212800.6841,-19
599616212808.3763,-19
599616212816.0687,-23
599616212823.761,-57
599616212831.4532,-73
599616212839.1456,-49
599616212846.8379,-40
599616212854.5303,-35
599616212862.2225,-19
599616212869.9148,-16
599616212877.6072,-14
599616212885.2994,-7
599616212892.9917,-9
599616212900.6841,-2
599616212908.3763,11
599616212916.0687,11
599616212923.761,7
599616212931.4532,4
599616212939.1456,9
599616212946.8379,35
599616212954.5303,57
599616212962.2225,59
599616212969.9148,64
599616212977.6072,66
599616212985.2994,61
599616212992.9917,54
599616213000.6841,40
599616213008.3763,16
599616213016.0687,14
599616213023.761,26
599616213031.4532,33
599616213039.1456,40
599616213046.8379,47
599616213054.5303,45
599616213062.2225,47
599616213069.9148,49
599616213077.6072,52
599616213086.0348,59
599616213093.727,83
599616213101.4194,206
599616213109.1117,401
599616213116.8041,534
599616213124.4963,537
599616213132.1886,247
599616213139.881,-154
599616213147.5732,-142
599616213155.2655,52
599616213162.9579,-23
599616213170.6501,-83
599616213178.3425,9
599616213186.0348,26
599616213193.727,-4
599616213201.4194,16
599616213209.1117,30
599616213216.8041,30
599616213224.4963,47
599616213232.1886,61
599616213239.881,52
599616213247.5732,38
599616213255.2655,42
599616213262.9579,61
599616213270.6501,76
